,date,value,name_B08L3SD8VH
0,2020-12-16,1027.0,Weather Stations
1,2020-12-17,642.0,Weather Stations
2,2020-12-18,596.0,Weather Stations
3,2020-12-19,746.0,Weather Stations
4,2020-12-20,746.0,Weather Stations
5,2020-12-21,851.0,Weather Stations
6,2020-12-22,826.0,Weather Stations
7,2020-12-23,881.0,Weather Stations
8,2020-12-24,881.0,Weather Stations
9,2020-12-25,998.0,Weather Stations
10,2020-12-26,998.0,Weather Stations
11,2020-12-27,908.0,Weather Stations
12,2020-12-28,944.0,Weather Stations
13,2020-12-29,882.0,Weather Stations
14,2020-12-30,1016.0,Weather Stations
15,2020-12-31,936.0,Weather Stations
16,2021-01-01,936.0,Weather Stations
17,2021-01-02,936.0,Weather Stations
18,2021-01-03,1092.0,Weather Stations
19,2021-01-04,1186.0,Weather Stations
20,2021-01-05,1387.0,Weather Stations
21,2021-01-06,1387.0,Weather Stations
22,2021-01-07,990.0,Weather Stations
23,2021-01-08,1107.0,Weather Stations
24,2021-01-09,1188.0,Weather Stations
25,2021-01-10,1489.0,Weather Stations
26,2021-01-11,1907.0,Weather Stations
27,2021-01-12,1907.0,Weather Stations
28,2021-01-13,1907.0,Weather Stations
29,2021-01-14,1640.0,Weather Stations
30,2021-01-15,2175.0,Weather Stations
31,2021-01-16,2175.0,Weather Stations
32,2021-01-17,2175.0,Weather Stations
33,2021-01-18,2056.0,Weather Stations
34,2021-01-19,2028.0,Weather Stations
35,2021-01-20,1394.0,Weather Stations
36,2021-01-21,2146.0,Weather Stations
37,2021-01-22,2712.0,Weather Stations
38,2021-01-23,2712.0,Weather Stations
39,2021-01-24,2712.0,Weather Stations
40,2021-01-25,1879.0,Weather Stations
41,2021-01-26,1879.0,Weather Stations
42,2021-01-27,1448.0,Weather Stations
43,2021-01-28,1448.0,Weather Stations
44,2021-01-29,1276.0,Weather Stations
45,2021-01-30,927.0,Weather Stations
46,2021-01-31,927.0,Weather Stations
47,2021-02-01,1235.0,Weather Stations
48,2021-02-02,1235.0,Weather Stations
49,2021-02-03,1560.0,Weather Stations
50,2021-02-04,1762.0,Weather Stations
51,2021-02-05,1602.0,Weather Stations
52,2021-02-06,1478.0,Weather Stations
53,2021-02-07,1581.0,Weather Stations
54,2021-02-08,1287.0,Weather Stations
55,2021-02-09,1287.0,Weather Stations
56,2021-02-10,1287.0,Weather Stations
57,2021-02-11,531.0,Weather Stations
58,2021-02-12,531.0,Weather Stations
59,2021-02-13,531.0,Weather Stations
60,2021-02-14,398.0,Weather Stations
61,2021-02-15,302.0,Weather Stations
62,2021-02-16,302.0,Weather Stations
63,2021-02-17,608.0,Weather Stations
64,2021-02-18,834.0,Weather Stations
65,2021-02-19,897.0,Weather Stations
66,2021-02-20,837.0,Weather Stations
67,2021-02-21,959.0,Weather Stations
68,2021-02-22,600.0,Weather Stations
69,2021-02-23,675.0,Weather Stations
70,2021-02-24,675.0,Weather Stations
71,2021-02-25,1210.0,Weather Stations
72,2021-02-26,1210.0,Weather Stations
73,2021-02-27,1302.0,Weather Stations
74,2021-02-28,1194.0,Weather Stations
75,2021-03-01,1194.0,Weather Stations
76,2021-03-02,1802.0,Weather Stations
77,2021-03-03,1847.0,Weather Stations
78,2021-03-04,1482.0,Weather Stations
79,2021-03-05,1482.0,Weather Stations
80,2021-03-06,1482.0,Weather Stations
81,2021-03-07,3931.0,Weather Stations
82,2021-03-08,5662.0,Weather Stations
83,2021-03-09,5662.0,Weather Stations
84,2021-03-10,5662.0,Weather Stations
85,2021-03-11,9182.0,Weather Stations
86,2021-03-12,9182.0,Weather Stations
87,2021-03-13,6507.0,Weather Stations
88,2021-03-14,6507.0,Weather Stations
89,2021-03-15,6507.0,Weather Stations
90,2021-03-16,12098.0,Weather Stations
91,2021-03-17,12098.0,Weather Stations
92,2021-03-18,15288.0,Weather Stations
93,2021-03-19,15288.0,Weather Stations
94,2021-03-20,15288.0,Weather Stations
95,2021-03-21,11017.0,Weather Stations
96,2021-03-22,11017.0,Weather Stations
97,2021-03-23,11017.0,Weather Stations
98,2021-03-24,12379.0,Weather Stations
99,2021-03-25,12379.0,Weather Stations
100,2021-03-26,12379.0,Weather Stations
101,2021-03-27,12038.0,Weather Stations
102,2021-03-28,12038.0,Weather Stations
103,2021-03-29,12038.0,Weather Stations
104,2021-03-30,12038.0,Weather Stations
105,2021-03-31,16543.0,Weather Stations
106,2021-04-01,22496.0,Weather Stations
107,2021-04-02,22496.0,Weather Stations
108,2021-04-03,22496.0,Weather Stations
109,2021-04-04,13383.0,Weather Stations
110,2021-04-05,13383.0,Weather Stations
111,2021-04-06,13383.0,Weather Stations
112,2021-04-07,21773.0,Weather Stations
113,2021-04-08,21773.0,Weather Stations
114,2021-04-09,17023.0,Weather Stations
115,2021-04-10,17023.0,Weather Stations
116,2021-04-11,17023.0,Weather Stations
117,2021-04-12,17023.0,Weather Stations
118,2021-04-13,17023.0,Weather Stations
119,2021-04-14,11931.0,Weather Stations
120,2021-04-15,10773.0,Weather Stations
121,2021-04-16,10773.0,Weather Stations
122,2021-04-17,10773.0,Weather Stations
123,2021-04-18,10773.0,Weather Stations
124,2021-04-19,11071.0,Weather Stations
125,2021-04-20,11071.0,Weather Stations
126,2021-04-21,11071.0,Weather Stations
127,2021-04-22,11071.0,Weather Stations
