,date,value,name_B08LC1JY3F
0,2021-01-30,43528.0,Lidded Storage Bins
1,2021-01-31,43528.0,Lidded Storage Bins
2,2021-02-01,28483.0,Lidded Storage Bins
3,2021-02-02,28483.0,Lidded Storage Bins
4,2021-02-03,28483.0,Lidded Storage Bins
5,2021-02-04,17750.0,Lidded Storage Bins
6,2021-02-05,18235.0,Lidded Storage Bins
7,2021-02-06,18121.0,Lidded Storage Bins
8,2021-02-07,12362.0,Lidded Storage Bins
9,2021-02-08,12362.0,Lidded Storage Bins
10,2021-02-09,12362.0,Lidded Storage Bins
11,2021-02-10,16978.0,Lidded Storage Bins
12,2021-02-11,16978.0,Lidded Storage Bins
13,2021-02-12,17103.0,Lidded Storage Bins
14,2021-02-13,12164.0,Lidded Storage Bins
15,2021-02-14,12164.0,Lidded Storage Bins
16,2021-02-15,13875.0,Lidded Storage Bins
17,2021-02-16,19747.0,Lidded Storage Bins
18,2021-02-17,24746.0,Lidded Storage Bins
19,2021-02-18,28026.0,Lidded Storage Bins
20,2021-02-19,28026.0,Lidded Storage Bins
21,2021-02-20,32164.0,Lidded Storage Bins
22,2021-02-21,34053.0,Lidded Storage Bins
23,2021-02-22,31679.0,Lidded Storage Bins
24,2021-02-23,30649.0,Lidded Storage Bins
25,2021-02-24,34645.0,Lidded Storage Bins
26,2021-02-25,31079.0,Lidded Storage Bins
27,2021-02-26,34234.0,Lidded Storage Bins
28,2021-02-27,35108.0,Lidded Storage Bins
29,2021-02-28,35108.0,Lidded Storage Bins
30,2021-03-01,40631.0,Lidded Storage Bins
31,2021-03-02,44564.0,Lidded Storage Bins
32,2021-03-03,44564.0,Lidded Storage Bins
33,2021-03-04,44564.0,Lidded Storage Bins
34,2021-03-05,44564.0,Lidded Storage Bins
35,2021-03-06,46309.0,Lidded Storage Bins
36,2021-03-07,53579.0,Lidded Storage Bins
37,2021-03-08,53579.0,Lidded Storage Bins
38,2021-03-09,53579.0,Lidded Storage Bins
39,2021-03-10,59419.0,Lidded Storage Bins
40,2021-03-11,72738.0,Lidded Storage Bins
41,2021-03-12,89853.0,Lidded Storage Bins
42,2021-03-13,80830.0,Lidded Storage Bins
43,2021-03-14,80830.0,Lidded Storage Bins
44,2021-03-15,56081.0,Lidded Storage Bins
45,2021-03-16,82559.0,Lidded Storage Bins
46,2021-03-17,82559.0,Lidded Storage Bins
47,2021-03-18,82559.0,Lidded Storage Bins
