,date,value,name_B08LPV7VLP
0,2020-10-25,2491.0,Parts & Hardware
1,2020-10-26,2956.0,Parts & Hardware
2,2020-10-27,4076.0,Parts & Hardware
3,2020-10-28,3968.0,Parts & Hardware
4,2020-10-29,4417.0,Parts & Hardware
5,2020-10-30,4417.0,Parts & Hardware
6,2020-10-31,4417.0,Parts & Hardware
7,2020-11-01,3818.0,Parts & Hardware
8,2020-11-02,3818.0,Parts & Hardware
9,2020-11-03,3818.0,Parts & Hardware
10,2020-11-04,4227.0,Parts & Hardware
11,2020-11-05,4399.0,Parts & Hardware
12,2020-11-06,4068.0,Parts & Hardware
13,2020-11-07,5020.0,Parts & Hardware
14,2020-11-08,4615.0,Parts & Hardware
15,2020-11-09,4477.0,Parts & Hardware
16,2020-11-10,4477.0,Parts & Hardware
17,2020-11-11,4477.0,Parts & Hardware
18,2020-11-12,6420.0,Parts & Hardware
19,2020-11-13,8780.0,Parts & Hardware
20,2020-11-14,8780.0,Parts & Hardware
21,2020-11-15,5130.0,Parts & Hardware
22,2020-11-16,5065.0,Parts & Hardware
23,2020-11-17,5105.0,Parts & Hardware
24,2020-11-18,5105.0,Parts & Hardware
25,2020-11-19,6527.0,Parts & Hardware
26,2020-11-20,6527.0,Parts & Hardware
27,2020-11-21,7871.0,Parts & Hardware
28,2020-11-22,5399.0,Parts & Hardware
29,2020-11-23,6774.0,Parts & Hardware
30,2020-11-24,6258.0,Parts & Hardware
31,2020-11-25,7261.0,Parts & Hardware
32,2020-11-26,7261.0,Parts & Hardware
33,2020-11-27,9035.0,Parts & Hardware
34,2020-11-28,10656.0,Parts & Hardware
35,2020-11-29,10656.0,Parts & Hardware
36,2020-11-30,11697.0,Parts & Hardware
37,2020-12-01,11697.0,Parts & Hardware
38,2020-12-02,11697.0,Parts & Hardware
39,2020-12-03,11697.0,Parts & Hardware
40,2020-12-04,21732.0,Parts & Hardware
41,2020-12-05,21732.0,Parts & Hardware
42,2020-12-06,21732.0,Parts & Hardware
43,2020-12-07,21732.0,Parts & Hardware
44,2020-12-08,9453.0,Parts & Hardware
45,2020-12-09,10296.0,Parts & Hardware
46,2020-12-10,10937.0,Parts & Hardware
47,2020-12-11,10937.0,Parts & Hardware
48,2020-12-12,8366.0,Parts & Hardware
49,2020-12-13,7729.0,Parts & Hardware
50,2020-12-14,7430.0,Parts & Hardware
51,2020-12-15,7430.0,Parts & Hardware
52,2020-12-16,9247.0,Parts & Hardware
53,2020-12-17,9247.0,Parts & Hardware
54,2020-12-18,9247.0,Parts & Hardware
55,2020-12-19,9416.0,Parts & Hardware
56,2020-12-20,8906.0,Parts & Hardware
57,2020-12-21,8830.0,Parts & Hardware
58,2020-12-22,8830.0,Parts & Hardware
59,2020-12-23,8830.0,Parts & Hardware
60,2020-12-24,6389.0,Parts & Hardware
61,2020-12-25,6389.0,Parts & Hardware
62,2020-12-26,6389.0,Parts & Hardware
63,2020-12-27,3928.0,Parts & Hardware
64,2020-12-28,3928.0,Parts & Hardware
65,2020-12-29,2919.0,Parts & Hardware
66,2020-12-30,2641.0,Parts & Hardware
67,2020-12-31,2167.0,Parts & Hardware
68,2021-01-01,2167.0,Parts & Hardware
69,2021-01-02,2395.0,Parts & Hardware
70,2021-01-03,2395.0,Parts & Hardware
71,2021-01-04,1852.0,Parts & Hardware
72,2021-01-05,1852.0,Parts & Hardware
73,2021-01-06,2913.0,Parts & Hardware
74,2021-01-07,2855.0,Parts & Hardware
75,2021-01-08,2518.0,Parts & Hardware
76,2021-01-09,2518.0,Parts & Hardware
77,2021-01-10,2518.0,Parts & Hardware
78,2021-01-11,1580.0,Parts & Hardware
79,2021-01-12,1682.0,Parts & Hardware
80,2021-01-13,1680.0,Parts & Hardware
81,2021-01-14,1548.0,Parts & Hardware
82,2021-01-15,1462.0,Parts & Hardware
83,2021-01-16,1261.0,Parts & Hardware
84,2021-01-17,1261.0,Parts & Hardware
85,2021-01-18,874.0,Parts & Hardware
86,2021-01-19,1257.0,Parts & Hardware
87,2021-01-20,1373.0,Parts & Hardware
88,2021-01-21,1660.0,Parts & Hardware
89,2021-01-22,1733.0,Parts & Hardware
90,2021-01-23,1912.0,Parts & Hardware
91,2021-01-24,1912.0,Parts & Hardware
92,2021-01-25,1379.0,Parts & Hardware
93,2021-01-26,1379.0,Parts & Hardware
94,2021-01-27,2699.0,Parts & Hardware
95,2021-01-28,2640.0,Parts & Hardware
96,2021-01-29,2640.0,Parts & Hardware
97,2021-01-30,3984.0,Parts & Hardware
98,2021-01-31,3984.0,Parts & Hardware
99,2021-02-01,3493.0,Parts & Hardware
100,2021-02-02,4711.0,Parts & Hardware
101,2021-02-03,4711.0,Parts & Hardware
102,2021-02-04,4711.0,Parts & Hardware
103,2021-02-05,4013.0,Parts & Hardware
104,2021-02-06,4013.0,Parts & Hardware
105,2021-02-07,4687.0,Parts & Hardware
