,date,value,name_B08LR4NCTF
0,2020-11-02,6285.0,Water Pumps
1,2020-11-03,6285.0,Water Pumps
2,2020-11-04,6285.0,Water Pumps
3,2020-11-05,6285.0,Water Pumps
4,2020-11-06,7790.0,Water Pumps
5,2020-11-07,7790.0,Water Pumps
6,2020-11-08,7790.0,Water Pumps
7,2020-11-09,6766.0,Water Pumps
8,2020-11-10,6343.0,Water Pumps
9,2020-11-11,6343.0,Water Pumps
10,2020-11-12,8112.0,Water Pumps
11,2020-11-13,8112.0,Water Pumps
12,2020-11-14,8112.0,Water Pumps
13,2020-11-15,9762.0,Water Pumps
14,2020-11-16,9284.0,Water Pumps
15,2020-11-17,9284.0,Water Pumps
16,2020-11-18,6736.0,Water Pumps
17,2020-11-19,6736.0,Water Pumps
18,2020-11-20,6736.0,Water Pumps
19,2020-11-21,6360.0,Water Pumps
20,2020-11-22,6360.0,Water Pumps
21,2020-11-23,6549.0,Water Pumps
22,2020-11-24,6672.0,Water Pumps
23,2020-11-25,6672.0,Water Pumps
24,2020-11-26,6672.0,Water Pumps
25,2020-11-27,7138.0,Water Pumps
26,2020-11-28,7138.0,Water Pumps
27,2020-11-29,7138.0,Water Pumps
28,2020-11-30,7138.0,Water Pumps
29,2020-12-01,7015.0,Water Pumps
30,2020-12-02,7483.0,Water Pumps
31,2020-12-03,7483.0,Water Pumps
32,2020-12-04,5992.0,Water Pumps
33,2020-12-05,5992.0,Water Pumps
34,2020-12-06,6622.0,Water Pumps
35,2020-12-07,6622.0,Water Pumps
36,2020-12-08,6622.0,Water Pumps
37,2020-12-09,6622.0,Water Pumps
38,2020-12-10,7621.0,Water Pumps
39,2020-12-11,7490.0,Water Pumps
40,2020-12-12,7490.0,Water Pumps
41,2020-12-13,7490.0,Water Pumps
42,2020-12-14,7490.0,Water Pumps
43,2020-12-15,7490.0,Water Pumps
44,2020-12-16,7490.0,Water Pumps
45,2020-12-17,7631.0,Water Pumps
46,2020-12-18,7673.0,Water Pumps
47,2020-12-19,7673.0,Water Pumps
48,2020-12-20,7673.0,Water Pumps
49,2020-12-21,7673.0,Water Pumps
50,2020-12-22,7503.0,Water Pumps
51,2020-12-23,7635.0,Water Pumps
52,2020-12-24,7073.0,Water Pumps
53,2020-12-25,7432.0,Water Pumps
54,2020-12-26,5589.0,Water Pumps
55,2020-12-27,7993.0,Water Pumps
56,2020-12-28,6733.0,Water Pumps
57,2020-12-29,5625.0,Water Pumps
58,2020-12-30,6000.0,Water Pumps
59,2020-12-31,6390.0,Water Pumps
60,2021-01-01,5978.0,Water Pumps
61,2021-01-02,5823.0,Water Pumps
62,2021-01-03,5188.0,Water Pumps
63,2021-01-04,5256.0,Water Pumps
64,2021-01-05,5256.0,Water Pumps
65,2021-01-06,5302.0,Water Pumps
66,2021-01-07,5302.0,Water Pumps
67,2021-01-08,5302.0,Water Pumps
68,2021-01-09,5302.0,Water Pumps
69,2021-01-10,3902.0,Water Pumps
70,2021-01-11,3902.0,Water Pumps
71,2021-01-12,4236.0,Water Pumps
72,2021-01-13,4236.0,Water Pumps
73,2021-01-14,4236.0,Water Pumps
74,2021-01-15,4236.0,Water Pumps
75,2021-01-16,5451.0,Water Pumps
76,2021-01-17,5451.0,Water Pumps
77,2021-01-18,5451.0,Water Pumps
78,2021-01-19,5809.0,Water Pumps
79,2021-01-20,5744.0,Water Pumps
80,2021-01-21,6836.0,Water Pumps
81,2021-01-22,6836.0,Water Pumps
82,2021-01-23,4688.0,Water Pumps
83,2021-01-24,4688.0,Water Pumps
84,2021-01-25,4688.0,Water Pumps
85,2021-01-26,5684.0,Water Pumps
86,2021-01-27,6030.0,Water Pumps
87,2021-01-28,6030.0,Water Pumps
88,2021-01-29,6030.0,Water Pumps
89,2021-01-30,8397.0,Water Pumps
90,2021-01-31,8397.0,Water Pumps
91,2021-02-01,8397.0,Water Pumps
92,2021-02-02,8167.0,Water Pumps
93,2021-02-03,8167.0,Water Pumps
94,2021-02-04,7154.0,Water Pumps
95,2021-02-05,7154.0,Water Pumps
96,2021-02-06,7154.0,Water Pumps
97,2021-02-07,7770.0,Water Pumps
98,2021-02-08,7770.0,Water Pumps
99,2021-02-09,7770.0,Water Pumps
100,2021-02-10,8935.0,Water Pumps
101,2021-02-11,8935.0,Water Pumps
102,2021-02-12,9022.0,Water Pumps
103,2021-02-13,9022.0,Water Pumps
104,2021-02-14,9022.0,Water Pumps
105,2021-02-15,8760.0,Water Pumps
106,2021-02-16,8760.0,Water Pumps
107,2021-02-17,8760.0,Water Pumps
108,2021-02-18,9812.0,Water Pumps
109,2021-02-19,9812.0,Water Pumps
110,2021-02-20,9812.0,Water Pumps
111,2021-02-21,7988.0,Water Pumps
112,2021-02-22,7988.0,Water Pumps
113,2021-02-23,7988.0,Water Pumps
114,2021-02-24,7988.0,Water Pumps
115,2021-02-25,7988.0,Water Pumps
116,2021-02-26,7988.0,Water Pumps
117,2021-02-27,7181.0,Water Pumps
118,2021-02-28,7181.0,Water Pumps
119,2021-03-01,7181.0,Water Pumps
120,2021-03-02,8237.0,Water Pumps
121,2021-03-03,7307.0,Water Pumps
122,2021-03-04,7307.0,Water Pumps
123,2021-03-05,7307.0,Water Pumps
124,2021-03-06,7307.0,Water Pumps
125,2021-03-07,7307.0,Water Pumps
126,2021-03-08,9262.0,Water Pumps
127,2021-03-09,7731.0,Water Pumps
128,2021-03-10,7731.0,Water Pumps
129,2021-03-11,7731.0,Water Pumps
130,2021-03-12,7731.0,Water Pumps
131,2021-03-13,7731.0,Water Pumps
132,2021-03-14,6292.0,Water Pumps
133,2021-03-15,6292.0,Water Pumps
134,2021-03-16,6292.0,Water Pumps
135,2021-03-17,6292.0,Water Pumps
136,2021-03-18,5923.0,Water Pumps
137,2021-03-19,5923.0,Water Pumps
138,2021-03-20,6056.0,Water Pumps
139,2021-03-21,6056.0,Water Pumps
140,2021-03-22,7518.0,Water Pumps
141,2021-03-23,6952.0,Water Pumps
142,2021-03-24,6952.0,Water Pumps
143,2021-03-25,6952.0,Water Pumps
144,2021-03-26,7124.0,Water Pumps
145,2021-03-27,7124.0,Water Pumps
146,2021-03-28,6539.0,Water Pumps
147,2021-03-29,6539.0,Water Pumps
148,2021-03-30,6539.0,Water Pumps
149,2021-03-31,6539.0,Water Pumps
150,2021-04-01,5534.0,Water Pumps
151,2021-04-02,5534.0,Water Pumps
152,2021-04-03,6047.0,Water Pumps
153,2021-04-04,6047.0,Water Pumps
154,2021-04-05,6047.0,Water Pumps
155,2021-04-06,7260.0,Water Pumps
156,2021-04-07,7260.0,Water Pumps
157,2021-04-08,7260.0,Water Pumps
158,2021-04-09,7182.0,Water Pumps
159,2021-04-10,7669.0,Water Pumps
160,2021-04-11,7669.0,Water Pumps
161,2021-04-12,7669.0,Water Pumps
162,2021-04-13,7881.0,Water Pumps
163,2021-04-14,7881.0,Water Pumps
164,2021-04-15,7881.0,Water Pumps
165,2021-04-16,7915.0,Water Pumps
166,2021-04-17,7915.0,Water Pumps
167,2021-04-18,7915.0,Water Pumps
168,2021-04-19,7915.0,Water Pumps
169,2021-04-20,7915.0,Water Pumps
170,2021-04-21,7915.0,Water Pumps
171,2021-04-22,7915.0,Water Pumps
172,2021-04-23,7915.0,Water Pumps
173,2021-04-24,7915.0,Water Pumps
174,2021-04-25,12643.0,Water Pumps
175,2021-04-26,12643.0,Water Pumps
176,2021-04-27,12643.0,Water Pumps
177,2021-04-28,12643.0,Water Pumps
178,2021-04-29,12643.0,Water Pumps
179,2021-04-30,12643.0,Water Pumps
180,2021-05-01,12643.0,Water Pumps
181,2021-05-02,12643.0,Water Pumps
182,2021-05-03,12862.0,Water Pumps
183,2021-05-04,12862.0,Water Pumps
184,2021-05-05,12862.0,Water Pumps
185,2021-05-06,13975.0,Water Pumps
186,2021-05-07,13975.0,Water Pumps
187,2021-05-08,13975.0,Water Pumps
188,2021-05-09,13975.0,Water Pumps
189,2021-05-10,15213.0,Water Pumps
190,2021-05-11,15620.0,Water Pumps
191,2021-05-12,15620.0,Water Pumps
192,2021-05-13,12340.0,Water Pumps
193,2021-05-14,12340.0,Water Pumps
194,2021-05-15,12340.0,Water Pumps
195,2021-05-16,12595.0,Water Pumps
196,2021-05-17,12595.0,Water Pumps
197,2021-05-18,16712.0,Water Pumps
198,2021-05-19,16712.0,Water Pumps
199,2021-05-20,15070.0,Water Pumps
200,2021-05-21,10848.0,Water Pumps
201,2021-05-22,10848.0,Water Pumps
202,2021-05-23,10848.0,Water Pumps
203,2021-05-24,12555.0,Water Pumps
204,2021-05-25,12301.0,Water Pumps
205,2021-05-26,12301.0,Water Pumps
206,2021-05-27,12301.0,Water Pumps
207,2021-05-28,12301.0,Water Pumps
208,2021-05-29,8474.0,Water Pumps
209,2021-05-30,8474.0,Water Pumps
210,2021-05-31,10608.0,Water Pumps
211,2021-06-01,10608.0,Water Pumps
212,2021-06-02,10608.0,Water Pumps
213,2021-06-03,10608.0,Water Pumps
214,2021-06-04,10608.0,Water Pumps
215,2021-06-05,7495.0,Water Pumps
216,2021-06-06,7495.0,Water Pumps
217,2021-06-07,7495.0,Water Pumps
218,2021-06-08,7628.0,Water Pumps
219,2021-06-09,7628.0,Water Pumps
220,2021-06-10,8471.0,Water Pumps
221,2021-06-11,8471.0,Water Pumps
222,2021-06-12,11571.0,Water Pumps
223,2021-06-13,11571.0,Water Pumps
224,2021-06-14,11571.0,Water Pumps
225,2021-06-15,11571.0,Water Pumps
226,2021-06-16,11571.0,Water Pumps
227,2021-06-17,11571.0,Water Pumps
228,2021-06-18,9093.0,Water Pumps
229,2021-06-19,10509.0,Water Pumps
230,2021-06-20,10509.0,Water Pumps
231,2021-06-21,10509.0,Water Pumps
232,2021-06-22,9104.0,Water Pumps
233,2021-06-23,9104.0,Water Pumps
234,2021-06-24,8662.0,Water Pumps
235,2021-06-25,8662.0,Water Pumps
236,2021-06-26,8662.0,Water Pumps
237,2021-06-27,8662.0,Water Pumps
238,2021-06-28,8897.0,Water Pumps
239,2021-06-29,8897.0,Water Pumps
240,2021-06-30,7202.0,Water Pumps
241,2021-07-01,7202.0,Water Pumps
242,2021-07-02,6562.0,Water Pumps
243,2021-07-03,6562.0,Water Pumps
244,2021-07-04,6562.0,Water Pumps
245,2021-07-05,6030.0,Water Pumps
246,2021-07-06,6136.0,Water Pumps
247,2021-07-07,6136.0,Water Pumps
248,2021-07-08,6136.0,Water Pumps
249,2021-07-09,6201.0,Water Pumps
