,date,value,name_B08LSQWFL4
0,2020-10-27,462.0,Monitor Arms & Stands
1,2020-10-28,394.0,Monitor Arms & Stands
2,2020-10-29,394.0,Monitor Arms & Stands
3,2020-10-30,378.0,Monitor Arms & Stands
4,2020-10-31,337.0,Monitor Arms & Stands
5,2020-11-01,272.0,Monitor Arms & Stands
6,2020-11-02,269.0,Monitor Arms & Stands
7,2020-11-03,269.0,Monitor Arms & Stands
8,2020-11-04,519.0,Monitor Arms & Stands
9,2020-11-05,519.0,Monitor Arms & Stands
10,2020-11-06,598.0,Monitor Arms & Stands
11,2020-11-07,572.0,Monitor Arms & Stands
12,2020-11-08,572.0,Monitor Arms & Stands
13,2020-11-09,606.0,Monitor Arms & Stands
14,2020-11-10,582.0,Monitor Arms & Stands
15,2020-11-11,582.0,Monitor Arms & Stands
16,2020-11-12,582.0,Monitor Arms & Stands
17,2020-11-13,557.0,Monitor Arms & Stands
18,2020-11-14,557.0,Monitor Arms & Stands
19,2020-11-15,557.0,Monitor Arms & Stands
20,2020-11-16,712.0,Monitor Arms & Stands
21,2020-11-17,712.0,Monitor Arms & Stands
22,2020-11-18,712.0,Monitor Arms & Stands
23,2020-11-19,640.0,Monitor Arms & Stands
24,2020-11-20,640.0,Monitor Arms & Stands
25,2020-11-21,640.0,Monitor Arms & Stands
26,2020-11-22,680.0,Monitor Arms & Stands
27,2020-11-23,680.0,Monitor Arms & Stands
28,2020-11-24,707.0,Monitor Arms & Stands
29,2020-11-25,707.0,Monitor Arms & Stands
30,2020-11-26,955.0,Monitor Arms & Stands
31,2020-11-27,955.0,Monitor Arms & Stands
32,2020-11-28,759.0,Monitor Arms & Stands
33,2020-11-29,746.0,Monitor Arms & Stands
34,2020-11-30,803.0,Monitor Arms & Stands
35,2020-12-01,423.0,Monitor Arms & Stands
36,2020-12-02,537.0,Monitor Arms & Stands
37,2020-12-03,537.0,Monitor Arms & Stands
38,2020-12-04,537.0,Monitor Arms & Stands
39,2020-12-05,384.0,Monitor Arms & Stands
40,2020-12-06,384.0,Monitor Arms & Stands
41,2020-12-07,546.0,Monitor Arms & Stands
42,2020-12-08,647.0,Monitor Arms & Stands
43,2020-12-09,820.0,Monitor Arms & Stands
44,2020-12-10,884.0,Monitor Arms & Stands
45,2020-12-11,884.0,Monitor Arms & Stands
46,2020-12-12,884.0,Monitor Arms & Stands
47,2020-12-13,925.0,Monitor Arms & Stands
48,2020-12-14,925.0,Monitor Arms & Stands
49,2020-12-15,925.0,Monitor Arms & Stands
50,2020-12-16,1083.0,Monitor Arms & Stands
51,2020-12-17,1047.0,Monitor Arms & Stands
52,2020-12-18,1047.0,Monitor Arms & Stands
53,2020-12-19,1047.0,Monitor Arms & Stands
54,2020-12-20,904.0,Monitor Arms & Stands
55,2020-12-21,904.0,Monitor Arms & Stands
56,2020-12-22,1028.0,Monitor Arms & Stands
57,2020-12-23,1028.0,Monitor Arms & Stands
58,2020-12-24,1028.0,Monitor Arms & Stands
59,2020-12-25,1080.0,Monitor Arms & Stands
60,2020-12-26,1080.0,Monitor Arms & Stands
61,2020-12-27,1080.0,Monitor Arms & Stands
62,2020-12-28,946.0,Monitor Arms & Stands
63,2020-12-29,873.0,Monitor Arms & Stands
64,2020-12-30,802.0,Monitor Arms & Stands
65,2020-12-31,802.0,Monitor Arms & Stands
66,2021-01-01,845.0,Monitor Arms & Stands
67,2021-01-02,845.0,Monitor Arms & Stands
68,2021-01-03,845.0,Monitor Arms & Stands
69,2021-01-04,718.0,Monitor Arms & Stands
70,2021-01-05,718.0,Monitor Arms & Stands
71,2021-01-06,808.0,Monitor Arms & Stands
72,2021-01-07,808.0,Monitor Arms & Stands
73,2021-01-08,1066.0,Monitor Arms & Stands
74,2021-01-09,1066.0,Monitor Arms & Stands
75,2021-01-10,1066.0,Monitor Arms & Stands
76,2021-01-11,951.0,Monitor Arms & Stands
77,2021-01-12,971.0,Monitor Arms & Stands
78,2021-01-13,971.0,Monitor Arms & Stands
79,2021-01-14,971.0,Monitor Arms & Stands
80,2021-01-15,1130.0,Monitor Arms & Stands
81,2021-01-16,1385.0,Monitor Arms & Stands
82,2021-01-17,1385.0,Monitor Arms & Stands
83,2021-01-18,1111.0,Monitor Arms & Stands
84,2021-01-19,1111.0,Monitor Arms & Stands
85,2021-01-20,1111.0,Monitor Arms & Stands
86,2021-01-21,1504.0,Monitor Arms & Stands
87,2021-01-22,1504.0,Monitor Arms & Stands
88,2021-01-23,1504.0,Monitor Arms & Stands
89,2021-01-24,1360.0,Monitor Arms & Stands
90,2021-01-25,1307.0,Monitor Arms & Stands
91,2021-01-26,1307.0,Monitor Arms & Stands
