,date,value,name_B08LVL2T8C
0,2020-10-29,1126.0,Planters
1,2020-10-30,1126.0,Planters
2,2020-10-31,1932.0,Planters
3,2020-11-01,1932.0,Planters
4,2020-11-02,4017.0,Planters
5,2020-11-03,4017.0,Planters
6,2020-11-04,4017.0,Planters
7,2020-11-05,1826.0,Planters
8,2020-11-06,1826.0,Planters
9,2020-11-07,1826.0,Planters
10,2020-11-08,1065.0,Planters
11,2020-11-09,952.0,Planters
12,2020-11-10,952.0,Planters
13,2020-11-11,832.0,Planters
14,2020-11-12,832.0,Planters
15,2020-11-13,832.0,Planters
16,2020-11-14,1020.0,Planters
17,2020-11-15,1020.0,Planters
18,2020-11-16,1483.0,Planters
19,2020-11-17,1483.0,Planters
20,2020-11-18,1201.0,Planters
21,2020-11-19,1201.0,Planters
22,2020-11-20,856.0,Planters
23,2020-11-21,856.0,Planters
24,2020-11-22,856.0,Planters
25,2020-11-23,1262.0,Planters
26,2020-11-24,1262.0,Planters
27,2020-11-25,1262.0,Planters
28,2020-11-26,1030.0,Planters
29,2020-11-27,1030.0,Planters
30,2020-11-28,1030.0,Planters
31,2020-11-29,1101.0,Planters
32,2020-11-30,981.0,Planters
33,2020-12-01,1109.0,Planters
34,2020-12-02,1184.0,Planters
35,2020-12-03,1184.0,Planters
36,2020-12-04,1184.0,Planters
37,2020-12-05,1414.0,Planters
38,2020-12-06,1414.0,Planters
39,2020-12-07,1494.0,Planters
40,2020-12-08,1494.0,Planters
41,2020-12-09,1494.0,Planters
42,2020-12-10,1449.0,Planters
43,2020-12-11,1746.0,Planters
44,2020-12-12,1583.0,Planters
45,2020-12-13,1865.0,Planters
46,2020-12-14,1912.0,Planters
47,2020-12-15,1989.0,Planters
48,2020-12-16,1914.0,Planters
49,2020-12-17,1603.0,Planters
50,2020-12-18,1934.0,Planters
51,2020-12-19,1898.0,Planters
52,2020-12-20,1724.0,Planters
53,2020-12-21,2064.0,Planters
54,2020-12-22,1664.0,Planters
55,2020-12-23,1824.0,Planters
56,2020-12-24,1405.0,Planters
57,2020-12-25,1350.0,Planters
58,2020-12-26,1878.0,Planters
59,2020-12-27,1803.0,Planters
60,2020-12-28,2056.0,Planters
61,2020-12-29,1428.0,Planters
62,2020-12-30,1650.0,Planters
63,2020-12-31,1279.0,Planters
64,2021-01-01,1279.0,Planters
65,2021-01-02,1374.0,Planters
66,2021-01-03,1007.0,Planters
67,2021-01-04,1007.0,Planters
68,2021-01-05,848.0,Planters
69,2021-01-06,814.0,Planters
70,2021-01-07,814.0,Planters
71,2021-01-08,998.0,Planters
72,2021-01-09,998.0,Planters
73,2021-01-10,860.0,Planters
74,2021-01-11,912.0,Planters
75,2021-01-12,912.0,Planters
76,2021-01-13,1034.0,Planters
77,2021-01-14,1034.0,Planters
78,2021-01-15,1034.0,Planters
79,2021-01-16,1110.0,Planters
80,2021-01-17,1110.0,Planters
81,2021-01-18,1479.0,Planters
82,2021-01-19,1479.0,Planters
83,2021-01-20,1419.0,Planters
84,2021-01-21,1666.0,Planters
85,2021-01-22,1666.0,Planters
86,2021-01-23,1291.0,Planters
87,2021-01-24,1291.0,Planters
88,2021-01-25,1607.0,Planters
89,2021-01-26,1607.0,Planters
90,2021-01-27,1607.0,Planters
91,2021-01-28,1637.0,Planters
92,2021-01-29,1619.0,Planters
93,2021-01-30,1728.0,Planters
94,2021-01-31,1338.0,Planters
95,2021-02-01,1338.0,Planters
96,2021-02-02,1338.0,Planters
97,2021-02-03,1220.0,Planters
98,2021-02-04,1220.0,Planters
99,2021-02-05,1697.0,Planters
100,2021-02-06,1697.0,Planters
101,2021-02-07,1954.0,Planters
102,2021-02-08,1705.0,Planters
103,2021-02-09,1514.0,Planters
104,2021-02-10,1690.0,Planters
105,2021-02-11,1690.0,Planters
106,2021-02-12,1690.0,Planters
107,2021-02-13,1231.0,Planters
108,2021-02-14,1506.0,Planters
109,2021-02-15,1506.0,Planters
110,2021-02-16,1565.0,Planters
111,2021-02-17,1565.0,Planters
112,2021-02-18,1565.0,Planters
113,2021-02-19,1512.0,Planters
114,2021-02-20,1165.0,Planters
115,2021-02-21,1165.0,Planters
116,2021-02-22,1690.0,Planters
117,2021-02-23,1545.0,Planters
118,2021-02-24,1545.0,Planters
119,2021-02-25,1545.0,Planters
120,2021-02-26,1209.0,Planters
121,2021-02-27,1209.0,Planters
122,2021-02-28,1209.0,Planters
123,2021-03-01,1375.0,Planters
124,2021-03-02,1310.0,Planters
125,2021-03-03,1310.0,Planters
126,2021-03-04,1545.0,Planters
127,2021-03-05,1215.0,Planters
128,2021-03-06,1215.0,Planters
129,2021-03-07,1215.0,Planters
130,2021-03-08,1859.0,Planters
131,2021-03-09,1478.0,Planters
132,2021-03-10,1478.0,Planters
133,2021-03-11,1515.0,Planters
134,2021-03-12,1642.0,Planters
135,2021-03-13,1449.0,Planters
136,2021-03-14,1449.0,Planters
137,2021-03-15,1449.0,Planters
138,2021-03-16,1593.0,Planters
139,2021-03-17,1593.0,Planters
140,2021-03-18,1883.0,Planters
