,date,value,name_B08M61FK67
0,2020-11-06,1876.0,Dish Cloths & Dish Towels
1,2020-11-07,1876.0,Dish Cloths & Dish Towels
2,2020-11-08,1876.0,Dish Cloths & Dish Towels
3,2020-11-09,1876.0,Dish Cloths & Dish Towels
4,2020-11-10,1874.0,Dish Cloths & Dish Towels
5,2020-11-11,1825.0,Dish Cloths & Dish Towels
6,2020-11-12,1825.0,Dish Cloths & Dish Towels
7,2020-11-13,1825.0,Dish Cloths & Dish Towels
8,2020-11-14,1361.0,Dish Cloths & Dish Towels
9,2020-11-15,1260.0,Dish Cloths & Dish Towels
10,2020-11-16,1260.0,Dish Cloths & Dish Towels
11,2020-11-17,1616.0,Dish Cloths & Dish Towels
12,2020-11-18,1616.0,Dish Cloths & Dish Towels
13,2020-11-19,1616.0,Dish Cloths & Dish Towels
14,2020-11-20,2600.0,Dish Cloths & Dish Towels
15,2020-11-21,2600.0,Dish Cloths & Dish Towels
16,2020-11-22,2600.0,Dish Cloths & Dish Towels
17,2020-11-23,2220.0,Dish Cloths & Dish Towels
18,2020-11-24,2220.0,Dish Cloths & Dish Towels
19,2020-11-25,2220.0,Dish Cloths & Dish Towels
20,2020-11-26,2220.0,Dish Cloths & Dish Towels
21,2020-11-27,2535.0,Dish Cloths & Dish Towels
22,2020-11-28,2535.0,Dish Cloths & Dish Towels
23,2020-11-29,2338.0,Dish Cloths & Dish Towels
24,2020-11-30,2338.0,Dish Cloths & Dish Towels
25,2020-12-01,2468.0,Dish Cloths & Dish Towels
26,2020-12-02,2468.0,Dish Cloths & Dish Towels
27,2020-12-03,2067.0,Dish Cloths & Dish Towels
28,2020-12-04,2067.0,Dish Cloths & Dish Towels
29,2020-12-05,2067.0,Dish Cloths & Dish Towels
30,2020-12-06,3202.0,Dish Cloths & Dish Towels
31,2020-12-07,3202.0,Dish Cloths & Dish Towels
32,2020-12-08,3202.0,Dish Cloths & Dish Towels
33,2020-12-09,7650.0,Dish Cloths & Dish Towels
34,2020-12-10,7650.0,Dish Cloths & Dish Towels
35,2020-12-11,7650.0,Dish Cloths & Dish Towels
36,2020-12-12,7650.0,Dish Cloths & Dish Towels
37,2020-12-13,7650.0,Dish Cloths & Dish Towels
38,2020-12-14,4127.0,Dish Cloths & Dish Towels
39,2020-12-15,3846.0,Dish Cloths & Dish Towels
40,2020-12-16,4228.0,Dish Cloths & Dish Towels
41,2020-12-17,4228.0,Dish Cloths & Dish Towels
42,2020-12-18,4440.0,Dish Cloths & Dish Towels
43,2020-12-19,4440.0,Dish Cloths & Dish Towels
44,2020-12-20,4440.0,Dish Cloths & Dish Towels
45,2020-12-21,3964.0,Dish Cloths & Dish Towels
46,2020-12-22,3964.0,Dish Cloths & Dish Towels
47,2020-12-23,3964.0,Dish Cloths & Dish Towels
48,2020-12-24,3763.0,Dish Cloths & Dish Towels
49,2020-12-25,3763.0,Dish Cloths & Dish Towels
50,2020-12-26,4364.0,Dish Cloths & Dish Towels
51,2020-12-27,4364.0,Dish Cloths & Dish Towels
52,2020-12-28,4364.0,Dish Cloths & Dish Towels
53,2020-12-29,2712.0,Dish Cloths & Dish Towels
