,date,value,name_B08MLN61TZ
0,2021-04-06,313140.0,Traps
1,2021-04-07,313140.0,Traps
2,2021-04-08,313140.0,Traps
3,2021-04-09,313140.0,Traps
4,2021-04-10,313140.0,Traps
5,2021-04-11,313140.0,Traps
6,2021-04-12,313140.0,Traps
7,2021-04-13,313140.0,Traps
8,2021-04-14,54827.0,Traps
9,2021-04-15,54827.0,Traps
10,2021-04-16,54827.0,Traps
11,2021-04-17,54827.0,Traps
12,2021-04-18,54827.0,Traps
13,2021-04-19,54827.0,Traps
14,2021-04-20,22577.0,Traps
15,2021-04-21,22577.0,Traps
16,2021-04-22,22577.0,Traps
17,2021-04-23,22577.0,Traps
18,2021-04-24,7953.0,Traps
19,2021-04-25,7953.0,Traps
20,2021-04-26,7953.0,Traps
21,2021-04-27,4721.0,Traps
22,2021-04-28,4721.0,Traps
23,2021-04-29,4348.0,Traps
24,2021-04-30,4348.0,Traps
25,2021-05-01,4370.0,Traps
26,2021-05-02,4370.0,Traps
27,2021-05-03,4370.0,Traps
28,2021-05-04,4370.0,Traps
29,2021-05-05,6912.0,Traps
30,2021-05-06,6912.0,Traps
31,2021-05-07,4107.0,Traps
32,2021-05-08,4107.0,Traps
33,2021-05-09,4107.0,Traps
34,2021-05-10,5628.0,Traps
35,2021-05-11,5628.0,Traps
36,2021-05-12,4915.0,Traps
37,2021-05-13,4915.0,Traps
38,2021-05-14,4279.0,Traps
39,2021-05-15,4279.0,Traps
40,2021-05-16,4279.0,Traps
41,2021-05-17,4279.0,Traps
42,2021-05-18,4104.0,Traps
43,2021-05-19,2765.0,Traps
44,2021-05-20,2765.0,Traps
45,2021-05-21,2809.0,Traps
46,2021-05-22,2809.0,Traps
47,2021-05-23,2809.0,Traps
48,2021-05-24,1653.0,Traps
49,2021-05-25,1754.0,Traps
50,2021-05-26,1754.0,Traps
51,2021-05-27,3742.0,Traps
52,2021-05-28,3084.0,Traps
53,2021-05-29,3084.0,Traps
54,2021-05-30,3196.0,Traps
55,2021-05-31,4098.0,Traps
56,2021-06-01,3532.0,Traps
57,2021-06-02,4503.0,Traps
58,2021-06-03,4503.0,Traps
59,2021-06-04,2657.0,Traps
60,2021-06-05,2657.0,Traps
61,2021-06-06,3728.0,Traps
62,2021-06-07,4033.0,Traps
63,2021-06-08,5120.0,Traps
64,2021-06-09,6704.0,Traps
65,2021-06-10,4656.0,Traps
66,2021-06-11,3160.0,Traps
67,2021-06-12,3988.0,Traps
68,2021-06-13,3988.0,Traps
69,2021-06-14,5073.0,Traps
70,2021-06-15,5073.0,Traps
71,2021-06-16,8338.0,Traps
72,2021-06-17,6609.0,Traps
73,2021-06-18,7581.0,Traps
74,2021-06-19,7581.0,Traps
75,2021-06-20,7581.0,Traps
76,2021-06-21,7961.0,Traps
77,2021-06-22,9284.0,Traps
78,2021-06-23,6480.0,Traps
79,2021-06-24,6480.0,Traps
80,2021-06-25,4691.0,Traps
81,2021-06-26,5024.0,Traps
82,2021-06-27,5024.0,Traps
83,2021-06-28,6910.0,Traps
84,2021-06-29,6063.0,Traps
85,2021-06-30,6063.0,Traps
86,2021-07-01,6045.0,Traps
87,2021-07-02,6045.0,Traps
88,2021-07-03,6045.0,Traps
89,2021-07-04,6045.0,Traps
90,2021-07-05,6479.0,Traps
91,2021-07-06,6479.0,Traps
92,2021-07-07,6479.0,Traps
93,2021-07-08,4275.0,Traps
94,2021-07-09,4275.0,Traps
95,2021-07-10,4275.0,Traps
96,2021-07-11,2377.0,Traps
