,date,value,name_B08MTKWVLB
0,2021-02-27,337126.0,Hanging Decorative Tiles
1,2021-02-28,337126.0,Hanging Decorative Tiles
2,2021-03-01,177356.0,Hanging Decorative Tiles
3,2021-03-02,177356.0,Hanging Decorative Tiles
4,2021-03-03,79277.0,Hanging Decorative Tiles
5,2021-03-04,90328.0,Hanging Decorative Tiles
6,2021-03-05,87235.0,Hanging Decorative Tiles
7,2021-03-06,87235.0,Hanging Decorative Tiles
8,2021-03-07,87235.0,Hanging Decorative Tiles
9,2021-03-08,75361.0,Hanging Decorative Tiles
10,2021-03-09,75361.0,Hanging Decorative Tiles
11,2021-03-10,75361.0,Hanging Decorative Tiles
12,2021-03-11,75361.0,Hanging Decorative Tiles
13,2021-03-12,75361.0,Hanging Decorative Tiles
14,2021-03-13,75361.0,Hanging Decorative Tiles
15,2021-03-14,104929.0,Hanging Decorative Tiles
16,2021-03-15,96659.0,Hanging Decorative Tiles
17,2021-03-16,96659.0,Hanging Decorative Tiles
18,2021-03-17,97955.0,Hanging Decorative Tiles
19,2021-03-18,97955.0,Hanging Decorative Tiles
20,2021-03-19,97955.0,Hanging Decorative Tiles
21,2021-03-20,97955.0,Hanging Decorative Tiles
22,2021-03-21,97955.0,Hanging Decorative Tiles
23,2021-03-22,97955.0,Hanging Decorative Tiles
24,2021-03-23,103822.0,Hanging Decorative Tiles
25,2021-03-24,103822.0,Hanging Decorative Tiles
26,2021-03-25,103822.0,Hanging Decorative Tiles
27,2021-03-26,103822.0,Hanging Decorative Tiles
28,2021-03-27,103822.0,Hanging Decorative Tiles
29,2021-03-28,176860.0,Hanging Decorative Tiles
30,2021-03-29,176860.0,Hanging Decorative Tiles
31,2021-03-30,258940.0,Hanging Decorative Tiles
32,2021-03-31,258940.0,Hanging Decorative Tiles
33,2021-04-01,258940.0,Hanging Decorative Tiles
34,2021-04-02,258940.0,Hanging Decorative Tiles
35,2021-04-03,258940.0,Hanging Decorative Tiles
36,2021-04-04,258940.0,Hanging Decorative Tiles
37,2021-04-05,251363.0,Hanging Decorative Tiles
38,2021-04-06,332033.0,Hanging Decorative Tiles
39,2021-04-07,203667.0,Hanging Decorative Tiles
40,2021-04-08,397617.0,Hanging Decorative Tiles
41,2021-04-09,150823.0,Hanging Decorative Tiles
42,2021-04-10,150823.0,Hanging Decorative Tiles
43,2021-04-11,173966.0,Hanging Decorative Tiles
44,2021-04-12,173966.0,Hanging Decorative Tiles
45,2021-04-13,180624.0,Hanging Decorative Tiles
46,2021-04-14,180624.0,Hanging Decorative Tiles
47,2021-04-15,180624.0,Hanging Decorative Tiles
48,2021-04-16,173530.0,Hanging Decorative Tiles
49,2021-04-17,173530.0,Hanging Decorative Tiles
50,2021-04-18,173530.0,Hanging Decorative Tiles
51,2021-04-19,173530.0,Hanging Decorative Tiles
52,2021-04-20,173530.0,Hanging Decorative Tiles
53,2021-04-21,190359.0,Hanging Decorative Tiles
54,2021-04-22,190359.0,Hanging Decorative Tiles
55,2021-04-23,190359.0,Hanging Decorative Tiles
56,2021-04-24,190359.0,Hanging Decorative Tiles
57,2021-04-25,190359.0,Hanging Decorative Tiles
58,2021-04-26,190359.0,Hanging Decorative Tiles
59,2021-04-27,139292.0,Hanging Decorative Tiles
60,2021-04-28,181251.0,Hanging Decorative Tiles
61,2021-04-29,181251.0,Hanging Decorative Tiles
62,2021-04-30,181251.0,Hanging Decorative Tiles
63,2021-05-01,181251.0,Hanging Decorative Tiles
64,2021-05-02,181251.0,Hanging Decorative Tiles
65,2021-05-03,212780.0,Hanging Decorative Tiles
66,2021-05-04,212780.0,Hanging Decorative Tiles
67,2021-05-05,212780.0,Hanging Decorative Tiles
68,2021-05-06,346248.0,Hanging Decorative Tiles
69,2021-05-07,346248.0,Hanging Decorative Tiles
70,2021-05-08,346248.0,Hanging Decorative Tiles
71,2021-05-09,346248.0,Hanging Decorative Tiles
72,2021-05-10,346248.0,Hanging Decorative Tiles
73,2021-05-11,346248.0,Hanging Decorative Tiles
74,2021-05-12,217926.0,Hanging Decorative Tiles
75,2021-05-13,217926.0,Hanging Decorative Tiles
76,2021-05-14,373163.0,Hanging Decorative Tiles
77,2021-05-15,373163.0,Hanging Decorative Tiles
78,2021-05-16,334989.0,Hanging Decorative Tiles
79,2021-05-17,334989.0,Hanging Decorative Tiles
80,2021-05-18,334989.0,Hanging Decorative Tiles
81,2021-05-19,334989.0,Hanging Decorative Tiles
82,2021-05-20,98902.0,Hanging Decorative Tiles
83,2021-05-21,98902.0,Hanging Decorative Tiles
84,2021-05-22,96357.0,Hanging Decorative Tiles
85,2021-05-23,96357.0,Hanging Decorative Tiles
86,2021-05-24,96357.0,Hanging Decorative Tiles
87,2021-05-25,96357.0,Hanging Decorative Tiles
88,2021-05-26,65448.0,Hanging Decorative Tiles
89,2021-05-27,47483.0,Hanging Decorative Tiles
90,2021-05-28,59396.0,Hanging Decorative Tiles
91,2021-05-29,59396.0,Hanging Decorative Tiles
92,2021-05-30,47512.0,Hanging Decorative Tiles
93,2021-05-31,47512.0,Hanging Decorative Tiles
94,2021-06-01,30520.0,Hanging Decorative Tiles
95,2021-06-02,41400.0,Hanging Decorative Tiles
96,2021-06-03,37320.0,Hanging Decorative Tiles
97,2021-06-04,41625.0,Hanging Decorative Tiles
98,2021-06-05,41625.0,Hanging Decorative Tiles
99,2021-06-06,41625.0,Hanging Decorative Tiles
100,2021-06-07,53840.0,Hanging Decorative Tiles
101,2021-06-08,56852.0,Hanging Decorative Tiles
102,2021-06-09,56852.0,Hanging Decorative Tiles
103,2021-06-10,62984.0,Hanging Decorative Tiles
104,2021-06-11,66189.0,Hanging Decorative Tiles
105,2021-06-12,66189.0,Hanging Decorative Tiles
106,2021-06-13,66189.0,Hanging Decorative Tiles
107,2021-06-14,66189.0,Hanging Decorative Tiles
108,2021-06-15,59287.0,Hanging Decorative Tiles
109,2021-06-16,59287.0,Hanging Decorative Tiles
110,2021-06-17,80264.0,Hanging Decorative Tiles
111,2021-06-18,85843.0,Hanging Decorative Tiles
112,2021-06-19,85843.0,Hanging Decorative Tiles
113,2021-06-20,85843.0,Hanging Decorative Tiles
114,2021-06-21,84464.0,Hanging Decorative Tiles
115,2021-06-22,84464.0,Hanging Decorative Tiles
116,2021-06-23,45004.0,Hanging Decorative Tiles
117,2021-06-24,41312.0,Hanging Decorative Tiles
118,2021-06-25,54833.0,Hanging Decorative Tiles
119,2021-06-26,54833.0,Hanging Decorative Tiles
120,2021-06-27,54833.0,Hanging Decorative Tiles
121,2021-06-28,59479.0,Hanging Decorative Tiles
122,2021-06-29,59479.0,Hanging Decorative Tiles
123,2021-06-30,101598.0,Hanging Decorative Tiles
124,2021-07-01,101598.0,Hanging Decorative Tiles
125,2021-07-02,101598.0,Hanging Decorative Tiles
126,2021-07-03,72332.0,Hanging Decorative Tiles
127,2021-07-04,72332.0,Hanging Decorative Tiles
128,2021-07-05,81215.0,Hanging Decorative Tiles
129,2021-07-06,81215.0,Hanging Decorative Tiles
130,2021-07-07,81215.0,Hanging Decorative Tiles
131,2021-07-08,81215.0,Hanging Decorative Tiles
132,2021-07-09,43397.0,Hanging Decorative Tiles
