,date,value,name_B08N4371RQ
0,2020-11-16,3873.0,Automatic Pool Cleaner Replacement Parts
1,2020-11-17,4932.0,Automatic Pool Cleaner Replacement Parts
2,2020-11-18,4932.0,Automatic Pool Cleaner Replacement Parts
3,2020-11-19,6464.0,Automatic Pool Cleaner Replacement Parts
4,2020-11-20,4466.0,Automatic Pool Cleaner Replacement Parts
5,2020-11-21,4466.0,Automatic Pool Cleaner Replacement Parts
6,2020-11-22,7816.0,Automatic Pool Cleaner Replacement Parts
7,2020-11-23,7816.0,Automatic Pool Cleaner Replacement Parts
8,2020-11-24,7816.0,Automatic Pool Cleaner Replacement Parts
9,2020-11-25,7816.0,Automatic Pool Cleaner Replacement Parts
10,2020-11-26,7816.0,Automatic Pool Cleaner Replacement Parts
11,2020-11-27,7816.0,Automatic Pool Cleaner Replacement Parts
12,2020-11-28,7816.0,Automatic Pool Cleaner Replacement Parts
13,2020-11-29,8574.0,Automatic Pool Cleaner Replacement Parts
14,2020-11-30,8574.0,Automatic Pool Cleaner Replacement Parts
15,2020-12-01,8574.0,Automatic Pool Cleaner Replacement Parts
16,2020-12-02,8574.0,Automatic Pool Cleaner Replacement Parts
17,2020-12-03,8574.0,Automatic Pool Cleaner Replacement Parts
18,2020-12-04,8249.0,Automatic Pool Cleaner Replacement Parts
19,2020-12-05,8249.0,Automatic Pool Cleaner Replacement Parts
20,2020-12-06,8249.0,Automatic Pool Cleaner Replacement Parts
21,2020-12-07,7293.0,Automatic Pool Cleaner Replacement Parts
22,2020-12-08,7293.0,Automatic Pool Cleaner Replacement Parts
23,2020-12-09,7293.0,Automatic Pool Cleaner Replacement Parts
24,2020-12-10,7794.0,Automatic Pool Cleaner Replacement Parts
25,2020-12-11,7794.0,Automatic Pool Cleaner Replacement Parts
26,2020-12-12,7794.0,Automatic Pool Cleaner Replacement Parts
27,2020-12-13,7794.0,Automatic Pool Cleaner Replacement Parts
28,2020-12-14,12540.0,Automatic Pool Cleaner Replacement Parts
29,2020-12-15,12540.0,Automatic Pool Cleaner Replacement Parts
30,2020-12-16,12540.0,Automatic Pool Cleaner Replacement Parts
31,2020-12-17,10179.0,Automatic Pool Cleaner Replacement Parts
32,2020-12-18,10179.0,Automatic Pool Cleaner Replacement Parts
33,2020-12-19,10179.0,Automatic Pool Cleaner Replacement Parts
34,2020-12-20,10179.0,Automatic Pool Cleaner Replacement Parts
35,2020-12-21,10179.0,Automatic Pool Cleaner Replacement Parts
36,2020-12-22,8459.0,Automatic Pool Cleaner Replacement Parts
37,2020-12-23,8459.0,Automatic Pool Cleaner Replacement Parts
38,2020-12-24,8459.0,Automatic Pool Cleaner Replacement Parts
39,2020-12-25,3121.0,Automatic Pool Cleaner Replacement Parts
40,2020-12-26,6824.0,Automatic Pool Cleaner Replacement Parts
41,2020-12-27,6199.0,Automatic Pool Cleaner Replacement Parts
42,2020-12-28,6199.0,Automatic Pool Cleaner Replacement Parts
43,2020-12-29,6199.0,Automatic Pool Cleaner Replacement Parts
44,2020-12-30,6199.0,Automatic Pool Cleaner Replacement Parts
45,2020-12-31,6199.0,Automatic Pool Cleaner Replacement Parts
46,2021-01-01,6199.0,Automatic Pool Cleaner Replacement Parts
47,2021-01-02,6199.0,Automatic Pool Cleaner Replacement Parts
48,2021-01-03,4853.0,Automatic Pool Cleaner Replacement Parts
49,2021-01-04,4853.0,Automatic Pool Cleaner Replacement Parts
50,2021-01-05,4853.0,Automatic Pool Cleaner Replacement Parts
51,2021-01-06,4853.0,Automatic Pool Cleaner Replacement Parts
52,2021-01-07,5878.0,Automatic Pool Cleaner Replacement Parts
53,2021-01-08,5878.0,Automatic Pool Cleaner Replacement Parts
54,2021-01-09,5878.0,Automatic Pool Cleaner Replacement Parts
55,2021-01-10,5878.0,Automatic Pool Cleaner Replacement Parts
56,2021-01-11,9723.0,Automatic Pool Cleaner Replacement Parts
57,2021-01-12,9723.0,Automatic Pool Cleaner Replacement Parts
58,2021-01-13,9723.0,Automatic Pool Cleaner Replacement Parts
59,2021-01-14,8004.0,Automatic Pool Cleaner Replacement Parts
60,2021-01-15,8004.0,Automatic Pool Cleaner Replacement Parts
61,2021-01-16,8004.0,Automatic Pool Cleaner Replacement Parts
62,2021-01-17,8004.0,Automatic Pool Cleaner Replacement Parts
63,2021-01-18,8004.0,Automatic Pool Cleaner Replacement Parts
64,2021-01-19,2962.0,Automatic Pool Cleaner Replacement Parts
65,2021-01-20,2962.0,Automatic Pool Cleaner Replacement Parts
66,2021-01-21,2962.0,Automatic Pool Cleaner Replacement Parts
67,2021-01-22,8937.0,Automatic Pool Cleaner Replacement Parts
68,2021-01-23,8370.0,Automatic Pool Cleaner Replacement Parts
69,2021-01-24,8370.0,Automatic Pool Cleaner Replacement Parts
70,2021-01-25,7320.0,Automatic Pool Cleaner Replacement Parts
71,2021-01-26,7320.0,Automatic Pool Cleaner Replacement Parts
72,2021-01-27,7320.0,Automatic Pool Cleaner Replacement Parts
73,2021-01-28,7320.0,Automatic Pool Cleaner Replacement Parts
74,2021-01-29,5830.0,Automatic Pool Cleaner Replacement Parts
75,2021-01-30,5830.0,Automatic Pool Cleaner Replacement Parts
76,2021-01-31,5830.0,Automatic Pool Cleaner Replacement Parts
77,2021-02-01,6702.0,Automatic Pool Cleaner Replacement Parts
78,2021-02-02,6702.0,Automatic Pool Cleaner Replacement Parts
79,2021-02-03,6702.0,Automatic Pool Cleaner Replacement Parts
80,2021-02-04,6467.0,Automatic Pool Cleaner Replacement Parts
81,2021-02-05,6467.0,Automatic Pool Cleaner Replacement Parts
82,2021-02-06,6467.0,Automatic Pool Cleaner Replacement Parts
83,2021-02-07,6467.0,Automatic Pool Cleaner Replacement Parts
84,2021-02-08,6126.0,Automatic Pool Cleaner Replacement Parts
85,2021-02-09,7901.0,Automatic Pool Cleaner Replacement Parts
86,2021-02-10,7506.0,Automatic Pool Cleaner Replacement Parts
87,2021-02-11,7506.0,Automatic Pool Cleaner Replacement Parts
88,2021-02-12,7506.0,Automatic Pool Cleaner Replacement Parts
89,2021-02-13,14254.0,Automatic Pool Cleaner Replacement Parts
90,2021-02-14,14254.0,Automatic Pool Cleaner Replacement Parts
91,2021-02-15,14254.0,Automatic Pool Cleaner Replacement Parts
92,2021-02-16,11072.0,Automatic Pool Cleaner Replacement Parts
93,2021-02-17,11072.0,Automatic Pool Cleaner Replacement Parts
94,2021-02-18,11072.0,Automatic Pool Cleaner Replacement Parts
95,2021-02-19,11244.0,Automatic Pool Cleaner Replacement Parts
96,2021-02-20,11244.0,Automatic Pool Cleaner Replacement Parts
97,2021-02-21,11244.0,Automatic Pool Cleaner Replacement Parts
98,2021-02-22,11244.0,Automatic Pool Cleaner Replacement Parts
99,2021-02-23,3910.0,Automatic Pool Cleaner Replacement Parts
100,2021-02-24,3910.0,Automatic Pool Cleaner Replacement Parts
101,2021-02-25,5514.0,Automatic Pool Cleaner Replacement Parts
102,2021-02-26,5514.0,Automatic Pool Cleaner Replacement Parts
103,2021-02-27,5514.0,Automatic Pool Cleaner Replacement Parts
104,2021-02-28,5514.0,Automatic Pool Cleaner Replacement Parts
105,2021-03-01,3820.0,Automatic Pool Cleaner Replacement Parts
106,2021-03-02,3820.0,Automatic Pool Cleaner Replacement Parts
107,2021-03-03,3820.0,Automatic Pool Cleaner Replacement Parts
108,2021-03-04,6759.0,Automatic Pool Cleaner Replacement Parts
109,2021-03-05,6759.0,Automatic Pool Cleaner Replacement Parts
110,2021-03-06,6759.0,Automatic Pool Cleaner Replacement Parts
111,2021-03-07,9169.0,Automatic Pool Cleaner Replacement Parts
112,2021-03-08,9169.0,Automatic Pool Cleaner Replacement Parts
113,2021-03-09,9169.0,Automatic Pool Cleaner Replacement Parts
114,2021-03-10,7059.0,Automatic Pool Cleaner Replacement Parts
115,2021-03-11,7059.0,Automatic Pool Cleaner Replacement Parts
116,2021-03-12,7059.0,Automatic Pool Cleaner Replacement Parts
117,2021-03-13,7059.0,Automatic Pool Cleaner Replacement Parts
118,2021-03-14,4628.0,Automatic Pool Cleaner Replacement Parts
119,2021-03-15,6157.0,Automatic Pool Cleaner Replacement Parts
120,2021-03-16,7298.0,Automatic Pool Cleaner Replacement Parts
121,2021-03-17,7298.0,Automatic Pool Cleaner Replacement Parts
122,2021-03-18,7298.0,Automatic Pool Cleaner Replacement Parts
123,2021-03-19,4784.0,Automatic Pool Cleaner Replacement Parts
124,2021-03-20,4784.0,Automatic Pool Cleaner Replacement Parts
125,2021-03-21,4784.0,Automatic Pool Cleaner Replacement Parts
126,2021-03-22,4784.0,Automatic Pool Cleaner Replacement Parts
127,2021-03-23,4784.0,Automatic Pool Cleaner Replacement Parts
128,2021-03-24,8444.0,Automatic Pool Cleaner Replacement Parts
129,2021-03-25,8444.0,Automatic Pool Cleaner Replacement Parts
130,2021-03-26,8444.0,Automatic Pool Cleaner Replacement Parts
131,2021-03-27,8444.0,Automatic Pool Cleaner Replacement Parts
132,2021-03-28,8033.0,Automatic Pool Cleaner Replacement Parts
133,2021-03-29,8033.0,Automatic Pool Cleaner Replacement Parts
134,2021-03-30,8033.0,Automatic Pool Cleaner Replacement Parts
135,2021-03-31,6895.0,Automatic Pool Cleaner Replacement Parts
136,2021-04-01,6895.0,Automatic Pool Cleaner Replacement Parts
137,2021-04-02,6895.0,Automatic Pool Cleaner Replacement Parts
138,2021-04-03,5428.0,Automatic Pool Cleaner Replacement Parts
139,2021-04-04,5428.0,Automatic Pool Cleaner Replacement Parts
140,2021-04-05,7174.0,Automatic Pool Cleaner Replacement Parts
141,2021-04-06,7174.0,Automatic Pool Cleaner Replacement Parts
142,2021-04-07,7116.0,Automatic Pool Cleaner Replacement Parts
143,2021-04-08,7116.0,Automatic Pool Cleaner Replacement Parts
144,2021-04-09,7116.0,Automatic Pool Cleaner Replacement Parts
145,2021-04-10,7116.0,Automatic Pool Cleaner Replacement Parts
146,2021-04-11,7116.0,Automatic Pool Cleaner Replacement Parts
147,2021-04-12,5257.0,Automatic Pool Cleaner Replacement Parts
148,2021-04-13,5257.0,Automatic Pool Cleaner Replacement Parts
149,2021-04-14,7196.0,Automatic Pool Cleaner Replacement Parts
150,2021-04-15,5298.0,Automatic Pool Cleaner Replacement Parts
151,2021-04-16,5298.0,Automatic Pool Cleaner Replacement Parts
152,2021-04-17,5298.0,Automatic Pool Cleaner Replacement Parts
153,2021-04-18,5298.0,Automatic Pool Cleaner Replacement Parts
154,2021-04-19,5298.0,Automatic Pool Cleaner Replacement Parts
155,2021-04-20,7190.0,Automatic Pool Cleaner Replacement Parts
156,2021-04-21,7190.0,Automatic Pool Cleaner Replacement Parts
157,2021-04-22,7190.0,Automatic Pool Cleaner Replacement Parts
158,2021-04-23,7190.0,Automatic Pool Cleaner Replacement Parts
159,2021-04-24,7190.0,Automatic Pool Cleaner Replacement Parts
160,2021-04-25,4457.0,Automatic Pool Cleaner Replacement Parts
161,2021-04-26,4457.0,Automatic Pool Cleaner Replacement Parts
162,2021-04-27,4457.0,Automatic Pool Cleaner Replacement Parts
163,2021-04-28,6485.0,Automatic Pool Cleaner Replacement Parts
164,2021-04-29,6485.0,Automatic Pool Cleaner Replacement Parts
165,2021-04-30,7083.0,Automatic Pool Cleaner Replacement Parts
166,2021-05-01,7083.0,Automatic Pool Cleaner Replacement Parts
167,2021-05-02,6598.0,Automatic Pool Cleaner Replacement Parts
168,2021-05-03,6598.0,Automatic Pool Cleaner Replacement Parts
169,2021-05-04,6045.0,Automatic Pool Cleaner Replacement Parts
170,2021-05-05,6045.0,Automatic Pool Cleaner Replacement Parts
171,2021-05-06,6891.0,Automatic Pool Cleaner Replacement Parts
172,2021-05-07,6891.0,Automatic Pool Cleaner Replacement Parts
173,2021-05-08,5792.0,Automatic Pool Cleaner Replacement Parts
174,2021-05-09,5792.0,Automatic Pool Cleaner Replacement Parts
175,2021-05-10,4071.0,Automatic Pool Cleaner Replacement Parts
176,2021-05-11,5443.0,Automatic Pool Cleaner Replacement Parts
177,2021-05-12,5443.0,Automatic Pool Cleaner Replacement Parts
178,2021-05-13,5484.0,Automatic Pool Cleaner Replacement Parts
179,2021-05-14,5549.0,Automatic Pool Cleaner Replacement Parts
180,2021-05-15,5549.0,Automatic Pool Cleaner Replacement Parts
181,2021-05-16,7421.0,Automatic Pool Cleaner Replacement Parts
182,2021-05-17,6352.0,Automatic Pool Cleaner Replacement Parts
183,2021-05-18,6352.0,Automatic Pool Cleaner Replacement Parts
184,2021-05-19,6648.0,Automatic Pool Cleaner Replacement Parts
185,2021-05-20,5525.0,Automatic Pool Cleaner Replacement Parts
186,2021-05-21,5525.0,Automatic Pool Cleaner Replacement Parts
187,2021-05-22,4992.0,Automatic Pool Cleaner Replacement Parts
188,2021-05-23,4992.0,Automatic Pool Cleaner Replacement Parts
189,2021-05-24,4608.0,Automatic Pool Cleaner Replacement Parts
190,2021-05-25,4608.0,Automatic Pool Cleaner Replacement Parts
191,2021-05-26,6401.0,Automatic Pool Cleaner Replacement Parts
192,2021-05-27,4446.0,Automatic Pool Cleaner Replacement Parts
193,2021-05-28,5011.0,Automatic Pool Cleaner Replacement Parts
194,2021-05-29,5011.0,Automatic Pool Cleaner Replacement Parts
195,2021-05-30,3584.0,Automatic Pool Cleaner Replacement Parts
196,2021-05-31,4137.0,Automatic Pool Cleaner Replacement Parts
197,2021-06-01,4632.0,Automatic Pool Cleaner Replacement Parts
198,2021-06-02,4804.0,Automatic Pool Cleaner Replacement Parts
199,2021-06-03,6346.0,Automatic Pool Cleaner Replacement Parts
200,2021-06-04,6346.0,Automatic Pool Cleaner Replacement Parts
201,2021-06-05,5897.0,Automatic Pool Cleaner Replacement Parts
202,2021-06-06,6239.0,Automatic Pool Cleaner Replacement Parts
203,2021-06-07,6239.0,Automatic Pool Cleaner Replacement Parts
204,2021-06-08,5574.0,Automatic Pool Cleaner Replacement Parts
205,2021-06-09,4754.0,Automatic Pool Cleaner Replacement Parts
206,2021-06-10,4754.0,Automatic Pool Cleaner Replacement Parts
207,2021-06-11,4754.0,Automatic Pool Cleaner Replacement Parts
208,2021-06-12,4754.0,Automatic Pool Cleaner Replacement Parts
209,2021-06-13,4978.0,Automatic Pool Cleaner Replacement Parts
210,2021-06-14,4978.0,Automatic Pool Cleaner Replacement Parts
211,2021-06-15,4745.0,Automatic Pool Cleaner Replacement Parts
212,2021-06-16,4745.0,Automatic Pool Cleaner Replacement Parts
213,2021-06-17,6051.0,Automatic Pool Cleaner Replacement Parts
214,2021-06-18,6051.0,Automatic Pool Cleaner Replacement Parts
215,2021-06-19,4020.0,Automatic Pool Cleaner Replacement Parts
216,2021-06-20,4794.0,Automatic Pool Cleaner Replacement Parts
217,2021-06-21,5363.0,Automatic Pool Cleaner Replacement Parts
218,2021-06-22,5363.0,Automatic Pool Cleaner Replacement Parts
219,2021-06-23,6639.0,Automatic Pool Cleaner Replacement Parts
220,2021-06-24,6639.0,Automatic Pool Cleaner Replacement Parts
221,2021-06-25,6639.0,Automatic Pool Cleaner Replacement Parts
222,2021-06-26,6639.0,Automatic Pool Cleaner Replacement Parts
223,2021-06-27,4703.0,Automatic Pool Cleaner Replacement Parts
224,2021-06-28,4703.0,Automatic Pool Cleaner Replacement Parts
225,2021-06-29,6206.0,Automatic Pool Cleaner Replacement Parts
226,2021-06-30,5724.0,Automatic Pool Cleaner Replacement Parts
227,2021-07-01,5724.0,Automatic Pool Cleaner Replacement Parts
228,2021-07-02,5724.0,Automatic Pool Cleaner Replacement Parts
229,2021-07-03,4519.0,Automatic Pool Cleaner Replacement Parts
230,2021-07-04,4519.0,Automatic Pool Cleaner Replacement Parts
231,2021-07-05,4519.0,Automatic Pool Cleaner Replacement Parts
232,2021-07-06,3459.0,Automatic Pool Cleaner Replacement Parts
233,2021-07-07,3459.0,Automatic Pool Cleaner Replacement Parts
234,2021-07-08,3459.0,Automatic Pool Cleaner Replacement Parts
235,2021-07-09,5708.0,Automatic Pool Cleaner Replacement Parts
236,2021-07-10,5169.0,Automatic Pool Cleaner Replacement Parts
