,date,value,name_B08NJTJ6LT
0,2020-11-19,5487.0,Air Pump Accessories
1,2020-11-20,5487.0,Air Pump Accessories
2,2020-11-21,5487.0,Air Pump Accessories
3,2020-11-22,5487.0,Air Pump Accessories
4,2020-11-23,5487.0,Air Pump Accessories
5,2020-11-24,6452.0,Air Pump Accessories
6,2020-11-25,6452.0,Air Pump Accessories
7,2020-11-26,6452.0,Air Pump Accessories
8,2020-11-27,6452.0,Air Pump Accessories
9,2020-11-28,6452.0,Air Pump Accessories
10,2020-11-29,6452.0,Air Pump Accessories
11,2020-11-30,7168.0,Air Pump Accessories
12,2020-12-01,7168.0,Air Pump Accessories
13,2020-12-02,7168.0,Air Pump Accessories
14,2020-12-03,7168.0,Air Pump Accessories
15,2020-12-04,7168.0,Air Pump Accessories
16,2020-12-05,7168.0,Air Pump Accessories
17,2020-12-06,7168.0,Air Pump Accessories
18,2020-12-07,7174.0,Air Pump Accessories
19,2020-12-08,7174.0,Air Pump Accessories
20,2020-12-09,7174.0,Air Pump Accessories
21,2020-12-10,9024.0,Air Pump Accessories
22,2020-12-11,9024.0,Air Pump Accessories
23,2020-12-12,9024.0,Air Pump Accessories
24,2020-12-13,9024.0,Air Pump Accessories
25,2020-12-14,9024.0,Air Pump Accessories
26,2020-12-15,22118.0,Air Pump Accessories
27,2020-12-16,22118.0,Air Pump Accessories
28,2020-12-17,9396.0,Air Pump Accessories
29,2020-12-18,9396.0,Air Pump Accessories
30,2020-12-19,9396.0,Air Pump Accessories
31,2020-12-20,9396.0,Air Pump Accessories
32,2020-12-21,9396.0,Air Pump Accessories
33,2020-12-22,8183.0,Air Pump Accessories
34,2020-12-23,8183.0,Air Pump Accessories
35,2020-12-24,8183.0,Air Pump Accessories
36,2020-12-25,8183.0,Air Pump Accessories
37,2020-12-26,8183.0,Air Pump Accessories
38,2020-12-27,8183.0,Air Pump Accessories
39,2020-12-28,8183.0,Air Pump Accessories
40,2020-12-29,9269.0,Air Pump Accessories
41,2020-12-30,9269.0,Air Pump Accessories
42,2020-12-31,7889.0,Air Pump Accessories
43,2021-01-01,7889.0,Air Pump Accessories
44,2021-01-02,7889.0,Air Pump Accessories
45,2021-01-03,7889.0,Air Pump Accessories
46,2021-01-04,7051.0,Air Pump Accessories
47,2021-01-05,7051.0,Air Pump Accessories
48,2021-01-06,7051.0,Air Pump Accessories
49,2021-01-07,7051.0,Air Pump Accessories
50,2021-01-08,7051.0,Air Pump Accessories
51,2021-01-09,7051.0,Air Pump Accessories
52,2021-01-10,9601.0,Air Pump Accessories
53,2021-01-11,9601.0,Air Pump Accessories
54,2021-01-12,9601.0,Air Pump Accessories
55,2021-01-13,9601.0,Air Pump Accessories
56,2021-01-14,7796.0,Air Pump Accessories
57,2021-01-15,7796.0,Air Pump Accessories
58,2021-01-16,7796.0,Air Pump Accessories
59,2021-01-17,9677.0,Air Pump Accessories
60,2021-01-18,9677.0,Air Pump Accessories
61,2021-01-19,9677.0,Air Pump Accessories
62,2021-01-20,8917.0,Air Pump Accessories
63,2021-01-21,8917.0,Air Pump Accessories
64,2021-01-22,8917.0,Air Pump Accessories
65,2021-01-23,5056.0,Air Pump Accessories
66,2021-01-24,6433.0,Air Pump Accessories
67,2021-01-25,6433.0,Air Pump Accessories
68,2021-01-26,6433.0,Air Pump Accessories
69,2021-01-27,6433.0,Air Pump Accessories
70,2021-01-28,5383.0,Air Pump Accessories
71,2021-01-29,6081.0,Air Pump Accessories
72,2021-01-30,6559.0,Air Pump Accessories
73,2021-01-31,6559.0,Air Pump Accessories
74,2021-02-01,6029.0,Air Pump Accessories
75,2021-02-02,6029.0,Air Pump Accessories
76,2021-02-03,6029.0,Air Pump Accessories
77,2021-02-04,6029.0,Air Pump Accessories
78,2021-02-05,6029.0,Air Pump Accessories
79,2021-02-06,6029.0,Air Pump Accessories
80,2021-02-07,4370.0,Air Pump Accessories
81,2021-02-08,4370.0,Air Pump Accessories
82,2021-02-09,5409.0,Air Pump Accessories
83,2021-02-10,5139.0,Air Pump Accessories
84,2021-02-11,5139.0,Air Pump Accessories
85,2021-02-12,5139.0,Air Pump Accessories
86,2021-02-13,5139.0,Air Pump Accessories
87,2021-02-14,5139.0,Air Pump Accessories
88,2021-02-15,6301.0,Air Pump Accessories
89,2021-02-16,5851.0,Air Pump Accessories
90,2021-02-17,4984.0,Air Pump Accessories
91,2021-02-18,4984.0,Air Pump Accessories
92,2021-02-19,4984.0,Air Pump Accessories
93,2021-02-20,4984.0,Air Pump Accessories
94,2021-02-21,6118.0,Air Pump Accessories
95,2021-02-22,6118.0,Air Pump Accessories
96,2021-02-23,6118.0,Air Pump Accessories
97,2021-02-24,6071.0,Air Pump Accessories
98,2021-02-25,6071.0,Air Pump Accessories
99,2021-02-26,6071.0,Air Pump Accessories
100,2021-02-27,6071.0,Air Pump Accessories
101,2021-02-28,6071.0,Air Pump Accessories
102,2021-03-01,5728.0,Air Pump Accessories
103,2021-03-02,5728.0,Air Pump Accessories
104,2021-03-03,5728.0,Air Pump Accessories
105,2021-03-04,5714.0,Air Pump Accessories
106,2021-03-05,5714.0,Air Pump Accessories
107,2021-03-06,5714.0,Air Pump Accessories
108,2021-03-07,5655.0,Air Pump Accessories
109,2021-03-08,5655.0,Air Pump Accessories
110,2021-03-09,5564.0,Air Pump Accessories
111,2021-03-10,5564.0,Air Pump Accessories
112,2021-03-11,5876.0,Air Pump Accessories
113,2021-03-12,5876.0,Air Pump Accessories
114,2021-03-13,5876.0,Air Pump Accessories
115,2021-03-14,5876.0,Air Pump Accessories
116,2021-03-15,5023.0,Air Pump Accessories
117,2021-03-16,5023.0,Air Pump Accessories
118,2021-03-17,5023.0,Air Pump Accessories
119,2021-03-18,5529.0,Air Pump Accessories
120,2021-03-19,5529.0,Air Pump Accessories
121,2021-03-20,5529.0,Air Pump Accessories
122,2021-03-21,5529.0,Air Pump Accessories
123,2021-03-22,5529.0,Air Pump Accessories
124,2021-03-23,5529.0,Air Pump Accessories
125,2021-03-24,5542.0,Air Pump Accessories
126,2021-03-25,6029.0,Air Pump Accessories
127,2021-03-26,6029.0,Air Pump Accessories
