,date,value,name_B08NP641MF
0,2020-11-19,76295.0,Duvets & Down Comforters
1,2020-11-20,76295.0,Duvets & Down Comforters
2,2020-11-21,61802.0,Duvets & Down Comforters
3,2020-11-22,61802.0,Duvets & Down Comforters
4,2020-11-23,61802.0,Duvets & Down Comforters
5,2020-11-24,63188.0,Duvets & Down Comforters
6,2020-11-25,63188.0,Duvets & Down Comforters
7,2020-11-26,63188.0,Duvets & Down Comforters
8,2020-11-27,56503.0,Duvets & Down Comforters
9,2020-11-28,72379.0,Duvets & Down Comforters
10,2020-11-29,72379.0,Duvets & Down Comforters
11,2020-11-30,53690.0,Duvets & Down Comforters
12,2020-12-01,61754.0,Duvets & Down Comforters
13,2020-12-02,71190.0,Duvets & Down Comforters
14,2020-12-03,82517.0,Duvets & Down Comforters
15,2020-12-04,82517.0,Duvets & Down Comforters
16,2020-12-05,82517.0,Duvets & Down Comforters
17,2020-12-06,82517.0,Duvets & Down Comforters
18,2020-12-07,59100.0,Duvets & Down Comforters
19,2020-12-08,59100.0,Duvets & Down Comforters
20,2020-12-09,74427.0,Duvets & Down Comforters
21,2020-12-10,74427.0,Duvets & Down Comforters
22,2020-12-11,67064.0,Duvets & Down Comforters
23,2020-12-12,67064.0,Duvets & Down Comforters
24,2020-12-13,67064.0,Duvets & Down Comforters
25,2020-12-14,52903.0,Duvets & Down Comforters
26,2020-12-15,52903.0,Duvets & Down Comforters
27,2020-12-16,48853.0,Duvets & Down Comforters
28,2020-12-17,37817.0,Duvets & Down Comforters
29,2020-12-18,50230.0,Duvets & Down Comforters
30,2020-12-19,50230.0,Duvets & Down Comforters
31,2020-12-20,46039.0,Duvets & Down Comforters
32,2020-12-21,46039.0,Duvets & Down Comforters
33,2020-12-22,46039.0,Duvets & Down Comforters
34,2020-12-23,47121.0,Duvets & Down Comforters
35,2020-12-24,47121.0,Duvets & Down Comforters
36,2020-12-25,47121.0,Duvets & Down Comforters
37,2020-12-26,47121.0,Duvets & Down Comforters
38,2020-12-27,34848.0,Duvets & Down Comforters
39,2020-12-28,30048.0,Duvets & Down Comforters
