,date,value,name_B08NPW29NN
0,2020-11-20,111982.0,Garden Hoses
1,2020-11-21,60801.0,Garden Hoses
2,2020-11-22,60801.0,Garden Hoses
3,2020-11-23,60801.0,Garden Hoses
4,2020-11-24,38780.0,Garden Hoses
5,2020-11-25,38780.0,Garden Hoses
6,2020-11-26,85248.0,Garden Hoses
7,2020-11-27,93435.0,Garden Hoses
8,2020-11-28,93435.0,Garden Hoses
9,2020-11-29,93435.0,Garden Hoses
10,2020-11-30,69922.0,Garden Hoses
11,2020-12-01,81074.0,Garden Hoses
12,2020-12-02,81074.0,Garden Hoses
13,2020-12-03,51904.0,Garden Hoses
14,2020-12-04,51904.0,Garden Hoses
15,2020-12-05,51904.0,Garden Hoses
16,2020-12-06,53424.0,Garden Hoses
17,2020-12-07,53057.0,Garden Hoses
18,2020-12-08,65713.0,Garden Hoses
19,2020-12-09,90454.0,Garden Hoses
20,2020-12-10,65031.0,Garden Hoses
21,2020-12-11,65031.0,Garden Hoses
22,2020-12-12,65031.0,Garden Hoses
23,2020-12-13,65031.0,Garden Hoses
24,2020-12-14,117815.0,Garden Hoses
25,2020-12-15,117815.0,Garden Hoses
26,2020-12-16,143091.0,Garden Hoses
27,2020-12-17,144678.0,Garden Hoses
28,2020-12-18,147274.0,Garden Hoses
29,2020-12-19,146748.0,Garden Hoses
30,2020-12-20,142466.0,Garden Hoses
31,2020-12-21,142466.0,Garden Hoses
32,2020-12-22,142466.0,Garden Hoses
33,2020-12-23,81720.0,Garden Hoses
34,2020-12-24,108928.0,Garden Hoses
35,2020-12-25,119148.0,Garden Hoses
36,2020-12-26,119148.0,Garden Hoses
37,2020-12-27,119148.0,Garden Hoses
38,2020-12-28,143675.0,Garden Hoses
39,2020-12-29,145042.0,Garden Hoses
40,2020-12-30,145042.0,Garden Hoses
41,2020-12-31,126039.0,Garden Hoses
42,2021-01-01,126039.0,Garden Hoses
43,2021-01-02,126039.0,Garden Hoses
44,2021-01-03,126039.0,Garden Hoses
45,2021-01-04,116507.0,Garden Hoses
46,2021-01-05,116507.0,Garden Hoses
47,2021-01-06,76022.0,Garden Hoses
48,2021-01-07,76022.0,Garden Hoses
49,2021-01-08,111037.0,Garden Hoses
50,2021-01-09,103679.0,Garden Hoses
51,2021-01-10,103679.0,Garden Hoses
52,2021-01-11,103679.0,Garden Hoses
53,2021-01-12,75468.0,Garden Hoses
