,date,value,name_B08NSPSYVP
0,2020-11-21,22852.0,Health Care
1,2020-11-22,22852.0,Health Care
2,2020-11-23,22852.0,Health Care
3,2020-11-24,26016.0,Health Care
4,2020-11-25,26016.0,Health Care
5,2020-11-26,26016.0,Health Care
6,2020-11-27,26016.0,Health Care
7,2020-11-28,26016.0,Health Care
8,2020-11-29,26016.0,Health Care
9,2020-11-30,18281.0,Health Care
10,2020-12-01,18281.0,Health Care
11,2020-12-02,18281.0,Health Care
12,2020-12-03,21053.0,Health Care
13,2020-12-04,21053.0,Health Care
14,2020-12-05,21053.0,Health Care
15,2020-12-06,21053.0,Health Care
16,2020-12-07,21053.0,Health Care
17,2020-12-08,16307.0,Health Care
18,2020-12-09,16307.0,Health Care
19,2020-12-10,15753.0,Health Care
20,2020-12-11,15817.0,Health Care
21,2020-12-12,15817.0,Health Care
22,2020-12-13,15817.0,Health Care
23,2020-12-14,12195.0,Health Care
24,2020-12-15,12195.0,Health Care
25,2020-12-16,13760.0,Health Care
26,2020-12-17,13760.0,Health Care
27,2020-12-18,13760.0,Health Care
28,2020-12-19,26375.0,Health Care
29,2020-12-20,26153.0,Health Care
30,2020-12-21,26024.0,Health Care
31,2020-12-22,26024.0,Health Care
32,2020-12-23,26024.0,Health Care
33,2020-12-24,26024.0,Health Care
34,2020-12-25,17117.0,Health Care
35,2020-12-26,17117.0,Health Care
36,2020-12-27,17117.0,Health Care
37,2020-12-28,14158.0,Health Care
38,2020-12-29,14158.0,Health Care
39,2020-12-30,14158.0,Health Care
40,2020-12-31,19466.0,Health Care
41,2021-01-01,19466.0,Health Care
42,2021-01-02,19466.0,Health Care
43,2021-01-03,30858.0,Health Care
44,2021-01-04,30858.0,Health Care
45,2021-01-05,30858.0,Health Care
46,2021-01-06,30858.0,Health Care
47,2021-01-07,21654.0,Health Care
48,2021-01-08,21654.0,Health Care
49,2021-01-09,21654.0,Health Care
50,2021-01-10,16234.0,Health Care
51,2021-01-11,16234.0,Health Care
52,2021-01-12,16234.0,Health Care
53,2021-01-13,20629.0,Health Care
54,2021-01-14,20629.0,Health Care
55,2021-01-15,20629.0,Health Care
56,2021-01-16,19401.0,Health Care
57,2021-01-17,19401.0,Health Care
58,2021-01-18,19401.0,Health Care
59,2021-01-19,19401.0,Health Care
60,2021-01-20,15409.0,Health Care
61,2021-01-21,15409.0,Health Care
62,2021-01-22,15409.0,Health Care
63,2021-01-23,15409.0,Health Care
64,2021-01-24,15409.0,Health Care
65,2021-01-25,15409.0,Health Care
66,2021-01-26,15409.0,Health Care
67,2021-01-27,15409.0,Health Care
68,2021-01-28,15409.0,Health Care
69,2021-01-29,28547.0,Health Care
70,2021-01-30,28547.0,Health Care
71,2021-01-31,28547.0,Health Care
72,2021-02-01,25504.0,Health Care
73,2021-02-02,25504.0,Health Care
74,2021-02-03,25504.0,Health Care
75,2021-02-04,25504.0,Health Care
76,2021-02-05,25504.0,Health Care
77,2021-02-06,18362.0,Health Care
78,2021-02-07,18362.0,Health Care
79,2021-02-08,18362.0,Health Care
80,2021-02-09,18362.0,Health Care
81,2021-02-10,18362.0,Health Care
82,2021-02-11,16848.0,Health Care
83,2021-02-12,16848.0,Health Care
84,2021-02-13,16848.0,Health Care
85,2021-02-14,16848.0,Health Care
86,2021-02-15,18311.0,Health Care
87,2021-02-16,18311.0,Health Care
88,2021-02-17,18311.0,Health Care
89,2021-02-18,24941.0,Health Care
90,2021-02-19,24941.0,Health Care
91,2021-02-20,17569.0,Health Care
92,2021-02-21,17569.0,Health Care
93,2021-02-22,9590.0,Health Care
94,2021-02-23,9590.0,Health Care
95,2021-02-24,9590.0,Health Care
96,2021-02-25,11182.0,Health Care
97,2021-02-26,11182.0,Health Care
98,2021-02-27,10906.0,Health Care
99,2021-02-28,10906.0,Health Care
100,2021-03-01,10906.0,Health Care
101,2021-03-02,11968.0,Health Care
102,2021-03-03,11968.0,Health Care
103,2021-03-04,11968.0,Health Care
104,2021-03-05,12322.0,Health Care
105,2021-03-06,10744.0,Health Care
106,2021-03-07,10744.0,Health Care
107,2021-03-08,10377.0,Health Care
108,2021-03-09,10377.0,Health Care
109,2021-03-10,10377.0,Health Care
110,2021-03-11,10975.0,Health Care
111,2021-03-12,10975.0,Health Care
112,2021-03-13,10975.0,Health Care
113,2021-03-14,7059.0,Health Care
114,2021-03-15,7059.0,Health Care
115,2021-03-16,7059.0,Health Care
116,2021-03-17,7059.0,Health Care
117,2021-03-18,4018.0,Health Care
118,2021-03-19,4018.0,Health Care
119,2021-03-20,4018.0,Health Care
120,2021-03-21,2955.0,Health Care
121,2021-03-22,2955.0,Health Care
122,2021-03-23,2955.0,Health Care
123,2021-03-24,2955.0,Health Care
124,2021-03-25,2955.0,Health Care
125,2021-03-26,2955.0,Health Care
126,2021-03-27,2955.0,Health Care
127,2021-03-28,1259.0,Health Care
128,2021-03-29,1259.0,Health Care
129,2021-03-30,4972.0,Health Care
130,2021-03-31,4972.0,Health Care
131,2021-04-01,4972.0,Health Care
132,2021-04-02,4972.0,Health Care
133,2021-04-03,4972.0,Health Care
134,2021-04-04,6554.0,Health Care
135,2021-04-05,6554.0,Health Care
136,2021-04-06,9920.0,Health Care
137,2021-04-07,9920.0,Health Care
138,2021-04-08,5706.0,Health Care
139,2021-04-09,5706.0,Health Care
140,2021-04-10,5706.0,Health Care
141,2021-04-11,5134.0,Health Care
142,2021-04-12,6540.0,Health Care
143,2021-04-13,6540.0,Health Care
144,2021-04-14,8016.0,Health Care
145,2021-04-15,7782.0,Health Care
146,2021-04-16,7743.0,Health Care
147,2021-04-17,4700.0,Health Care
148,2021-04-18,4700.0,Health Care
149,2021-04-19,10405.0,Health Care
150,2021-04-20,9091.0,Health Care
151,2021-04-21,9091.0,Health Care
152,2021-04-22,6411.0,Health Care
153,2021-04-23,7979.0,Health Care
154,2021-04-24,7979.0,Health Care
155,2021-04-25,6882.0,Health Care
156,2021-04-26,6882.0,Health Care
157,2021-04-27,6882.0,Health Care
158,2021-04-28,8575.0,Health Care
159,2021-04-29,8575.0,Health Care
160,2021-04-30,8918.0,Health Care
161,2021-05-01,7922.0,Health Care
162,2021-05-02,7922.0,Health Care
163,2021-05-03,3410.0,Health Care
164,2021-05-04,3410.0,Health Care
165,2021-05-05,3410.0,Health Care
166,2021-05-06,2444.0,Health Care
167,2021-05-07,2444.0,Health Care
168,2021-05-08,2917.0,Health Care
169,2021-05-09,2917.0,Health Care
170,2021-05-10,3291.0,Health Care
171,2021-05-11,3291.0,Health Care
172,2021-05-12,1122.0,Health Care
173,2021-05-13,1122.0,Health Care
174,2021-05-14,2283.0,Health Care
175,2021-05-15,2283.0,Health Care
176,2021-05-16,2283.0,Health Care
177,2021-05-17,2581.0,Health Care
178,2021-05-18,2581.0,Health Care
179,2021-05-19,2680.0,Health Care
180,2021-05-20,3879.0,Health Care
181,2021-05-21,4202.0,Health Care
182,2021-05-22,4202.0,Health Care
183,2021-05-23,4202.0,Health Care
184,2021-05-24,3010.0,Health Care
185,2021-05-25,3614.0,Health Care
186,2021-05-26,2493.0,Health Care
187,2021-05-27,3537.0,Health Care
188,2021-05-28,3537.0,Health Care
189,2021-05-29,3186.0,Health Care
190,2021-05-30,3186.0,Health Care
191,2021-05-31,2648.0,Health Care
192,2021-06-01,2648.0,Health Care
193,2021-06-02,3646.0,Health Care
194,2021-06-03,4127.0,Health Care
195,2021-06-04,4127.0,Health Care
196,2021-06-05,1075.0,Health Care
197,2021-06-06,1075.0,Health Care
198,2021-06-07,951.0,Health Care
199,2021-06-08,951.0,Health Care
200,2021-06-09,2387.0,Health Care
201,2021-06-10,2387.0,Health Care
202,2021-06-11,2402.0,Health Care
203,2021-06-12,2476.0,Health Care
204,2021-06-13,2476.0,Health Care
205,2021-06-14,2311.0,Health Care
206,2021-06-15,2311.0,Health Care
207,2021-06-16,2311.0,Health Care
208,2021-06-17,1025.0,Health Care
209,2021-06-18,1025.0,Health Care
210,2021-06-19,1025.0,Health Care
211,2021-06-20,984.0,Health Care
212,2021-06-21,1310.0,Health Care
213,2021-06-22,1307.0,Health Care
214,2021-06-23,1307.0,Health Care
215,2021-06-24,292.0,Health Care
216,2021-06-25,477.0,Health Care
217,2021-06-26,490.0,Health Care
218,2021-06-27,574.0,Health Care
219,2021-06-28,574.0,Health Care
220,2021-06-29,686.0,Health Care
221,2021-06-30,834.0,Health Care
222,2021-07-01,816.0,Health Care
223,2021-07-02,1035.0,Health Care
224,2021-07-03,1191.0,Health Care
225,2021-07-04,1098.0,Health Care
226,2021-07-05,1114.0,Health Care
227,2021-07-06,1333.0,Health Care
228,2021-07-07,1451.0,Health Care
229,2021-07-08,1714.0,Health Care
230,2021-07-09,2004.0,Health Care
231,2021-07-10,1692.0,Health Care
