,date,value,name_B08NTX2P6P
0,2020-11-22,5767.0,Cloth Face Masks
1,2020-11-23,5767.0,Cloth Face Masks
2,2020-11-24,6452.0,Cloth Face Masks
3,2020-11-25,5765.0,Cloth Face Masks
4,2020-11-26,5765.0,Cloth Face Masks
5,2020-11-27,6254.0,Cloth Face Masks
6,2020-11-28,6254.0,Cloth Face Masks
7,2020-11-29,8671.0,Cloth Face Masks
8,2020-11-30,8671.0,Cloth Face Masks
9,2020-12-01,8985.0,Cloth Face Masks
10,2020-12-02,8985.0,Cloth Face Masks
11,2020-12-03,8985.0,Cloth Face Masks
12,2020-12-04,8985.0,Cloth Face Masks
13,2020-12-05,7047.0,Cloth Face Masks
14,2020-12-06,8243.0,Cloth Face Masks
15,2020-12-07,11881.0,Cloth Face Masks
16,2020-12-08,10564.0,Cloth Face Masks
17,2020-12-09,10564.0,Cloth Face Masks
18,2020-12-10,10564.0,Cloth Face Masks
19,2020-12-11,9886.0,Cloth Face Masks
20,2020-12-12,9886.0,Cloth Face Masks
21,2020-12-13,9886.0,Cloth Face Masks
22,2020-12-14,7683.0,Cloth Face Masks
23,2020-12-15,7683.0,Cloth Face Masks
24,2020-12-16,7683.0,Cloth Face Masks
25,2020-12-17,4882.0,Cloth Face Masks
26,2020-12-18,4882.0,Cloth Face Masks
27,2020-12-19,5196.0,Cloth Face Masks
28,2020-12-20,4393.0,Cloth Face Masks
29,2020-12-21,4823.0,Cloth Face Masks
30,2020-12-22,4306.0,Cloth Face Masks
31,2020-12-23,4306.0,Cloth Face Masks
32,2020-12-24,4186.0,Cloth Face Masks
33,2020-12-25,4186.0,Cloth Face Masks
34,2020-12-26,4186.0,Cloth Face Masks
35,2020-12-27,6731.0,Cloth Face Masks
36,2020-12-28,6731.0,Cloth Face Masks
37,2020-12-29,6731.0,Cloth Face Masks
38,2020-12-30,4676.0,Cloth Face Masks
39,2020-12-31,4871.0,Cloth Face Masks
40,2021-01-01,4871.0,Cloth Face Masks
41,2021-01-02,4871.0,Cloth Face Masks
42,2021-01-03,8138.0,Cloth Face Masks
43,2021-01-04,8830.0,Cloth Face Masks
44,2021-01-05,8882.0,Cloth Face Masks
45,2021-01-06,8882.0,Cloth Face Masks
46,2021-01-07,8882.0,Cloth Face Masks
47,2021-01-08,8882.0,Cloth Face Masks
48,2021-01-09,8882.0,Cloth Face Masks
49,2021-01-10,4682.0,Cloth Face Masks
50,2021-01-11,3583.0,Cloth Face Masks
51,2021-01-12,3022.0,Cloth Face Masks
52,2021-01-13,2806.0,Cloth Face Masks
53,2021-01-14,3471.0,Cloth Face Masks
54,2021-01-15,3224.0,Cloth Face Masks
55,2021-01-16,3224.0,Cloth Face Masks
56,2021-01-17,3224.0,Cloth Face Masks
57,2021-01-18,3062.0,Cloth Face Masks
58,2021-01-19,3062.0,Cloth Face Masks
59,2021-01-20,2666.0,Cloth Face Masks
60,2021-01-21,2666.0,Cloth Face Masks
61,2021-01-22,2297.0,Cloth Face Masks
62,2021-01-23,2297.0,Cloth Face Masks
63,2021-01-24,2297.0,Cloth Face Masks
64,2021-01-25,2453.0,Cloth Face Masks
65,2021-01-26,2453.0,Cloth Face Masks
66,2021-01-27,2910.0,Cloth Face Masks
67,2021-01-28,2910.0,Cloth Face Masks
68,2021-01-29,2511.0,Cloth Face Masks
69,2021-01-30,2904.0,Cloth Face Masks
70,2021-01-31,2904.0,Cloth Face Masks
71,2021-02-01,2904.0,Cloth Face Masks
72,2021-02-02,2330.0,Cloth Face Masks
73,2021-02-03,2330.0,Cloth Face Masks
74,2021-02-04,2330.0,Cloth Face Masks
75,2021-02-05,2682.0,Cloth Face Masks
76,2021-02-06,2517.0,Cloth Face Masks
77,2021-02-07,2692.0,Cloth Face Masks
78,2021-02-08,2692.0,Cloth Face Masks
79,2021-02-09,2692.0,Cloth Face Masks
80,2021-02-10,2735.0,Cloth Face Masks
81,2021-02-11,2413.0,Cloth Face Masks
82,2021-02-12,2368.0,Cloth Face Masks
83,2021-02-13,2262.0,Cloth Face Masks
84,2021-02-14,2262.0,Cloth Face Masks
85,2021-02-15,2262.0,Cloth Face Masks
86,2021-02-16,2852.0,Cloth Face Masks
87,2021-02-17,2852.0,Cloth Face Masks
88,2021-02-18,2834.0,Cloth Face Masks
89,2021-02-19,2834.0,Cloth Face Masks
90,2021-02-20,2684.0,Cloth Face Masks
91,2021-02-21,2684.0,Cloth Face Masks
92,2021-02-22,2287.0,Cloth Face Masks
93,2021-02-23,2287.0,Cloth Face Masks
94,2021-02-24,2287.0,Cloth Face Masks
95,2021-02-25,2455.0,Cloth Face Masks
96,2021-02-26,2455.0,Cloth Face Masks
97,2021-02-27,2455.0,Cloth Face Masks
98,2021-02-28,2215.0,Cloth Face Masks
99,2021-03-01,2361.0,Cloth Face Masks
100,2021-03-02,2266.0,Cloth Face Masks
101,2021-03-03,2266.0,Cloth Face Masks
102,2021-03-04,2435.0,Cloth Face Masks
103,2021-03-05,2366.0,Cloth Face Masks
104,2021-03-06,2349.0,Cloth Face Masks
105,2021-03-07,2246.0,Cloth Face Masks
106,2021-03-08,2246.0,Cloth Face Masks
107,2021-03-09,2069.0,Cloth Face Masks
108,2021-03-10,2367.0,Cloth Face Masks
109,2021-03-11,2267.0,Cloth Face Masks
110,2021-03-12,2366.0,Cloth Face Masks
111,2021-03-13,2366.0,Cloth Face Masks
112,2021-03-14,2366.0,Cloth Face Masks
113,2021-03-15,2180.0,Cloth Face Masks
114,2021-03-16,2180.0,Cloth Face Masks
115,2021-03-17,1982.0,Cloth Face Masks
116,2021-03-18,1982.0,Cloth Face Masks
117,2021-03-19,1982.0,Cloth Face Masks
118,2021-03-20,2032.0,Cloth Face Masks
119,2021-03-21,2032.0,Cloth Face Masks
120,2021-03-22,2032.0,Cloth Face Masks
121,2021-03-23,1436.0,Cloth Face Masks
122,2021-03-24,1436.0,Cloth Face Masks
123,2021-03-25,1436.0,Cloth Face Masks
124,2021-03-26,1406.0,Cloth Face Masks
125,2021-03-27,1406.0,Cloth Face Masks
126,2021-03-28,1625.0,Cloth Face Masks
127,2021-03-29,1625.0,Cloth Face Masks
128,2021-03-30,1408.0,Cloth Face Masks
129,2021-03-31,1408.0,Cloth Face Masks
130,2021-04-01,1408.0,Cloth Face Masks
131,2021-04-02,1430.0,Cloth Face Masks
