,date,value,name_B08NW681CB
0,2021-01-16,47849.0,Albums
1,2021-01-17,47849.0,Albums
2,2021-01-18,47849.0,Albums
3,2021-01-19,47849.0,Albums
4,2021-01-20,12459.0,Albums
5,2021-01-21,12459.0,Albums
6,2021-01-22,12459.0,Albums
7,2021-01-23,12459.0,Albums
8,2021-01-24,18689.0,Albums
9,2021-01-25,18689.0,Albums
10,2021-01-26,18689.0,Albums
11,2021-01-27,15372.0,Albums
12,2021-01-28,29992.0,Albums
13,2021-01-29,29992.0,Albums
14,2021-01-30,29992.0,Albums
15,2021-01-31,29992.0,Albums
16,2021-02-01,32971.0,Albums
17,2021-02-02,32971.0,Albums
18,2021-02-03,32971.0,Albums
19,2021-02-04,24087.0,Albums
20,2021-02-05,24087.0,Albums
21,2021-02-06,24087.0,Albums
22,2021-02-07,24087.0,Albums
23,2021-02-08,24087.0,Albums
24,2021-02-09,24087.0,Albums
25,2021-02-10,24087.0,Albums
26,2021-02-11,24087.0,Albums
27,2021-02-12,24087.0,Albums
28,2021-02-13,24087.0,Albums
29,2021-02-14,24087.0,Albums
30,2021-02-15,24087.0,Albums
31,2021-02-16,24087.0,Albums
32,2021-02-17,17005.0,Albums
33,2021-02-18,17005.0,Albums
34,2021-02-19,17005.0,Albums
35,2021-02-20,17005.0,Albums
36,2021-02-21,16800.0,Albums
37,2021-02-22,16800.0,Albums
38,2021-02-23,16800.0,Albums
39,2021-02-24,38260.0,Albums
40,2021-02-25,38260.0,Albums
41,2021-02-26,38260.0,Albums
42,2021-02-27,38260.0,Albums
43,2021-02-28,38260.0,Albums
44,2021-03-01,23836.0,Albums
45,2021-03-02,23836.0,Albums
46,2021-03-03,39888.0,Albums
47,2021-03-04,41893.0,Albums
48,2021-03-05,41893.0,Albums
49,2021-03-06,41893.0,Albums
50,2021-03-07,41893.0,Albums
51,2021-03-08,41893.0,Albums
52,2021-03-09,41893.0,Albums
53,2021-03-10,41893.0,Albums
54,2021-03-11,44849.0,Albums
55,2021-03-12,44849.0,Albums
56,2021-03-13,44849.0,Albums
57,2021-03-14,44849.0,Albums
58,2021-03-15,44849.0,Albums
59,2021-03-16,44849.0,Albums
60,2021-03-17,27863.0,Albums
61,2021-03-18,27863.0,Albums
62,2021-03-19,27863.0,Albums
63,2021-03-20,27863.0,Albums
64,2021-03-21,36098.0,Albums
65,2021-03-22,36098.0,Albums
66,2021-03-23,36098.0,Albums
67,2021-03-24,36098.0,Albums
68,2021-03-25,36098.0,Albums
69,2021-03-26,36098.0,Albums
70,2021-03-27,36098.0,Albums
71,2021-03-28,36098.0,Albums
72,2021-03-29,36098.0,Albums
73,2021-03-30,36098.0,Albums
74,2021-03-31,36098.0,Albums
75,2021-04-01,36098.0,Albums
76,2021-04-02,36098.0,Albums
77,2021-04-03,36098.0,Albums
78,2021-04-04,36098.0,Albums
79,2021-04-05,36098.0,Albums
80,2021-04-06,55942.0,Albums
81,2021-04-07,55942.0,Albums
82,2021-04-08,55942.0,Albums
83,2021-04-09,55942.0,Albums
84,2021-04-10,55942.0,Albums
85,2021-04-11,55942.0,Albums
86,2021-04-12,164905.0,Albums
87,2021-04-13,164905.0,Albums
88,2021-04-14,164905.0,Albums
89,2021-04-15,164905.0,Albums
90,2021-04-16,167768.0,Albums
91,2021-04-17,167768.0,Albums
92,2021-04-18,83401.0,Albums
93,2021-04-19,83401.0,Albums
94,2021-04-20,83401.0,Albums
95,2021-04-21,83401.0,Albums
96,2021-04-22,83401.0,Albums
97,2021-04-23,83401.0,Albums
98,2021-04-24,83401.0,Albums
99,2021-04-25,11778.0,Albums
100,2021-04-26,11778.0,Albums
101,2021-04-27,11778.0,Albums
102,2021-04-28,9135.0,Albums
103,2021-04-29,13331.0,Albums
104,2021-04-30,13331.0,Albums
105,2021-05-01,13331.0,Albums
106,2021-05-02,13331.0,Albums
107,2021-05-03,13331.0,Albums
108,2021-05-04,6826.0,Albums
109,2021-05-05,6826.0,Albums
110,2021-05-06,6826.0,Albums
111,2021-05-07,7766.0,Albums
112,2021-05-08,7766.0,Albums
113,2021-05-09,7766.0,Albums
114,2021-05-10,9557.0,Albums
115,2021-05-11,6613.0,Albums
116,2021-05-12,6613.0,Albums
117,2021-05-13,6613.0,Albums
118,2021-05-14,4298.0,Albums
119,2021-05-15,4298.0,Albums
120,2021-05-16,4298.0,Albums
121,2021-05-17,9362.0,Albums
122,2021-05-18,9362.0,Albums
123,2021-05-19,9362.0,Albums
124,2021-05-20,6242.0,Albums
125,2021-05-21,5048.0,Albums
126,2021-05-22,5048.0,Albums
127,2021-05-23,9180.0,Albums
128,2021-05-24,10677.0,Albums
129,2021-05-25,10677.0,Albums
130,2021-05-26,5156.0,Albums
131,2021-05-27,5156.0,Albums
132,2021-05-28,8021.0,Albums
133,2021-05-29,8021.0,Albums
134,2021-05-30,8021.0,Albums
135,2021-05-31,4585.0,Albums
136,2021-06-01,4585.0,Albums
137,2021-06-02,4585.0,Albums
138,2021-06-03,5360.0,Albums
139,2021-06-04,5360.0,Albums
140,2021-06-05,6470.0,Albums
141,2021-06-06,6470.0,Albums
142,2021-06-07,6470.0,Albums
143,2021-06-08,5685.0,Albums
144,2021-06-09,6336.0,Albums
145,2021-06-10,6336.0,Albums
146,2021-06-11,4814.0,Albums
147,2021-06-12,4814.0,Albums
148,2021-06-13,5237.0,Albums
149,2021-06-14,5237.0,Albums
150,2021-06-15,7786.0,Albums
151,2021-06-16,7786.0,Albums
152,2021-06-17,7786.0,Albums
153,2021-06-18,7504.0,Albums
154,2021-06-19,7504.0,Albums
155,2021-06-20,7504.0,Albums
156,2021-06-21,4960.0,Albums
157,2021-06-22,8603.0,Albums
158,2021-06-23,9404.0,Albums
159,2021-06-24,12864.0,Albums
160,2021-06-25,12864.0,Albums
