,date,value,name_B08P1LB3H2
0,2020-11-30,13019.0,Weather Stations
1,2020-12-01,13019.0,Weather Stations
2,2020-12-02,13019.0,Weather Stations
3,2020-12-03,2139.0,Weather Stations
4,2020-12-04,2139.0,Weather Stations
5,2020-12-05,2266.0,Weather Stations
6,2020-12-06,2266.0,Weather Stations
7,2020-12-07,2266.0,Weather Stations
8,2020-12-08,1413.0,Weather Stations
9,2020-12-09,1413.0,Weather Stations
10,2020-12-10,1164.0,Weather Stations
11,2020-12-11,1164.0,Weather Stations
12,2020-12-12,1164.0,Weather Stations
13,2020-12-13,1803.0,Weather Stations
14,2020-12-14,1983.0,Weather Stations
15,2020-12-15,1983.0,Weather Stations
16,2020-12-16,1983.0,Weather Stations
17,2020-12-17,2123.0,Weather Stations
18,2020-12-18,2060.0,Weather Stations
19,2020-12-19,2060.0,Weather Stations
20,2020-12-20,2229.0,Weather Stations
21,2020-12-21,2389.0,Weather Stations
22,2020-12-22,2533.0,Weather Stations
23,2020-12-23,2899.0,Weather Stations
24,2020-12-24,3725.0,Weather Stations
25,2020-12-25,3812.0,Weather Stations
26,2020-12-26,3358.0,Weather Stations
27,2020-12-27,2757.0,Weather Stations
28,2020-12-28,3711.0,Weather Stations
29,2020-12-29,3549.0,Weather Stations
30,2020-12-30,3479.0,Weather Stations
31,2020-12-31,3900.0,Weather Stations
32,2021-01-01,3645.0,Weather Stations
33,2021-01-02,3952.0,Weather Stations
34,2021-01-03,3625.0,Weather Stations
35,2021-01-04,4332.0,Weather Stations
36,2021-01-05,3551.0,Weather Stations
37,2021-01-06,4417.0,Weather Stations
38,2021-01-07,4955.0,Weather Stations
39,2021-01-08,4887.0,Weather Stations
40,2021-01-09,3604.0,Weather Stations
41,2021-01-10,5761.0,Weather Stations
42,2021-01-11,6576.0,Weather Stations
43,2021-01-12,4948.0,Weather Stations
44,2021-01-13,4311.0,Weather Stations
45,2021-01-14,5839.0,Weather Stations
46,2021-01-15,5839.0,Weather Stations
47,2021-01-16,5839.0,Weather Stations
48,2021-01-17,5839.0,Weather Stations
49,2021-01-18,5839.0,Weather Stations
50,2021-01-19,6655.0,Weather Stations
51,2021-01-20,6655.0,Weather Stations
52,2021-01-21,6655.0,Weather Stations
53,2021-01-22,6655.0,Weather Stations
54,2021-01-23,6796.0,Weather Stations
55,2021-01-24,6796.0,Weather Stations
56,2021-01-25,6796.0,Weather Stations
57,2021-01-26,9202.0,Weather Stations
58,2021-01-27,9186.0,Weather Stations
59,2021-01-28,9186.0,Weather Stations
60,2021-01-29,9186.0,Weather Stations
61,2021-01-30,10617.0,Weather Stations
62,2021-01-31,10617.0,Weather Stations
63,2021-02-01,10617.0,Weather Stations
64,2021-02-02,9760.0,Weather Stations
65,2021-02-03,9760.0,Weather Stations
66,2021-02-04,9760.0,Weather Stations
67,2021-02-05,9760.0,Weather Stations
68,2021-02-06,9760.0,Weather Stations
69,2021-02-07,9760.0,Weather Stations
70,2021-02-08,6455.0,Weather Stations
71,2021-02-09,6455.0,Weather Stations
72,2021-02-10,6455.0,Weather Stations
73,2021-02-11,4927.0,Weather Stations
74,2021-02-12,4927.0,Weather Stations
75,2021-02-13,4927.0,Weather Stations
76,2021-02-14,4927.0,Weather Stations
77,2021-02-15,4243.0,Weather Stations
78,2021-02-16,4243.0,Weather Stations
79,2021-02-17,4798.0,Weather Stations
80,2021-02-18,4798.0,Weather Stations
81,2021-02-19,4798.0,Weather Stations
82,2021-02-20,4724.0,Weather Stations
83,2021-02-21,4724.0,Weather Stations
84,2021-02-22,4724.0,Weather Stations
85,2021-02-23,5598.0,Weather Stations
86,2021-02-24,5598.0,Weather Stations
87,2021-02-25,7004.0,Weather Stations
88,2021-02-26,7004.0,Weather Stations
89,2021-02-27,7004.0,Weather Stations
90,2021-02-28,7004.0,Weather Stations
91,2021-03-01,8157.0,Weather Stations
92,2021-03-02,7281.0,Weather Stations
93,2021-03-03,7281.0,Weather Stations
94,2021-03-04,6645.0,Weather Stations
95,2021-03-05,6645.0,Weather Stations
96,2021-03-06,6645.0,Weather Stations
97,2021-03-07,8874.0,Weather Stations
98,2021-03-08,8874.0,Weather Stations
99,2021-03-09,8874.0,Weather Stations
100,2021-03-10,11463.0,Weather Stations
101,2021-03-11,9893.0,Weather Stations
102,2021-03-12,9893.0,Weather Stations
103,2021-03-13,9893.0,Weather Stations
104,2021-03-14,8138.0,Weather Stations
105,2021-03-15,8138.0,Weather Stations
106,2021-03-16,8138.0,Weather Stations
107,2021-03-17,10258.0,Weather Stations
108,2021-03-18,10258.0,Weather Stations
109,2021-03-19,13155.0,Weather Stations
110,2021-03-20,13155.0,Weather Stations
111,2021-03-21,13155.0,Weather Stations
112,2021-03-22,8227.0,Weather Stations
113,2021-03-23,8227.0,Weather Stations
114,2021-03-24,8227.0,Weather Stations
115,2021-03-25,8227.0,Weather Stations
116,2021-03-26,8227.0,Weather Stations
117,2021-03-27,8227.0,Weather Stations
118,2021-03-28,10937.0,Weather Stations
119,2021-03-29,10937.0,Weather Stations
120,2021-03-30,10937.0,Weather Stations
121,2021-03-31,11471.0,Weather Stations
122,2021-04-01,9503.0,Weather Stations
123,2021-04-02,9503.0,Weather Stations
124,2021-04-03,9503.0,Weather Stations
125,2021-04-04,8778.0,Weather Stations
126,2021-04-05,8778.0,Weather Stations
127,2021-04-06,10800.0,Weather Stations
128,2021-04-07,10800.0,Weather Stations
129,2021-04-08,12965.0,Weather Stations
130,2021-04-09,12965.0,Weather Stations
131,2021-04-10,12965.0,Weather Stations
132,2021-04-11,19224.0,Weather Stations
133,2021-04-12,24223.0,Weather Stations
134,2021-04-13,24223.0,Weather Stations
135,2021-04-14,18543.0,Weather Stations
136,2021-04-15,18543.0,Weather Stations
137,2021-04-16,14364.0,Weather Stations
