,date,value,name_B08P1PK1CJ
0,2020-12-12,531289.0,Lids
1,2020-12-13,589716.0,Lids
2,2020-12-14,617549.0,Lids
3,2020-12-15,650651.0,Lids
4,2020-12-16,214365.0,Lids
5,2020-12-17,298262.0,Lids
6,2020-12-18,199011.0,Lids
7,2020-12-19,256262.0,Lids
8,2020-12-20,301290.0,Lids
9,2020-12-21,336802.0,Lids
10,2020-12-22,369487.0,Lids
11,2020-12-23,394165.0,Lids
12,2020-12-24,417584.0,Lids
13,2020-12-25,433414.0,Lids
14,2020-12-26,447622.0,Lids
15,2020-12-27,466821.0,Lids
16,2020-12-28,472280.0,Lids
17,2020-12-29,489677.0,Lids
18,2020-12-30,500984.0,Lids
19,2020-12-31,511673.0,Lids
20,2021-01-01,524037.0,Lids
21,2021-01-02,175046.0,Lids
22,2021-01-03,219859.0,Lids
23,2021-01-04,283209.0,Lids
24,2021-01-05,319730.0,Lids
25,2021-01-06,356339.0,Lids
26,2021-01-07,389232.0,Lids
27,2021-01-08,192838.0,Lids
28,2021-01-09,235763.0,Lids
29,2021-01-10,272226.0,Lids
30,2021-01-11,298497.0,Lids
31,2021-01-12,343063.0,Lids
32,2021-01-13,173102.0,Lids
33,2021-01-14,225631.0,Lids
34,2021-01-15,251880.0,Lids
35,2021-01-16,301181.0,Lids
36,2021-01-17,326026.0,Lids
37,2021-01-18,355076.0,Lids
38,2021-01-19,388759.0,Lids
39,2021-01-20,400982.0,Lids
40,2021-01-21,415891.0,Lids
41,2021-01-22,433734.0,Lids
42,2021-01-23,446951.0,Lids
43,2021-01-24,455820.0,Lids
44,2021-01-25,170562.0,Lids
45,2021-01-26,237137.0,Lids
46,2021-01-27,258066.0,Lids
47,2021-01-28,298789.0,Lids
48,2021-01-29,318597.0,Lids
49,2021-01-30,367706.0,Lids
50,2021-01-31,392744.0,Lids
51,2021-02-01,415946.0,Lids
52,2021-02-02,188447.0,Lids
53,2021-02-03,237759.0,Lids
54,2021-02-04,268207.0,Lids
55,2021-02-05,298221.0,Lids
56,2021-02-06,331926.0,Lids
57,2021-02-07,366582.0,Lids
58,2021-02-08,393918.0,Lids
59,2021-02-09,412921.0,Lids
60,2021-02-10,429350.0,Lids
61,2021-02-11,443634.0,Lids
62,2021-02-12,455651.0,Lids
63,2021-02-13,112541.0,Lids
64,2021-02-14,212860.0,Lids
65,2021-02-15,212860.0,Lids
66,2021-02-16,212860.0,Lids
67,2021-02-17,316436.0,Lids
68,2021-02-18,357342.0,Lids
69,2021-02-19,383922.0,Lids
70,2021-02-20,180699.0,Lids
71,2021-02-21,214279.0,Lids
72,2021-02-22,214279.0,Lids
73,2021-02-23,301193.0,Lids
74,2021-02-24,149757.0,Lids
75,2021-02-25,207021.0,Lids
76,2021-02-26,251641.0,Lids
77,2021-02-27,277195.0,Lids
78,2021-02-28,317685.0,Lids
79,2021-03-01,352761.0,Lids
80,2021-03-02,376613.0,Lids
81,2021-03-03,383193.0,Lids
82,2021-03-04,405295.0,Lids
83,2021-03-05,423087.0,Lids
84,2021-03-06,423087.0,Lids
85,2021-03-07,444341.0,Lids
86,2021-03-08,149793.0,Lids
87,2021-03-09,207985.0,Lids
88,2021-03-10,247959.0,Lids
89,2021-03-11,300730.0,Lids
90,2021-03-12,315913.0,Lids
91,2021-03-13,97774.0,Lids
92,2021-03-14,175073.0,Lids
93,2021-03-15,229689.0,Lids
94,2021-03-16,279304.0,Lids
95,2021-03-17,648688.0,Lids
96,2021-03-18,658014.0,Lids
97,2021-03-19,674277.0,Lids
98,2021-03-20,689462.0,Lids
99,2021-03-21,696546.0,Lids
100,2021-03-22,160942.0,Lids
101,2021-03-23,172836.0,Lids
102,2021-03-24,138384.0,Lids
103,2021-03-25,199626.0,Lids
104,2021-03-26,105263.0,Lids
105,2021-03-27,93519.0,Lids
106,2021-03-28,78655.0,Lids
107,2021-03-29,78904.0,Lids
108,2021-03-30,80992.0,Lids
109,2021-03-31,75080.0,Lids
110,2021-04-01,37365.0,Lids
111,2021-04-02,41874.0,Lids
112,2021-04-03,31112.0,Lids
113,2021-04-04,58577.0,Lids
114,2021-04-05,88316.0,Lids
115,2021-04-06,120394.0,Lids
116,2021-04-07,155964.0,Lids
117,2021-04-08,178211.0,Lids
118,2021-04-09,192993.0,Lids
119,2021-04-10,200173.0,Lids
120,2021-04-11,205015.0,Lids
121,2021-04-12,205015.0,Lids
122,2021-04-13,234977.0,Lids
123,2021-04-14,239109.0,Lids
124,2021-04-15,240621.0,Lids
125,2021-04-16,61471.0,Lids
126,2021-04-17,58671.0,Lids
127,2021-04-18,46287.0,Lids
128,2021-04-19,43897.0,Lids
129,2021-04-20,47133.0,Lids
130,2021-04-21,36125.0,Lids
131,2021-04-22,35632.0,Lids
132,2021-04-23,33768.0,Lids
133,2021-04-24,27773.0,Lids
134,2021-04-25,21889.0,Lids
135,2021-04-26,30130.0,Lids
136,2021-04-27,29930.0,Lids
137,2021-04-28,18536.0,Lids
138,2021-04-29,24429.0,Lids
139,2021-04-30,25791.0,Lids
140,2021-05-01,25336.0,Lids
141,2021-05-02,19682.0,Lids
142,2021-05-03,27975.0,Lids
143,2021-05-04,30493.0,Lids
144,2021-05-05,27409.0,Lids
145,2021-05-06,26756.0,Lids
146,2021-05-07,19254.0,Lids
147,2021-05-08,17798.0,Lids
148,2021-05-09,17145.0,Lids
149,2021-05-10,13853.0,Lids
150,2021-05-11,12172.0,Lids
151,2021-05-12,18672.0,Lids
152,2021-05-13,16835.0,Lids
153,2021-05-14,19237.0,Lids
154,2021-05-15,14534.0,Lids
155,2021-05-16,23230.0,Lids
156,2021-05-17,17975.0,Lids
157,2021-05-18,15736.0,Lids
158,2021-05-19,23174.0,Lids
159,2021-05-20,21280.0,Lids
160,2021-05-21,18476.0,Lids
161,2021-05-22,16090.0,Lids
162,2021-05-23,11185.0,Lids
163,2021-05-24,11869.0,Lids
164,2021-05-25,9588.0,Lids
165,2021-05-26,11816.0,Lids
166,2021-05-27,13422.0,Lids
167,2021-05-28,14628.0,Lids
168,2021-05-29,11950.0,Lids
169,2021-05-30,15046.0,Lids
170,2021-05-31,13154.0,Lids
171,2021-06-01,12474.0,Lids
172,2021-06-02,11888.0,Lids
173,2021-06-03,11751.0,Lids
174,2021-06-04,9246.0,Lids
175,2021-06-05,9840.0,Lids
176,2021-06-06,10439.0,Lids
177,2021-06-07,9622.0,Lids
178,2021-06-08,11568.0,Lids
179,2021-06-09,11865.0,Lids
180,2021-06-10,10473.0,Lids
181,2021-06-11,8741.0,Lids
182,2021-06-12,9815.0,Lids
183,2021-06-13,9497.0,Lids
184,2021-06-14,14028.0,Lids
185,2021-06-15,10296.0,Lids
186,2021-06-16,10837.0,Lids
187,2021-06-17,10837.0,Lids
188,2021-06-18,11172.0,Lids
189,2021-06-19,12464.0,Lids
190,2021-06-20,9174.0,Lids
191,2021-06-21,12165.0,Lids
192,2021-06-22,15647.0,Lids
193,2021-06-23,14390.0,Lids
194,2021-06-24,14907.0,Lids
195,2021-06-25,13332.0,Lids
196,2021-06-26,13459.0,Lids
197,2021-06-27,7875.0,Lids
198,2021-06-28,8133.0,Lids
199,2021-06-29,7151.0,Lids
200,2021-06-30,9123.0,Lids
201,2021-07-01,12649.0,Lids
202,2021-07-02,10209.0,Lids
203,2021-07-03,9671.0,Lids
204,2021-07-04,9235.0,Lids
205,2021-07-05,9584.0,Lids
206,2021-07-06,9495.0,Lids
207,2021-07-07,6580.0,Lids
208,2021-07-08,8646.0,Lids
209,2021-07-09,7529.0,Lids
