,date,value,name_B08PFVXZ1K
0,2020-12-12,4217.0,Planters
1,2020-12-13,3756.0,Planters
2,2020-12-14,3204.0,Planters
3,2020-12-15,4542.0,Planters
4,2020-12-16,4542.0,Planters
5,2020-12-17,4542.0,Planters
6,2020-12-18,4736.0,Planters
7,2020-12-19,4736.0,Planters
8,2020-12-20,4421.0,Planters
9,2020-12-21,5324.0,Planters
10,2020-12-22,5324.0,Planters
11,2020-12-23,2505.0,Planters
12,2020-12-24,2505.0,Planters
13,2020-12-25,2505.0,Planters
14,2020-12-26,2955.0,Planters
15,2020-12-27,2955.0,Planters
16,2020-12-28,1343.0,Planters
17,2020-12-29,1343.0,Planters
18,2020-12-30,1343.0,Planters
19,2020-12-31,1259.0,Planters
20,2021-01-01,1259.0,Planters
21,2021-01-02,1166.0,Planters
22,2021-01-03,1166.0,Planters
23,2021-01-04,1284.0,Planters
24,2021-01-05,1284.0,Planters
25,2021-01-06,1284.0,Planters
26,2021-01-07,1717.0,Planters
27,2021-01-08,1541.0,Planters
28,2021-01-09,1710.0,Planters
29,2021-01-10,1710.0,Planters
30,2021-01-11,1040.0,Planters
31,2021-01-12,1040.0,Planters
32,2021-01-13,1040.0,Planters
33,2021-01-14,1424.0,Planters
34,2021-01-15,1554.0,Planters
35,2021-01-16,1553.0,Planters
36,2021-01-17,1553.0,Planters
37,2021-01-18,1362.0,Planters
38,2021-01-19,1362.0,Planters
39,2021-01-20,1362.0,Planters
40,2021-01-21,1980.0,Planters
41,2021-01-22,2105.0,Planters
42,2021-01-23,1777.0,Planters
43,2021-01-24,1777.0,Planters
44,2021-01-25,1986.0,Planters
45,2021-01-26,2379.0,Planters
46,2021-01-27,2379.0,Planters
47,2021-01-28,3043.0,Planters
48,2021-01-29,2751.0,Planters
49,2021-01-30,4073.0,Planters
50,2021-01-31,4073.0,Planters
51,2021-02-01,2217.0,Planters
52,2021-02-02,2319.0,Planters
53,2021-02-03,2319.0,Planters
54,2021-02-04,2319.0,Planters
55,2021-02-05,2821.0,Planters
56,2021-02-06,4107.0,Planters
57,2021-02-07,4107.0,Planters
58,2021-02-08,6469.0,Planters
59,2021-02-09,3280.0,Planters
60,2021-02-10,3280.0,Planters
61,2021-02-11,1147.0,Planters
62,2021-02-12,1147.0,Planters
63,2021-02-13,1147.0,Planters
64,2021-02-14,1213.0,Planters
65,2021-02-15,1213.0,Planters
66,2021-02-16,1027.0,Planters
67,2021-02-17,1027.0,Planters
68,2021-02-18,1351.0,Planters
69,2021-02-19,1351.0,Planters
70,2021-02-20,1862.0,Planters
71,2021-02-21,1862.0,Planters
72,2021-02-22,1569.0,Planters
73,2021-02-23,1569.0,Planters
74,2021-02-24,1569.0,Planters
75,2021-02-25,4308.0,Planters
76,2021-02-26,4087.0,Planters
77,2021-02-27,4087.0,Planters
78,2021-02-28,8610.0,Planters
79,2021-03-01,4500.0,Planters
80,2021-03-02,4500.0,Planters
81,2021-03-03,7365.0,Planters
82,2021-03-04,7365.0,Planters
83,2021-03-05,8900.0,Planters
84,2021-03-06,8900.0,Planters
85,2021-03-07,11396.0,Planters
86,2021-03-08,10198.0,Planters
87,2021-03-09,10198.0,Planters
88,2021-03-10,10198.0,Planters
89,2021-03-11,9157.0,Planters
90,2021-03-12,8637.0,Planters
91,2021-03-13,7243.0,Planters
92,2021-03-14,7243.0,Planters
93,2021-03-15,3562.0,Planters
94,2021-03-16,3562.0,Planters
95,2021-03-17,2983.0,Planters
96,2021-03-18,2998.0,Planters
97,2021-03-19,3594.0,Planters
98,2021-03-20,2589.0,Planters
99,2021-03-21,2589.0,Planters
100,2021-03-22,3700.0,Planters
101,2021-03-23,3700.0,Planters
102,2021-03-24,3700.0,Planters
103,2021-03-25,2946.0,Planters
104,2021-03-26,2946.0,Planters
105,2021-03-27,2946.0,Planters
106,2021-03-28,3377.0,Planters
107,2021-03-29,4061.0,Planters
108,2021-03-30,4061.0,Planters
109,2021-03-31,3437.0,Planters
110,2021-04-01,5885.0,Planters
111,2021-04-02,5885.0,Planters
