,date,value,name_B08PHWG1V5
0,2020-12-04,5.0,Canvas Boards & Panels
1,2020-12-05,4.0,Canvas Boards & Panels
2,2020-12-06,3.0,Canvas Boards & Panels
3,2020-12-07,5.0,Canvas Boards & Panels
4,2020-12-08,5.0,Canvas Boards & Panels
5,2020-12-09,5.0,Canvas Boards & Panels
6,2020-12-10,5.0,Canvas Boards & Panels
7,2020-12-11,5.0,Canvas Boards & Panels
8,2020-12-12,5.0,Canvas Boards & Panels
9,2020-12-13,5.0,Canvas Boards & Panels
10,2020-12-14,5.0,Canvas Boards & Panels
11,2020-12-15,3.0,Canvas Boards & Panels
12,2020-12-16,2.0,Canvas Boards & Panels
13,2020-12-17,2.0,Canvas Boards & Panels
14,2020-12-18,3.0,Canvas Boards & Panels
15,2020-12-19,3.0,Canvas Boards & Panels
16,2020-12-20,4.0,Canvas Boards & Panels
17,2020-12-21,3.0,Canvas Boards & Panels
18,2020-12-22,6.0,Canvas Boards & Panels
19,2020-12-23,4.0,Canvas Boards & Panels
20,2020-12-24,4.0,Canvas Boards & Panels
21,2020-12-25,12.0,Canvas Boards & Panels
22,2020-12-26,19.0,Canvas Boards & Panels
23,2020-12-27,22.0,Canvas Boards & Panels
24,2020-12-28,29.0,Canvas Boards & Panels
25,2020-12-29,27.0,Canvas Boards & Panels
26,2020-12-30,25.0,Canvas Boards & Panels
27,2020-12-31,26.0,Canvas Boards & Panels
28,2021-01-01,26.0,Canvas Boards & Panels
29,2021-01-02,32.0,Canvas Boards & Panels
30,2021-01-03,23.0,Canvas Boards & Panels
31,2021-01-04,28.0,Canvas Boards & Panels
32,2021-01-05,27.0,Canvas Boards & Panels
33,2021-01-06,25.0,Canvas Boards & Panels
34,2021-01-07,25.0,Canvas Boards & Panels
35,2021-01-08,27.0,Canvas Boards & Panels
36,2021-01-09,27.0,Canvas Boards & Panels
37,2021-01-10,27.0,Canvas Boards & Panels
38,2021-01-11,26.0,Canvas Boards & Panels
39,2021-01-12,32.0,Canvas Boards & Panels
40,2021-01-13,31.0,Canvas Boards & Panels
41,2021-01-14,31.0,Canvas Boards & Panels
42,2021-01-15,25.0,Canvas Boards & Panels
43,2021-01-16,28.0,Canvas Boards & Panels
44,2021-01-17,34.0,Canvas Boards & Panels
45,2021-01-18,32.0,Canvas Boards & Panels
46,2021-01-19,31.0,Canvas Boards & Panels
