,date,value,name_B08PNZW1ZZ
0,2021-04-17,38122,Blood Pressure Monitors
1,2021-04-18,34102,Blood Pressure Monitors
2,2021-04-19,31880,Blood Pressure Monitors
3,2021-04-20,27436,Blood Pressure Monitors
4,2021-04-21,24946,Blood Pressure Monitors
5,2021-04-22,26433,Blood Pressure Monitors
6,2021-04-23,25273,Blood Pressure Monitors
7,2021-04-24,22750,Blood Pressure Monitors
8,2021-04-25,23366,Blood Pressure Monitors
9,2021-04-26,27761,Blood Pressure Monitors
10,2021-04-27,25128,Blood Pressure Monitors
11,2021-04-28,14429,Blood Pressure Monitors
12,2021-04-29,21440,Blood Pressure Monitors
13,2021-04-30,55734,Blood Pressure Monitors
14,2021-05-01,-1,Blood Pressure Monitors
