,date,value,name_B08PSG8T8X
0,2021-03-23,8309.0,Indoor String Lights
1,2021-03-24,8317.0,Indoor String Lights
2,2021-03-25,8317.0,Indoor String Lights
3,2021-03-26,8920.0,Indoor String Lights
4,2021-03-27,8920.0,Indoor String Lights
5,2021-03-28,8920.0,Indoor String Lights
6,2021-03-29,12081.0,Indoor String Lights
7,2021-03-30,12081.0,Indoor String Lights
8,2021-03-31,12081.0,Indoor String Lights
9,2021-04-01,10035.0,Indoor String Lights
10,2021-04-02,11126.0,Indoor String Lights
11,2021-04-03,12491.0,Indoor String Lights
12,2021-04-04,12491.0,Indoor String Lights
13,2021-04-05,12491.0,Indoor String Lights
14,2021-04-06,9474.0,Indoor String Lights
15,2021-04-07,9474.0,Indoor String Lights
16,2021-04-08,14730.0,Indoor String Lights
17,2021-04-09,14730.0,Indoor String Lights
18,2021-04-10,14730.0,Indoor String Lights
19,2021-04-11,18561.0,Indoor String Lights
20,2021-04-12,18561.0,Indoor String Lights
21,2021-04-13,18561.0,Indoor String Lights
22,2021-04-14,16891.0,Indoor String Lights
23,2021-04-15,11880.0,Indoor String Lights
24,2021-04-16,11880.0,Indoor String Lights
25,2021-04-17,11880.0,Indoor String Lights
26,2021-04-18,12395.0,Indoor String Lights
27,2021-04-19,15789.0,Indoor String Lights
28,2021-04-20,19294.0,Indoor String Lights
29,2021-04-21,19294.0,Indoor String Lights
30,2021-04-22,11277.0,Indoor String Lights
31,2021-04-23,11277.0,Indoor String Lights
32,2021-04-24,12466.0,Indoor String Lights
33,2021-04-25,12466.0,Indoor String Lights
34,2021-04-26,14650.0,Indoor String Lights
35,2021-04-27,14650.0,Indoor String Lights
36,2021-04-28,14650.0,Indoor String Lights
37,2021-04-29,11362.0,Indoor String Lights
38,2021-04-30,11362.0,Indoor String Lights
39,2021-05-01,11362.0,Indoor String Lights
40,2021-05-02,13969.0,Indoor String Lights
41,2021-05-03,13969.0,Indoor String Lights
42,2021-05-04,9656.0,Indoor String Lights
43,2021-05-05,9656.0,Indoor String Lights
44,2021-05-06,7925.0,Indoor String Lights
45,2021-05-07,7460.0,Indoor String Lights
46,2021-05-08,7460.0,Indoor String Lights
47,2021-05-09,7504.0,Indoor String Lights
48,2021-05-10,7504.0,Indoor String Lights
49,2021-05-11,7381.0,Indoor String Lights
50,2021-05-12,9774.0,Indoor String Lights
51,2021-05-13,10179.0,Indoor String Lights
52,2021-05-14,10179.0,Indoor String Lights
53,2021-05-15,9501.0,Indoor String Lights
54,2021-05-16,9501.0,Indoor String Lights
55,2021-05-17,11358.0,Indoor String Lights
56,2021-05-18,11358.0,Indoor String Lights
57,2021-05-19,8688.0,Indoor String Lights
58,2021-05-20,9910.0,Indoor String Lights
59,2021-05-21,9910.0,Indoor String Lights
60,2021-05-22,11585.0,Indoor String Lights
61,2021-05-23,11585.0,Indoor String Lights
62,2021-05-24,15682.0,Indoor String Lights
63,2021-05-25,10522.0,Indoor String Lights
64,2021-05-26,10522.0,Indoor String Lights
65,2021-05-27,8126.0,Indoor String Lights
66,2021-05-28,8126.0,Indoor String Lights
67,2021-05-29,10047.0,Indoor String Lights
68,2021-05-30,10047.0,Indoor String Lights
69,2021-05-31,10047.0,Indoor String Lights
70,2021-06-01,9020.0,Indoor String Lights
71,2021-06-02,9020.0,Indoor String Lights
72,2021-06-03,11970.0,Indoor String Lights
73,2021-06-04,11970.0,Indoor String Lights
74,2021-06-05,11289.0,Indoor String Lights
75,2021-06-06,11289.0,Indoor String Lights
76,2021-06-07,13560.0,Indoor String Lights
77,2021-06-08,11489.0,Indoor String Lights
78,2021-06-09,10761.0,Indoor String Lights
79,2021-06-10,10761.0,Indoor String Lights
80,2021-06-11,10631.0,Indoor String Lights
81,2021-06-12,9761.0,Indoor String Lights
82,2021-06-13,9761.0,Indoor String Lights
83,2021-06-14,9183.0,Indoor String Lights
84,2021-06-15,9531.0,Indoor String Lights
85,2021-06-16,11995.0,Indoor String Lights
86,2021-06-17,8708.0,Indoor String Lights
87,2021-06-18,10826.0,Indoor String Lights
88,2021-06-19,10826.0,Indoor String Lights
89,2021-06-20,10826.0,Indoor String Lights
90,2021-06-21,15907.0,Indoor String Lights
91,2021-06-22,13067.0,Indoor String Lights
92,2021-06-23,13067.0,Indoor String Lights
93,2021-06-24,8075.0,Indoor String Lights
94,2021-06-25,8075.0,Indoor String Lights
95,2021-06-26,9636.0,Indoor String Lights
96,2021-06-27,10652.0,Indoor String Lights
97,2021-06-28,10652.0,Indoor String Lights
98,2021-06-29,12712.0,Indoor String Lights
99,2021-06-30,12260.0,Indoor String Lights
100,2021-07-01,12260.0,Indoor String Lights
101,2021-07-02,10550.0,Indoor String Lights
102,2021-07-03,10550.0,Indoor String Lights
103,2021-07-04,10550.0,Indoor String Lights
104,2021-07-05,14703.0,Indoor String Lights
105,2021-07-06,14703.0,Indoor String Lights
106,2021-07-07,8420.0,Indoor String Lights
107,2021-07-08,7461.0,Indoor String Lights
108,2021-07-09,7461.0,Indoor String Lights
109,2021-07-10,5119.0,Indoor String Lights
