,date,value,name_B08Q8MY4D7
0,2020-12-14,15775.0,Back Braces
1,2020-12-15,15775.0,Back Braces
2,2020-12-16,15775.0,Back Braces
3,2020-12-17,15775.0,Back Braces
4,2020-12-18,15775.0,Back Braces
5,2020-12-19,18773.0,Back Braces
6,2020-12-20,18773.0,Back Braces
7,2020-12-21,18773.0,Back Braces
8,2020-12-22,16361.0,Back Braces
9,2020-12-23,16361.0,Back Braces
10,2020-12-24,16361.0,Back Braces
11,2020-12-25,16361.0,Back Braces
12,2020-12-26,16361.0,Back Braces
13,2020-12-27,16361.0,Back Braces
14,2020-12-28,16361.0,Back Braces
15,2020-12-29,16361.0,Back Braces
16,2020-12-30,16361.0,Back Braces
17,2020-12-31,16361.0,Back Braces
18,2021-01-01,16361.0,Back Braces
19,2021-01-02,16361.0,Back Braces
20,2021-01-03,22516.0,Back Braces
21,2021-01-04,22516.0,Back Braces
22,2021-01-05,22516.0,Back Braces
23,2021-01-06,22516.0,Back Braces
24,2021-01-07,15369.0,Back Braces
25,2021-01-08,15369.0,Back Braces
26,2021-01-09,15369.0,Back Braces
27,2021-01-10,15369.0,Back Braces
28,2021-01-11,15319.0,Back Braces
29,2021-01-12,15319.0,Back Braces
30,2021-01-13,15319.0,Back Braces
31,2021-01-14,14636.0,Back Braces
32,2021-01-15,14636.0,Back Braces
33,2021-01-16,14636.0,Back Braces
34,2021-01-17,14636.0,Back Braces
35,2021-01-18,18944.0,Back Braces
36,2021-01-19,18944.0,Back Braces
37,2021-01-20,17173.0,Back Braces
38,2021-01-21,17173.0,Back Braces
39,2021-01-22,17173.0,Back Braces
40,2021-01-23,17173.0,Back Braces
41,2021-01-24,17173.0,Back Braces
42,2021-01-25,19426.0,Back Braces
43,2021-01-26,19426.0,Back Braces
44,2021-01-27,19426.0,Back Braces
45,2021-01-28,11819.0,Back Braces
46,2021-01-29,11819.0,Back Braces
47,2021-01-30,14271.0,Back Braces
48,2021-01-31,14271.0,Back Braces
49,2021-02-01,14271.0,Back Braces
50,2021-02-02,14271.0,Back Braces
51,2021-02-03,11186.0,Back Braces
52,2021-02-04,11186.0,Back Braces
53,2021-02-05,11186.0,Back Braces
54,2021-02-06,11186.0,Back Braces
55,2021-02-07,11186.0,Back Braces
56,2021-02-08,9043.0,Back Braces
57,2021-02-09,9043.0,Back Braces
58,2021-02-10,8765.0,Back Braces
59,2021-02-11,8765.0,Back Braces
60,2021-02-12,8765.0,Back Braces
61,2021-02-13,8765.0,Back Braces
62,2021-02-14,8765.0,Back Braces
63,2021-02-15,9108.0,Back Braces
64,2021-02-16,8748.0,Back Braces
65,2021-02-17,8748.0,Back Braces
66,2021-02-18,10788.0,Back Braces
67,2021-02-19,10788.0,Back Braces
68,2021-02-20,9846.0,Back Braces
69,2021-02-21,9846.0,Back Braces
70,2021-02-22,9846.0,Back Braces
71,2021-02-23,9846.0,Back Braces
72,2021-02-24,9366.0,Back Braces
73,2021-02-25,9366.0,Back Braces
74,2021-02-26,8651.0,Back Braces
75,2021-02-27,8651.0,Back Braces
76,2021-02-28,8651.0,Back Braces
77,2021-03-01,10250.0,Back Braces
78,2021-03-02,10250.0,Back Braces
79,2021-03-03,10250.0,Back Braces
80,2021-03-04,8114.0,Back Braces
81,2021-03-05,8114.0,Back Braces
82,2021-03-06,8114.0,Back Braces
83,2021-03-07,9066.0,Back Braces
84,2021-03-08,9066.0,Back Braces
85,2021-03-09,9066.0,Back Braces
86,2021-03-10,9765.0,Back Braces
87,2021-03-11,9765.0,Back Braces
88,2021-03-12,9765.0,Back Braces
89,2021-03-13,9765.0,Back Braces
90,2021-03-14,10646.0,Back Braces
91,2021-03-15,10646.0,Back Braces
