,date,value,name_B08QDPJ1N4
0,2020-12-18,8157.0,Jar Candles
1,2020-12-19,7878.0,Jar Candles
2,2020-12-20,5539.0,Jar Candles
3,2020-12-21,5539.0,Jar Candles
4,2020-12-22,5756.0,Jar Candles
5,2020-12-23,5756.0,Jar Candles
6,2020-12-24,5282.0,Jar Candles
7,2020-12-25,5494.0,Jar Candles
8,2020-12-26,8368.0,Jar Candles
9,2020-12-27,8368.0,Jar Candles
10,2020-12-28,8368.0,Jar Candles
11,2020-12-29,10747.0,Jar Candles
12,2020-12-30,10747.0,Jar Candles
13,2020-12-31,12641.0,Jar Candles
14,2021-01-01,12641.0,Jar Candles
15,2021-01-02,12641.0,Jar Candles
16,2021-01-03,11581.0,Jar Candles
17,2021-01-04,11581.0,Jar Candles
18,2021-01-05,11581.0,Jar Candles
19,2021-01-06,10275.0,Jar Candles
20,2021-01-07,10275.0,Jar Candles
21,2021-01-08,10275.0,Jar Candles
22,2021-01-09,11007.0,Jar Candles
23,2021-01-10,11007.0,Jar Candles
24,2021-01-11,11007.0,Jar Candles
25,2021-01-12,10235.0,Jar Candles
26,2021-01-13,10235.0,Jar Candles
27,2021-01-14,10235.0,Jar Candles
28,2021-01-15,8008.0,Jar Candles
29,2021-01-16,8008.0,Jar Candles
30,2021-01-17,7803.0,Jar Candles
31,2021-01-18,7803.0,Jar Candles
32,2021-01-19,7803.0,Jar Candles
33,2021-01-20,7803.0,Jar Candles
34,2021-01-21,10452.0,Jar Candles
35,2021-01-22,10452.0,Jar Candles
36,2021-01-23,10452.0,Jar Candles
37,2021-01-24,10222.0,Jar Candles
38,2021-01-25,9005.0,Jar Candles
39,2021-01-26,9639.0,Jar Candles
40,2021-01-27,9639.0,Jar Candles
41,2021-01-28,8601.0,Jar Candles
42,2021-01-29,8601.0,Jar Candles
43,2021-01-30,8601.0,Jar Candles
44,2021-01-31,10794.0,Jar Candles
45,2021-02-01,9331.0,Jar Candles
46,2021-02-02,9331.0,Jar Candles
47,2021-02-03,9331.0,Jar Candles
48,2021-02-04,9476.0,Jar Candles
49,2021-02-05,9476.0,Jar Candles
50,2021-02-06,9476.0,Jar Candles
51,2021-02-07,8412.0,Jar Candles
52,2021-02-08,8412.0,Jar Candles
53,2021-02-09,8412.0,Jar Candles
54,2021-02-10,7050.0,Jar Candles
55,2021-02-11,7050.0,Jar Candles
56,2021-02-12,7050.0,Jar Candles
57,2021-02-13,7050.0,Jar Candles
58,2021-02-14,7969.0,Jar Candles
59,2021-02-15,7969.0,Jar Candles
60,2021-02-16,7969.0,Jar Candles
61,2021-02-17,11224.0,Jar Candles
62,2021-02-18,11224.0,Jar Candles
63,2021-02-19,11224.0,Jar Candles
64,2021-02-20,10388.0,Jar Candles
65,2021-02-21,10388.0,Jar Candles
66,2021-02-22,14923.0,Jar Candles
67,2021-02-23,14923.0,Jar Candles
68,2021-02-24,14923.0,Jar Candles
69,2021-02-25,34338.0,Jar Candles
70,2021-02-26,34338.0,Jar Candles
71,2021-02-27,34338.0,Jar Candles
72,2021-02-28,34338.0,Jar Candles
73,2021-03-01,34338.0,Jar Candles
74,2021-03-02,36420.0,Jar Candles
75,2021-03-03,36420.0,Jar Candles
76,2021-03-04,36420.0,Jar Candles
77,2021-03-05,56098.0,Jar Candles
78,2021-03-06,56098.0,Jar Candles
79,2021-03-07,56098.0,Jar Candles
80,2021-03-08,56098.0,Jar Candles
81,2021-03-09,39058.0,Jar Candles
82,2021-03-10,39058.0,Jar Candles
83,2021-03-11,47487.0,Jar Candles
84,2021-03-12,39435.0,Jar Candles
85,2021-03-13,39435.0,Jar Candles
86,2021-03-14,38113.0,Jar Candles
87,2021-03-15,38113.0,Jar Candles
88,2021-03-16,38113.0,Jar Candles
89,2021-03-17,49140.0,Jar Candles
90,2021-03-18,49140.0,Jar Candles
91,2021-03-19,49140.0,Jar Candles
92,2021-03-20,53786.0,Jar Candles
93,2021-03-21,57751.0,Jar Candles
94,2021-03-22,49343.0,Jar Candles
95,2021-03-23,45347.0,Jar Candles
96,2021-03-24,45347.0,Jar Candles
97,2021-03-25,45347.0,Jar Candles
98,2021-03-26,63604.0,Jar Candles
99,2021-03-27,63604.0,Jar Candles
100,2021-03-28,27948.0,Jar Candles
101,2021-03-29,27948.0,Jar Candles
102,2021-03-30,27948.0,Jar Candles
103,2021-03-31,24058.0,Jar Candles
104,2021-04-01,24058.0,Jar Candles
105,2021-04-02,24058.0,Jar Candles
106,2021-04-03,21534.0,Jar Candles
107,2021-04-04,21534.0,Jar Candles
108,2021-04-05,21534.0,Jar Candles
109,2021-04-06,21534.0,Jar Candles
110,2021-04-07,17820.0,Jar Candles
111,2021-04-08,17820.0,Jar Candles
112,2021-04-09,17820.0,Jar Candles
113,2021-04-10,17820.0,Jar Candles
114,2021-04-11,17820.0,Jar Candles
115,2021-04-12,18858.0,Jar Candles
116,2021-04-13,18753.0,Jar Candles
117,2021-04-14,18753.0,Jar Candles
118,2021-04-15,17388.0,Jar Candles
119,2021-04-16,17388.0,Jar Candles
120,2021-04-17,17388.0,Jar Candles
121,2021-04-18,17388.0,Jar Candles
122,2021-04-19,20374.0,Jar Candles
123,2021-04-20,20374.0,Jar Candles
124,2021-04-21,15793.0,Jar Candles
125,2021-04-22,18443.0,Jar Candles
126,2021-04-23,17878.0,Jar Candles
127,2021-04-24,17878.0,Jar Candles
128,2021-04-25,17878.0,Jar Candles
129,2021-04-26,22818.0,Jar Candles
130,2021-04-27,20090.0,Jar Candles
131,2021-04-28,20090.0,Jar Candles
132,2021-04-29,15252.0,Jar Candles
133,2021-04-30,14224.0,Jar Candles
134,2021-05-01,16362.0,Jar Candles
135,2021-05-02,16362.0,Jar Candles
136,2021-05-03,16362.0,Jar Candles
137,2021-05-04,12670.0,Jar Candles
138,2021-05-05,12670.0,Jar Candles
139,2021-05-06,10063.0,Jar Candles
140,2021-05-07,10063.0,Jar Candles
141,2021-05-08,9331.0,Jar Candles
142,2021-05-09,9331.0,Jar Candles
143,2021-05-10,9331.0,Jar Candles
144,2021-05-11,17242.0,Jar Candles
145,2021-05-12,17242.0,Jar Candles
146,2021-05-13,17853.0,Jar Candles
147,2021-05-14,17853.0,Jar Candles
148,2021-05-15,24808.0,Jar Candles
149,2021-05-16,24808.0,Jar Candles
150,2021-05-17,23804.0,Jar Candles
151,2021-05-18,23804.0,Jar Candles
152,2021-05-19,21781.0,Jar Candles
153,2021-05-20,19411.0,Jar Candles
154,2021-05-21,19411.0,Jar Candles
155,2021-05-22,19411.0,Jar Candles
156,2021-05-23,19411.0,Jar Candles
157,2021-05-24,20889.0,Jar Candles
158,2021-05-25,23116.0,Jar Candles
159,2021-05-26,23116.0,Jar Candles
160,2021-05-27,24016.0,Jar Candles
161,2021-05-28,24016.0,Jar Candles
