,date,value,name_B08QG2RFW7
0,2021-05-10,118086,Antacids
1,2021-05-11,84938,Antacids
2,2021-05-12,51911,Antacids
3,2021-05-13,41083,Antacids
4,2021-05-14,34844,Antacids
5,2021-05-15,28716,Antacids
6,2021-05-16,33383,Antacids
7,2021-05-17,24034,Antacids
8,2021-05-18,28086,Antacids
9,2021-05-19,22060,Antacids
10,2021-05-20,21810,Antacids
11,2021-05-21,20328,Antacids
12,2021-05-22,17720,Antacids
13,2021-05-23,16560,Antacids
14,2021-05-24,15545,Antacids
15,2021-05-25,13821,Antacids
16,2021-05-26,14872,Antacids
17,2021-05-27,17593,Antacids
18,2021-05-28,18712,Antacids
19,2021-05-29,18818,Antacids
20,2021-05-30,16171,Antacids
21,2021-05-31,17735,Antacids
22,2021-06-01,17408,Antacids
23,2021-06-02,13725,Antacids
24,2021-06-03,15108,Antacids
25,2021-06-04,12464,Antacids
26,2021-06-05,13150,Antacids
27,2021-06-06,12729,Antacids
28,2021-06-07,11997,Antacids
29,2021-06-08,11740,Antacids
30,2021-06-09,15218,Antacids
31,2021-06-10,11779,Antacids
32,2021-06-11,11126,Antacids
33,2021-06-12,11193,Antacids
34,2021-06-13,10661,Antacids
35,2021-06-14,10827,Antacids
36,2021-06-15,12591,Antacids
37,2021-06-16,11972,Antacids
38,2021-06-17,11973,Antacids
39,2021-06-18,12563,Antacids
40,2021-06-19,11930,Antacids
41,2021-06-20,10952,Antacids
42,2021-06-21,14604,Antacids
43,2021-06-22,33179,Antacids
44,2021-06-23,45163,Antacids
45,2021-06-24,24226,Antacids
46,2021-06-25,17351,Antacids
47,2021-06-26,14543,Antacids
48,2021-06-27,13339,Antacids
49,2021-06-28,13351,Antacids
50,2021-06-29,11440,Antacids
51,2021-06-30,10507,Antacids
52,2021-07-01,14114,Antacids
53,2021-07-02,14648,Antacids
54,2021-07-03,12885,Antacids
55,2021-07-04,14091,Antacids
56,2021-07-05,14227,Antacids
57,2021-07-06,12560,Antacids
58,2021-07-07,13572,Antacids
59,2021-07-08,14758,Antacids
60,2021-07-09,15574,Antacids
