,date,value,name_B08QJH3JJV
0,2020-12-18,8050.0,Plantar Fasciitis Braces
1,2020-12-19,8459.0,Plantar Fasciitis Braces
2,2020-12-20,8016.0,Plantar Fasciitis Braces
3,2020-12-21,7825.0,Plantar Fasciitis Braces
4,2020-12-22,7760.0,Plantar Fasciitis Braces
5,2020-12-23,7760.0,Plantar Fasciitis Braces
6,2020-12-24,8234.0,Plantar Fasciitis Braces
7,2020-12-25,8234.0,Plantar Fasciitis Braces
8,2020-12-26,8234.0,Plantar Fasciitis Braces
9,2020-12-27,8173.0,Plantar Fasciitis Braces
10,2020-12-28,8173.0,Plantar Fasciitis Braces
11,2020-12-29,7279.0,Plantar Fasciitis Braces
12,2020-12-30,7279.0,Plantar Fasciitis Braces
13,2020-12-31,7279.0,Plantar Fasciitis Braces
14,2021-01-01,7279.0,Plantar Fasciitis Braces
15,2021-01-02,7279.0,Plantar Fasciitis Braces
16,2021-01-03,7279.0,Plantar Fasciitis Braces
17,2021-01-04,9462.0,Plantar Fasciitis Braces
18,2021-01-05,9462.0,Plantar Fasciitis Braces
19,2021-01-06,5356.0,Plantar Fasciitis Braces
20,2021-01-07,5356.0,Plantar Fasciitis Braces
21,2021-01-08,5737.0,Plantar Fasciitis Braces
22,2021-01-09,6042.0,Plantar Fasciitis Braces
23,2021-01-10,5096.0,Plantar Fasciitis Braces
24,2021-01-11,5670.0,Plantar Fasciitis Braces
25,2021-01-12,5670.0,Plantar Fasciitis Braces
26,2021-01-13,6618.0,Plantar Fasciitis Braces
27,2021-01-14,7147.0,Plantar Fasciitis Braces
28,2021-01-15,7405.0,Plantar Fasciitis Braces
29,2021-01-16,7405.0,Plantar Fasciitis Braces
30,2021-01-17,9046.0,Plantar Fasciitis Braces
31,2021-01-18,7170.0,Plantar Fasciitis Braces
32,2021-01-19,6539.0,Plantar Fasciitis Braces
33,2021-01-20,7107.0,Plantar Fasciitis Braces
34,2021-01-21,7107.0,Plantar Fasciitis Braces
35,2021-01-22,7576.0,Plantar Fasciitis Braces
36,2021-01-23,7576.0,Plantar Fasciitis Braces
37,2021-01-24,7576.0,Plantar Fasciitis Braces
38,2021-01-25,8912.0,Plantar Fasciitis Braces
39,2021-01-26,7627.0,Plantar Fasciitis Braces
40,2021-01-27,7627.0,Plantar Fasciitis Braces
41,2021-01-28,7627.0,Plantar Fasciitis Braces
42,2021-01-29,8262.0,Plantar Fasciitis Braces
43,2021-01-30,8273.0,Plantar Fasciitis Braces
44,2021-01-31,9491.0,Plantar Fasciitis Braces
45,2021-02-01,9491.0,Plantar Fasciitis Braces
46,2021-02-02,8475.0,Plantar Fasciitis Braces
47,2021-02-03,8811.0,Plantar Fasciitis Braces
48,2021-02-04,8469.0,Plantar Fasciitis Braces
49,2021-02-05,8469.0,Plantar Fasciitis Braces
50,2021-02-06,8469.0,Plantar Fasciitis Braces
51,2021-02-07,8469.0,Plantar Fasciitis Braces
52,2021-02-08,8469.0,Plantar Fasciitis Braces
53,2021-02-09,6943.0,Plantar Fasciitis Braces
54,2021-02-10,6943.0,Plantar Fasciitis Braces
55,2021-02-11,5213.0,Plantar Fasciitis Braces
56,2021-02-12,5213.0,Plantar Fasciitis Braces
57,2021-02-13,5213.0,Plantar Fasciitis Braces
58,2021-02-14,5880.0,Plantar Fasciitis Braces
59,2021-02-15,5880.0,Plantar Fasciitis Braces
60,2021-02-16,5880.0,Plantar Fasciitis Braces
61,2021-02-17,5880.0,Plantar Fasciitis Braces
62,2021-02-18,7761.0,Plantar Fasciitis Braces
63,2021-02-19,7565.0,Plantar Fasciitis Braces
64,2021-02-20,7736.0,Plantar Fasciitis Braces
65,2021-02-21,8063.0,Plantar Fasciitis Braces
66,2021-02-22,7983.0,Plantar Fasciitis Braces
67,2021-02-23,7538.0,Plantar Fasciitis Braces
68,2021-02-24,6740.0,Plantar Fasciitis Braces
69,2021-02-25,6998.0,Plantar Fasciitis Braces
70,2021-02-26,8034.0,Plantar Fasciitis Braces
71,2021-02-27,8034.0,Plantar Fasciitis Braces
72,2021-02-28,8034.0,Plantar Fasciitis Braces
73,2021-03-01,9368.0,Plantar Fasciitis Braces
74,2021-03-02,9600.0,Plantar Fasciitis Braces
75,2021-03-03,8945.0,Plantar Fasciitis Braces
76,2021-03-04,8715.0,Plantar Fasciitis Braces
77,2021-03-05,8698.0,Plantar Fasciitis Braces
78,2021-03-06,8698.0,Plantar Fasciitis Braces
79,2021-03-07,8326.0,Plantar Fasciitis Braces
80,2021-03-08,10518.0,Plantar Fasciitis Braces
81,2021-03-09,10518.0,Plantar Fasciitis Braces
82,2021-03-10,9829.0,Plantar Fasciitis Braces
83,2021-03-11,7838.0,Plantar Fasciitis Braces
84,2021-03-12,7838.0,Plantar Fasciitis Braces
85,2021-03-13,7838.0,Plantar Fasciitis Braces
86,2021-03-14,7838.0,Plantar Fasciitis Braces
87,2021-03-15,8115.0,Plantar Fasciitis Braces
88,2021-03-16,5337.0,Plantar Fasciitis Braces
89,2021-03-17,5498.0,Plantar Fasciitis Braces
90,2021-03-18,5498.0,Plantar Fasciitis Braces
91,2021-03-19,4290.0,Plantar Fasciitis Braces
92,2021-03-20,3992.0,Plantar Fasciitis Braces
93,2021-03-21,4445.0,Plantar Fasciitis Braces
94,2021-03-22,3979.0,Plantar Fasciitis Braces
95,2021-03-23,3979.0,Plantar Fasciitis Braces
96,2021-03-24,5465.0,Plantar Fasciitis Braces
97,2021-03-25,5465.0,Plantar Fasciitis Braces
98,2021-03-26,4763.0,Plantar Fasciitis Braces
99,2021-03-27,5390.0,Plantar Fasciitis Braces
100,2021-03-28,4143.0,Plantar Fasciitis Braces
101,2021-03-29,4143.0,Plantar Fasciitis Braces
102,2021-03-30,5124.0,Plantar Fasciitis Braces
103,2021-03-31,5124.0,Plantar Fasciitis Braces
104,2021-04-01,5124.0,Plantar Fasciitis Braces
105,2021-04-02,4615.0,Plantar Fasciitis Braces
106,2021-04-03,4615.0,Plantar Fasciitis Braces
107,2021-04-04,4615.0,Plantar Fasciitis Braces
108,2021-04-05,4963.0,Plantar Fasciitis Braces
109,2021-04-06,4963.0,Plantar Fasciitis Braces
110,2021-04-07,4765.0,Plantar Fasciitis Braces
111,2021-04-08,4765.0,Plantar Fasciitis Braces
112,2021-04-09,4765.0,Plantar Fasciitis Braces
113,2021-04-10,5012.0,Plantar Fasciitis Braces
114,2021-04-11,4998.0,Plantar Fasciitis Braces
115,2021-04-12,4998.0,Plantar Fasciitis Braces
116,2021-04-13,4854.0,Plantar Fasciitis Braces
117,2021-04-14,4658.0,Plantar Fasciitis Braces
118,2021-04-15,4658.0,Plantar Fasciitis Braces
119,2021-04-16,4927.0,Plantar Fasciitis Braces
120,2021-04-17,4927.0,Plantar Fasciitis Braces
121,2021-04-18,4927.0,Plantar Fasciitis Braces
122,2021-04-19,5872.0,Plantar Fasciitis Braces
123,2021-04-20,6440.0,Plantar Fasciitis Braces
124,2021-04-21,5767.0,Plantar Fasciitis Braces
125,2021-04-22,5767.0,Plantar Fasciitis Braces
126,2021-04-23,5990.0,Plantar Fasciitis Braces
127,2021-04-24,5990.0,Plantar Fasciitis Braces
128,2021-04-25,7080.0,Plantar Fasciitis Braces
129,2021-04-26,7080.0,Plantar Fasciitis Braces
130,2021-04-27,7080.0,Plantar Fasciitis Braces
131,2021-04-28,7068.0,Plantar Fasciitis Braces
132,2021-04-29,7068.0,Plantar Fasciitis Braces
133,2021-04-30,7106.0,Plantar Fasciitis Braces
134,2021-05-01,6936.0,Plantar Fasciitis Braces
135,2021-05-02,6936.0,Plantar Fasciitis Braces
136,2021-05-03,6936.0,Plantar Fasciitis Braces
137,2021-05-04,4561.0,Plantar Fasciitis Braces
138,2021-05-05,4561.0,Plantar Fasciitis Braces
139,2021-05-06,4271.0,Plantar Fasciitis Braces
140,2021-05-07,4271.0,Plantar Fasciitis Braces
141,2021-05-08,4271.0,Plantar Fasciitis Braces
142,2021-05-09,3908.0,Plantar Fasciitis Braces
143,2021-05-10,3908.0,Plantar Fasciitis Braces
144,2021-05-11,4491.0,Plantar Fasciitis Braces
145,2021-05-12,4491.0,Plantar Fasciitis Braces
146,2021-05-13,5182.0,Plantar Fasciitis Braces
147,2021-05-14,5877.0,Plantar Fasciitis Braces
148,2021-05-15,5877.0,Plantar Fasciitis Braces
149,2021-05-16,4815.0,Plantar Fasciitis Braces
150,2021-05-17,4815.0,Plantar Fasciitis Braces
151,2021-05-18,5666.0,Plantar Fasciitis Braces
152,2021-05-19,6235.0,Plantar Fasciitis Braces
153,2021-05-20,5745.0,Plantar Fasciitis Braces
154,2021-05-21,6805.0,Plantar Fasciitis Braces
155,2021-05-22,6805.0,Plantar Fasciitis Braces
156,2021-05-23,6805.0,Plantar Fasciitis Braces
157,2021-05-24,6744.0,Plantar Fasciitis Braces
158,2021-05-25,6744.0,Plantar Fasciitis Braces
159,2021-05-26,5775.0,Plantar Fasciitis Braces
160,2021-05-27,5450.0,Plantar Fasciitis Braces
161,2021-05-28,5395.0,Plantar Fasciitis Braces
162,2021-05-29,5395.0,Plantar Fasciitis Braces
163,2021-05-30,5115.0,Plantar Fasciitis Braces
164,2021-05-31,4946.0,Plantar Fasciitis Braces
165,2021-06-01,4449.0,Plantar Fasciitis Braces
166,2021-06-02,4449.0,Plantar Fasciitis Braces
167,2021-06-03,2774.0,Plantar Fasciitis Braces
168,2021-06-04,2774.0,Plantar Fasciitis Braces
169,2021-06-05,2552.0,Plantar Fasciitis Braces
170,2021-06-06,2552.0,Plantar Fasciitis Braces
171,2021-06-07,2552.0,Plantar Fasciitis Braces
172,2021-06-08,3339.0,Plantar Fasciitis Braces
173,2021-06-09,3339.0,Plantar Fasciitis Braces
174,2021-06-10,4151.0,Plantar Fasciitis Braces
175,2021-06-11,4151.0,Plantar Fasciitis Braces
176,2021-06-12,5166.0,Plantar Fasciitis Braces
177,2021-06-13,5166.0,Plantar Fasciitis Braces
178,2021-06-14,5166.0,Plantar Fasciitis Braces
179,2021-06-15,4970.0,Plantar Fasciitis Braces
180,2021-06-16,4422.0,Plantar Fasciitis Braces
181,2021-06-17,4477.0,Plantar Fasciitis Braces
182,2021-06-18,4477.0,Plantar Fasciitis Braces
183,2021-06-19,4044.0,Plantar Fasciitis Braces
184,2021-06-20,4044.0,Plantar Fasciitis Braces
185,2021-06-21,4575.0,Plantar Fasciitis Braces
186,2021-06-22,2963.0,Plantar Fasciitis Braces
187,2021-06-23,2539.0,Plantar Fasciitis Braces
188,2021-06-24,2583.0,Plantar Fasciitis Braces
189,2021-06-25,2594.0,Plantar Fasciitis Braces
190,2021-06-26,2594.0,Plantar Fasciitis Braces
191,2021-06-27,2284.0,Plantar Fasciitis Braces
192,2021-06-28,2368.0,Plantar Fasciitis Braces
193,2021-06-29,2390.0,Plantar Fasciitis Braces
194,2021-06-30,2463.0,Plantar Fasciitis Braces
195,2021-07-01,2301.0,Plantar Fasciitis Braces
196,2021-07-02,2301.0,Plantar Fasciitis Braces
197,2021-07-03,2327.0,Plantar Fasciitis Braces
198,2021-07-04,2327.0,Plantar Fasciitis Braces
199,2021-07-05,2950.0,Plantar Fasciitis Braces
200,2021-07-06,2950.0,Plantar Fasciitis Braces
201,2021-07-07,2698.0,Plantar Fasciitis Braces
202,2021-07-08,2698.0,Plantar Fasciitis Braces
203,2021-07-09,2698.0,Plantar Fasciitis Braces
204,2021-07-10,2395.0,Plantar Fasciitis Braces
205,2021-07-11,2662.0,Plantar Fasciitis Braces
