,date,value,name_B08QRGKQT9
0,2020-12-23,49790.0,LED Bulbs
1,2020-12-24,59666.0,LED Bulbs
2,2020-12-25,59666.0,LED Bulbs
3,2020-12-26,89051.0,LED Bulbs
4,2020-12-27,32826.0,LED Bulbs
5,2020-12-28,32826.0,LED Bulbs
6,2020-12-29,32826.0,LED Bulbs
7,2020-12-30,32826.0,LED Bulbs
8,2020-12-31,32826.0,LED Bulbs
9,2021-01-01,45418.0,LED Bulbs
10,2021-01-02,45418.0,LED Bulbs
11,2021-01-03,45418.0,LED Bulbs
12,2021-01-04,45418.0,LED Bulbs
13,2021-01-05,45418.0,LED Bulbs
14,2021-01-06,45418.0,LED Bulbs
15,2021-01-07,45418.0,LED Bulbs
16,2021-01-08,58229.0,LED Bulbs
17,2021-01-09,37030.0,LED Bulbs
18,2021-01-10,27348.0,LED Bulbs
19,2021-01-11,27348.0,LED Bulbs
20,2021-01-12,27348.0,LED Bulbs
21,2021-01-13,27348.0,LED Bulbs
22,2021-01-14,42579.0,LED Bulbs
23,2021-01-15,42579.0,LED Bulbs
24,2021-01-16,42579.0,LED Bulbs
25,2021-01-17,42579.0,LED Bulbs
26,2021-01-18,42579.0,LED Bulbs
27,2021-01-19,59632.0,LED Bulbs
28,2021-01-20,59632.0,LED Bulbs
29,2021-01-21,59632.0,LED Bulbs
30,2021-01-22,59632.0,LED Bulbs
31,2021-01-23,59632.0,LED Bulbs
32,2021-01-24,59632.0,LED Bulbs
33,2021-01-25,161824.0,LED Bulbs
34,2021-01-26,115765.0,LED Bulbs
35,2021-01-27,115765.0,LED Bulbs
36,2021-01-28,115765.0,LED Bulbs
37,2021-01-29,115765.0,LED Bulbs
38,2021-01-30,115765.0,LED Bulbs
39,2021-01-31,115765.0,LED Bulbs
40,2021-02-01,115765.0,LED Bulbs
41,2021-02-02,115765.0,LED Bulbs
42,2021-02-03,115765.0,LED Bulbs
43,2021-02-04,115765.0,LED Bulbs
44,2021-02-05,115765.0,LED Bulbs
45,2021-02-06,115765.0,LED Bulbs
46,2021-02-07,51321.0,LED Bulbs
47,2021-02-08,51321.0,LED Bulbs
48,2021-02-09,51321.0,LED Bulbs
49,2021-02-10,51321.0,LED Bulbs
50,2021-02-11,51321.0,LED Bulbs
51,2021-02-12,51321.0,LED Bulbs
52,2021-02-13,43791.0,LED Bulbs
53,2021-02-14,43791.0,LED Bulbs
54,2021-02-15,43791.0,LED Bulbs
55,2021-02-16,27987.0,LED Bulbs
56,2021-02-17,27987.0,LED Bulbs
57,2021-02-18,33740.0,LED Bulbs
58,2021-02-19,33740.0,LED Bulbs
59,2021-02-20,33740.0,LED Bulbs
60,2021-02-21,33740.0,LED Bulbs
61,2021-02-22,34792.0,LED Bulbs
62,2021-02-23,34792.0,LED Bulbs
63,2021-02-24,34792.0,LED Bulbs
64,2021-02-25,34792.0,LED Bulbs
65,2021-02-26,34792.0,LED Bulbs
66,2021-02-27,34792.0,LED Bulbs
67,2021-02-28,34792.0,LED Bulbs
68,2021-03-01,34792.0,LED Bulbs
69,2021-03-02,43525.0,LED Bulbs
70,2021-03-03,43525.0,LED Bulbs
71,2021-03-04,43525.0,LED Bulbs
72,2021-03-05,43525.0,LED Bulbs
73,2021-03-06,46027.0,LED Bulbs
74,2021-03-07,46027.0,LED Bulbs
75,2021-03-08,46027.0,LED Bulbs
76,2021-03-09,46027.0,LED Bulbs
77,2021-03-10,46027.0,LED Bulbs
78,2021-03-11,29262.0,LED Bulbs
79,2021-03-12,29262.0,LED Bulbs
80,2021-03-13,29262.0,LED Bulbs
81,2021-03-14,29262.0,LED Bulbs
82,2021-03-15,29262.0,LED Bulbs
83,2021-03-16,33575.0,LED Bulbs
84,2021-03-17,33575.0,LED Bulbs
85,2021-03-18,33575.0,LED Bulbs
86,2021-03-19,33575.0,LED Bulbs
87,2021-03-20,33575.0,LED Bulbs
88,2021-03-21,33575.0,LED Bulbs
89,2021-03-22,35499.0,LED Bulbs
90,2021-03-23,35499.0,LED Bulbs
91,2021-03-24,60166.0,LED Bulbs
92,2021-03-25,60166.0,LED Bulbs
93,2021-03-26,50672.0,LED Bulbs
94,2021-03-27,50672.0,LED Bulbs
95,2021-03-28,50672.0,LED Bulbs
96,2021-03-29,50672.0,LED Bulbs
97,2021-03-30,50672.0,LED Bulbs
98,2021-03-31,65647.0,LED Bulbs
99,2021-04-01,63055.0,LED Bulbs
100,2021-04-02,63055.0,LED Bulbs
101,2021-04-03,63055.0,LED Bulbs
102,2021-04-04,63055.0,LED Bulbs
103,2021-04-05,63055.0,LED Bulbs
104,2021-04-06,63055.0,LED Bulbs
105,2021-04-07,63055.0,LED Bulbs
106,2021-04-08,77245.0,LED Bulbs
107,2021-04-09,77245.0,LED Bulbs
108,2021-04-10,61411.0,LED Bulbs
109,2021-04-11,61411.0,LED Bulbs
110,2021-04-12,61411.0,LED Bulbs
111,2021-04-13,61411.0,LED Bulbs
112,2021-04-14,61411.0,LED Bulbs
113,2021-04-15,61411.0,LED Bulbs
114,2021-04-16,63619.0,LED Bulbs
115,2021-04-17,63619.0,LED Bulbs
116,2021-04-18,63619.0,LED Bulbs
117,2021-04-19,41362.0,LED Bulbs
118,2021-04-20,41362.0,LED Bulbs
119,2021-04-21,41362.0,LED Bulbs
120,2021-04-22,41362.0,LED Bulbs
121,2021-04-23,41362.0,LED Bulbs
122,2021-04-24,39474.0,LED Bulbs
123,2021-04-25,39474.0,LED Bulbs
124,2021-04-26,39474.0,LED Bulbs
125,2021-04-27,39474.0,LED Bulbs
126,2021-04-28,37380.0,LED Bulbs
127,2021-04-29,37380.0,LED Bulbs
128,2021-04-30,37380.0,LED Bulbs
129,2021-05-01,37380.0,LED Bulbs
130,2021-05-02,37380.0,LED Bulbs
131,2021-05-03,24081.0,LED Bulbs
132,2021-05-04,24081.0,LED Bulbs
133,2021-05-05,24081.0,LED Bulbs
134,2021-05-06,24081.0,LED Bulbs
135,2021-05-07,24081.0,LED Bulbs
136,2021-05-08,24564.0,LED Bulbs
137,2021-05-09,24564.0,LED Bulbs
138,2021-05-10,24564.0,LED Bulbs
139,2021-05-11,24564.0,LED Bulbs
140,2021-05-12,32485.0,LED Bulbs
141,2021-05-13,32485.0,LED Bulbs
142,2021-05-14,32485.0,LED Bulbs
143,2021-05-15,32485.0,LED Bulbs
144,2021-05-16,32485.0,LED Bulbs
145,2021-05-17,22502.0,LED Bulbs
146,2021-05-18,22502.0,LED Bulbs
147,2021-05-19,22752.0,LED Bulbs
148,2021-05-20,24596.0,LED Bulbs
149,2021-05-21,27282.0,LED Bulbs
150,2021-05-22,26910.0,LED Bulbs
151,2021-05-23,26910.0,LED Bulbs
152,2021-05-24,18614.0,LED Bulbs
153,2021-05-25,18614.0,LED Bulbs
154,2021-05-26,18614.0,LED Bulbs
155,2021-05-27,18614.0,LED Bulbs
156,2021-05-28,21446.0,LED Bulbs
157,2021-05-29,21446.0,LED Bulbs
158,2021-05-30,21446.0,LED Bulbs
159,2021-05-31,21820.0,LED Bulbs
160,2021-06-01,21820.0,LED Bulbs
161,2021-06-02,21820.0,LED Bulbs
162,2021-06-03,21571.0,LED Bulbs
163,2021-06-04,21177.0,LED Bulbs
164,2021-06-05,21177.0,LED Bulbs
165,2021-06-06,21177.0,LED Bulbs
166,2021-06-07,21177.0,LED Bulbs
167,2021-06-08,22847.0,LED Bulbs
168,2021-06-09,29763.0,LED Bulbs
169,2021-06-10,29763.0,LED Bulbs
170,2021-06-11,29763.0,LED Bulbs
171,2021-06-12,29763.0,LED Bulbs
