,date,value,name_B08QSD4HZP
0,2020-12-19,19822.0,Role Playing Dice
1,2020-12-20,19822.0,Role Playing Dice
2,2020-12-21,19822.0,Role Playing Dice
3,2020-12-22,18397.0,Role Playing Dice
4,2020-12-23,15853.0,Role Playing Dice
5,2020-12-24,15853.0,Role Playing Dice
6,2020-12-25,15853.0,Role Playing Dice
7,2020-12-26,10705.0,Role Playing Dice
8,2020-12-27,9173.0,Role Playing Dice
9,2020-12-28,10853.0,Role Playing Dice
10,2020-12-29,15394.0,Role Playing Dice
11,2020-12-30,15394.0,Role Playing Dice
12,2020-12-31,7664.0,Role Playing Dice
13,2021-01-01,7664.0,Role Playing Dice
14,2021-01-02,7664.0,Role Playing Dice
15,2021-01-03,8591.0,Role Playing Dice
16,2021-01-04,8667.0,Role Playing Dice
17,2021-01-05,7065.0,Role Playing Dice
18,2021-01-06,6697.0,Role Playing Dice
19,2021-01-07,5913.0,Role Playing Dice
20,2021-01-08,7350.0,Role Playing Dice
21,2021-01-09,4174.0,Role Playing Dice
22,2021-01-10,4942.0,Role Playing Dice
23,2021-01-11,5729.0,Role Playing Dice
24,2021-01-12,4693.0,Role Playing Dice
25,2021-01-13,4693.0,Role Playing Dice
26,2021-01-14,4651.0,Role Playing Dice
27,2021-01-15,4651.0,Role Playing Dice
28,2021-01-16,3659.0,Role Playing Dice
29,2021-01-17,3659.0,Role Playing Dice
30,2021-01-18,4216.0,Role Playing Dice
31,2021-01-19,5799.0,Role Playing Dice
32,2021-01-20,4844.0,Role Playing Dice
33,2021-01-21,5261.0,Role Playing Dice
34,2021-01-22,6338.0,Role Playing Dice
35,2021-01-23,5685.0,Role Playing Dice
36,2021-01-24,5685.0,Role Playing Dice
37,2021-01-25,6900.0,Role Playing Dice
38,2021-01-26,6900.0,Role Playing Dice
39,2021-01-27,6900.0,Role Playing Dice
40,2021-01-28,8615.0,Role Playing Dice
41,2021-01-29,6133.0,Role Playing Dice
42,2021-01-30,5837.0,Role Playing Dice
43,2021-01-31,4114.0,Role Playing Dice
44,2021-02-01,4114.0,Role Playing Dice
45,2021-02-02,3493.0,Role Playing Dice
46,2021-02-03,5297.0,Role Playing Dice
47,2021-02-04,5005.0,Role Playing Dice
48,2021-02-05,5005.0,Role Playing Dice
49,2021-02-06,6363.0,Role Playing Dice
50,2021-02-07,6399.0,Role Playing Dice
51,2021-02-08,6399.0,Role Playing Dice
52,2021-02-09,6399.0,Role Playing Dice
53,2021-02-10,6147.0,Role Playing Dice
54,2021-02-11,6147.0,Role Playing Dice
55,2021-02-12,3980.0,Role Playing Dice
56,2021-02-13,3980.0,Role Playing Dice
57,2021-02-14,3980.0,Role Playing Dice
58,2021-02-15,4346.0,Role Playing Dice
59,2021-02-16,3377.0,Role Playing Dice
60,2021-02-17,5586.0,Role Playing Dice
61,2021-02-18,5586.0,Role Playing Dice
62,2021-02-19,4839.0,Role Playing Dice
63,2021-02-20,4839.0,Role Playing Dice
64,2021-02-21,4839.0,Role Playing Dice
65,2021-02-22,4911.0,Role Playing Dice
66,2021-02-23,4594.0,Role Playing Dice
67,2021-02-24,3851.0,Role Playing Dice
68,2021-02-25,4052.0,Role Playing Dice
69,2021-02-26,3659.0,Role Playing Dice
70,2021-02-27,3659.0,Role Playing Dice
71,2021-02-28,3659.0,Role Playing Dice
72,2021-03-01,3046.0,Role Playing Dice
73,2021-03-02,3046.0,Role Playing Dice
74,2021-03-03,4713.0,Role Playing Dice
75,2021-03-04,3324.0,Role Playing Dice
76,2021-03-05,2797.0,Role Playing Dice
77,2021-03-06,3653.0,Role Playing Dice
78,2021-03-07,3653.0,Role Playing Dice
79,2021-03-08,3736.0,Role Playing Dice
80,2021-03-09,3736.0,Role Playing Dice
81,2021-03-10,4441.0,Role Playing Dice
82,2021-03-11,4441.0,Role Playing Dice
83,2021-03-12,3419.0,Role Playing Dice
84,2021-03-13,3528.0,Role Playing Dice
85,2021-03-14,3934.0,Role Playing Dice
86,2021-03-15,3881.0,Role Playing Dice
87,2021-03-16,4379.0,Role Playing Dice
88,2021-03-17,3865.0,Role Playing Dice
89,2021-03-18,3865.0,Role Playing Dice
90,2021-03-19,3008.0,Role Playing Dice
91,2021-03-20,3385.0,Role Playing Dice
92,2021-03-21,3511.0,Role Playing Dice
93,2021-03-22,3622.0,Role Playing Dice
94,2021-03-23,3055.0,Role Playing Dice
95,2021-03-24,3106.0,Role Playing Dice
96,2021-03-25,3583.0,Role Playing Dice
97,2021-03-26,3208.0,Role Playing Dice
98,2021-03-27,3208.0,Role Playing Dice
99,2021-03-28,3208.0,Role Playing Dice
100,2021-03-29,4948.0,Role Playing Dice
101,2021-03-30,4948.0,Role Playing Dice
102,2021-03-31,5554.0,Role Playing Dice
103,2021-04-01,5554.0,Role Playing Dice
104,2021-04-02,4723.0,Role Playing Dice
105,2021-04-03,2925.0,Role Playing Dice
106,2021-04-04,2917.0,Role Playing Dice
107,2021-04-05,2654.0,Role Playing Dice
108,2021-04-06,2736.0,Role Playing Dice
109,2021-04-07,1694.0,Role Playing Dice
110,2021-04-08,2658.0,Role Playing Dice
111,2021-04-09,2828.0,Role Playing Dice
112,2021-04-10,2828.0,Role Playing Dice
