,date,value,name_B08QTRC1GQ
0,2020-12-25,3872.0,Flea Drops
1,2020-12-26,3872.0,Flea Drops
2,2020-12-27,4458.0,Flea Drops
3,2020-12-28,4041.0,Flea Drops
4,2020-12-29,4759.0,Flea Drops
5,2020-12-30,4759.0,Flea Drops
6,2020-12-31,4759.0,Flea Drops
7,2021-01-01,4759.0,Flea Drops
8,2021-01-02,4759.0,Flea Drops
9,2021-01-03,4759.0,Flea Drops
10,2021-01-04,7070.0,Flea Drops
11,2021-01-05,7070.0,Flea Drops
12,2021-01-06,4134.0,Flea Drops
13,2021-01-07,4134.0,Flea Drops
14,2021-01-08,4134.0,Flea Drops
15,2021-01-09,4134.0,Flea Drops
16,2021-01-10,4014.0,Flea Drops
17,2021-01-11,3872.0,Flea Drops
18,2021-01-12,3872.0,Flea Drops
19,2021-01-13,3872.0,Flea Drops
20,2021-01-14,3651.0,Flea Drops
21,2021-01-15,3651.0,Flea Drops
22,2021-01-16,3543.0,Flea Drops
23,2021-01-17,3543.0,Flea Drops
24,2021-01-18,3836.0,Flea Drops
25,2021-01-19,4118.0,Flea Drops
26,2021-01-20,4118.0,Flea Drops
27,2021-01-21,4118.0,Flea Drops
28,2021-01-22,3254.0,Flea Drops
29,2021-01-23,3254.0,Flea Drops
30,2021-01-24,3428.0,Flea Drops
31,2021-01-25,3428.0,Flea Drops
32,2021-01-26,3428.0,Flea Drops
33,2021-01-27,3370.0,Flea Drops
34,2021-01-28,3370.0,Flea Drops
35,2021-01-29,3020.0,Flea Drops
36,2021-01-30,3428.0,Flea Drops
37,2021-01-31,3428.0,Flea Drops
38,2021-02-01,3428.0,Flea Drops
39,2021-02-02,3668.0,Flea Drops
40,2021-02-03,3668.0,Flea Drops
41,2021-02-04,3264.0,Flea Drops
42,2021-02-05,3264.0,Flea Drops
43,2021-02-06,3264.0,Flea Drops
44,2021-02-07,3636.0,Flea Drops
45,2021-02-08,3636.0,Flea Drops
46,2021-02-09,3636.0,Flea Drops
47,2021-02-10,4394.0,Flea Drops
48,2021-02-11,4394.0,Flea Drops
49,2021-02-12,4394.0,Flea Drops
50,2021-02-13,3789.0,Flea Drops
51,2021-02-14,3789.0,Flea Drops
52,2021-02-15,3789.0,Flea Drops
53,2021-02-16,2824.0,Flea Drops
54,2021-02-17,2824.0,Flea Drops
55,2021-02-18,2824.0,Flea Drops
56,2021-02-19,4227.0,Flea Drops
57,2021-02-20,4227.0,Flea Drops
58,2021-02-21,3657.0,Flea Drops
59,2021-02-22,3657.0,Flea Drops
60,2021-02-23,3657.0,Flea Drops
61,2021-02-24,3226.0,Flea Drops
62,2021-02-25,3226.0,Flea Drops
63,2021-02-26,3226.0,Flea Drops
64,2021-02-27,3226.0,Flea Drops
65,2021-02-28,3226.0,Flea Drops
66,2021-03-01,3541.0,Flea Drops
67,2021-03-02,3541.0,Flea Drops
68,2021-03-03,2891.0,Flea Drops
69,2021-03-04,2891.0,Flea Drops
70,2021-03-05,2891.0,Flea Drops
71,2021-03-06,2891.0,Flea Drops
72,2021-03-07,3472.0,Flea Drops
73,2021-03-08,3472.0,Flea Drops
74,2021-03-09,2866.0,Flea Drops
75,2021-03-10,2866.0,Flea Drops
76,2021-03-11,2866.0,Flea Drops
77,2021-03-12,2909.0,Flea Drops
78,2021-03-13,2909.0,Flea Drops
79,2021-03-14,2909.0,Flea Drops
80,2021-03-15,2909.0,Flea Drops
81,2021-03-16,2909.0,Flea Drops
82,2021-03-17,2909.0,Flea Drops
83,2021-03-18,2909.0,Flea Drops
84,2021-03-19,2909.0,Flea Drops
85,2021-03-20,2909.0,Flea Drops
86,2021-03-21,2909.0,Flea Drops
87,2021-03-22,2909.0,Flea Drops
88,2021-03-23,2909.0,Flea Drops
89,2021-03-24,2909.0,Flea Drops
90,2021-03-25,2770.0,Flea Drops
91,2021-03-26,2770.0,Flea Drops
92,2021-03-27,2770.0,Flea Drops
93,2021-03-28,2880.0,Flea Drops
94,2021-03-29,2880.0,Flea Drops
95,2021-03-30,2449.0,Flea Drops
96,2021-03-31,2449.0,Flea Drops
97,2021-04-01,2449.0,Flea Drops
98,2021-04-02,2742.0,Flea Drops
99,2021-04-03,2742.0,Flea Drops
100,2021-04-04,2742.0,Flea Drops
101,2021-04-05,2719.0,Flea Drops
102,2021-04-06,2746.0,Flea Drops
103,2021-04-07,2746.0,Flea Drops
104,2021-04-08,2494.0,Flea Drops
105,2021-04-09,2494.0,Flea Drops
106,2021-04-10,2040.0,Flea Drops
107,2021-04-11,2040.0,Flea Drops
108,2021-04-12,2383.0,Flea Drops
109,2021-04-13,2601.0,Flea Drops
110,2021-04-14,2601.0,Flea Drops
111,2021-04-15,2601.0,Flea Drops
112,2021-04-16,2134.0,Flea Drops
113,2021-04-17,2134.0,Flea Drops
114,2021-04-18,2681.0,Flea Drops
115,2021-04-19,2681.0,Flea Drops
116,2021-04-20,2692.0,Flea Drops
117,2021-04-21,2692.0,Flea Drops
118,2021-04-22,2274.0,Flea Drops
119,2021-04-23,2274.0,Flea Drops
120,2021-04-24,2274.0,Flea Drops
121,2021-04-25,2256.0,Flea Drops
122,2021-04-26,2256.0,Flea Drops
123,2021-04-27,2438.0,Flea Drops
124,2021-04-28,2438.0,Flea Drops
125,2021-04-29,2735.0,Flea Drops
126,2021-04-30,2735.0,Flea Drops
127,2021-05-01,2735.0,Flea Drops
128,2021-05-02,2700.0,Flea Drops
129,2021-05-03,2700.0,Flea Drops
130,2021-05-04,2514.0,Flea Drops
131,2021-05-05,2514.0,Flea Drops
132,2021-05-06,2410.0,Flea Drops
133,2021-05-07,2716.0,Flea Drops
134,2021-05-08,2716.0,Flea Drops
135,2021-05-09,2716.0,Flea Drops
136,2021-05-10,3416.0,Flea Drops
137,2021-05-11,3069.0,Flea Drops
138,2021-05-12,3069.0,Flea Drops
139,2021-05-13,3069.0,Flea Drops
140,2021-05-14,2865.0,Flea Drops
141,2021-05-15,2865.0,Flea Drops
142,2021-05-16,2915.0,Flea Drops
143,2021-05-17,2915.0,Flea Drops
144,2021-05-18,2902.0,Flea Drops
145,2021-05-19,2902.0,Flea Drops
146,2021-05-20,2435.0,Flea Drops
147,2021-05-21,2435.0,Flea Drops
148,2021-05-22,2435.0,Flea Drops
149,2021-05-23,2867.0,Flea Drops
150,2021-05-24,2867.0,Flea Drops
