,date,value,name_B08QZHG8LW
0,2021-05-31,239.0,Flatware Organizers
1,2021-06-01,264.0,Flatware Organizers
2,2021-06-02,334.0,Flatware Organizers
3,2021-06-03,334.0,Flatware Organizers
4,2021-06-04,372.0,Flatware Organizers
5,2021-06-05,372.0,Flatware Organizers
6,2021-06-06,323.0,Flatware Organizers
7,2021-06-07,323.0,Flatware Organizers
8,2021-06-08,323.0,Flatware Organizers
9,2021-06-09,388.0,Flatware Organizers
10,2021-06-10,349.0,Flatware Organizers
11,2021-06-11,349.0,Flatware Organizers
12,2021-06-12,348.0,Flatware Organizers
13,2021-06-13,348.0,Flatware Organizers
14,2021-06-14,382.0,Flatware Organizers
15,2021-06-15,341.0,Flatware Organizers
16,2021-06-16,341.0,Flatware Organizers
17,2021-06-17,341.0,Flatware Organizers
18,2021-06-18,454.0,Flatware Organizers
19,2021-06-19,386.0,Flatware Organizers
20,2021-06-20,386.0,Flatware Organizers
21,2021-06-21,404.0,Flatware Organizers
22,2021-06-22,922.0,Flatware Organizers
23,2021-06-23,980.0,Flatware Organizers
24,2021-06-24,980.0,Flatware Organizers
25,2021-06-25,980.0,Flatware Organizers
26,2021-06-26,980.0,Flatware Organizers
27,2021-06-27,574.0,Flatware Organizers
28,2021-06-28,423.0,Flatware Organizers
29,2021-06-29,623.0,Flatware Organizers
30,2021-06-30,455.0,Flatware Organizers
31,2021-07-01,505.0,Flatware Organizers
32,2021-07-02,505.0,Flatware Organizers
33,2021-07-03,468.0,Flatware Organizers
34,2021-07-04,468.0,Flatware Organizers
35,2021-07-05,468.0,Flatware Organizers
36,2021-07-06,428.0,Flatware Organizers
37,2021-07-07,476.0,Flatware Organizers
38,2021-07-08,476.0,Flatware Organizers
39,2021-07-09,476.0,Flatware Organizers
40,2021-07-10,476.0,Flatware Organizers
41,2021-07-11,516.0,Flatware Organizers
