,date,value,name_B08R3JFN62
0,2021-05-26,3245.0,Garden Hoses
1,2021-05-27,3245.0,Garden Hoses
2,2021-05-28,3245.0,Garden Hoses
3,2021-05-29,5078.0,Garden Hoses
4,2021-05-30,5078.0,Garden Hoses
5,2021-05-31,5161.0,Garden Hoses
6,2021-06-01,5161.0,Garden Hoses
7,2021-06-02,5333.0,Garden Hoses
8,2021-06-03,5333.0,Garden Hoses
9,2021-06-04,5600.0,Garden Hoses
10,2021-06-05,5600.0,Garden Hoses
11,2021-06-06,5600.0,Garden Hoses
12,2021-06-07,4290.0,Garden Hoses
13,2021-06-08,4262.0,Garden Hoses
14,2021-06-09,4262.0,Garden Hoses
15,2021-06-10,3166.0,Garden Hoses
16,2021-06-11,3166.0,Garden Hoses
17,2021-06-12,3166.0,Garden Hoses
18,2021-06-13,1924.0,Garden Hoses
19,2021-06-14,1924.0,Garden Hoses
20,2021-06-15,2073.0,Garden Hoses
21,2021-06-16,1550.0,Garden Hoses
22,2021-06-17,1550.0,Garden Hoses
23,2021-06-18,2191.0,Garden Hoses
24,2021-06-19,2191.0,Garden Hoses
25,2021-06-20,2740.0,Garden Hoses
26,2021-06-21,2740.0,Garden Hoses
27,2021-06-22,4120.0,Garden Hoses
28,2021-06-23,4120.0,Garden Hoses
29,2021-06-24,3037.0,Garden Hoses
30,2021-06-25,3037.0,Garden Hoses
31,2021-06-26,3423.0,Garden Hoses
32,2021-06-27,3423.0,Garden Hoses
33,2021-06-28,3256.0,Garden Hoses
34,2021-06-29,1824.0,Garden Hoses
35,2021-06-30,1706.0,Garden Hoses
36,2021-07-01,1706.0,Garden Hoses
37,2021-07-02,1326.0,Garden Hoses
38,2021-07-03,1732.0,Garden Hoses
39,2021-07-04,1732.0,Garden Hoses
40,2021-07-05,1392.0,Garden Hoses
41,2021-07-06,2042.0,Garden Hoses
42,2021-07-07,2415.0,Garden Hoses
43,2021-07-08,2415.0,Garden Hoses
44,2021-07-09,2573.0,Garden Hoses
45,2021-07-10,2573.0,Garden Hoses
46,2021-07-11,3520.0,Garden Hoses
