,date,value,name_B08R7D7G8V
0,2021-04-13,70876.0,Kiddie Pools
1,2021-04-14,70876.0,Kiddie Pools
2,2021-04-15,70876.0,Kiddie Pools
3,2021-04-16,32808.0,Kiddie Pools
4,2021-04-17,32808.0,Kiddie Pools
5,2021-04-18,32808.0,Kiddie Pools
6,2021-04-19,109726.0,Kiddie Pools
7,2021-04-20,109726.0,Kiddie Pools
8,2021-04-21,70494.0,Kiddie Pools
9,2021-04-22,70494.0,Kiddie Pools
10,2021-04-23,70494.0,Kiddie Pools
11,2021-04-24,70695.0,Kiddie Pools
12,2021-04-25,70695.0,Kiddie Pools
13,2021-04-26,31737.0,Kiddie Pools
14,2021-04-27,31737.0,Kiddie Pools
15,2021-04-28,115152.0,Kiddie Pools
16,2021-04-29,74004.0,Kiddie Pools
17,2021-04-30,58439.0,Kiddie Pools
18,2021-05-01,31395.0,Kiddie Pools
19,2021-05-02,29120.0,Kiddie Pools
20,2021-05-03,29120.0,Kiddie Pools
21,2021-05-04,29120.0,Kiddie Pools
22,2021-05-05,73323.0,Kiddie Pools
23,2021-05-06,65303.0,Kiddie Pools
24,2021-05-07,65303.0,Kiddie Pools
25,2021-05-08,60163.0,Kiddie Pools
26,2021-05-09,60163.0,Kiddie Pools
27,2021-05-10,54483.0,Kiddie Pools
28,2021-05-11,36315.0,Kiddie Pools
29,2021-05-12,36315.0,Kiddie Pools
30,2021-05-13,36315.0,Kiddie Pools
31,2021-05-14,36315.0,Kiddie Pools
32,2021-05-15,18821.0,Kiddie Pools
33,2021-05-16,18821.0,Kiddie Pools
34,2021-05-17,19463.0,Kiddie Pools
35,2021-05-18,17833.0,Kiddie Pools
36,2021-05-19,17833.0,Kiddie Pools
37,2021-05-20,17833.0,Kiddie Pools
38,2021-05-21,17833.0,Kiddie Pools
39,2021-05-22,17557.0,Kiddie Pools
40,2021-05-23,17557.0,Kiddie Pools
41,2021-05-24,16527.0,Kiddie Pools
42,2021-05-25,14920.0,Kiddie Pools
43,2021-05-26,19850.0,Kiddie Pools
44,2021-05-27,19850.0,Kiddie Pools
45,2021-05-28,14565.0,Kiddie Pools
46,2021-05-29,16630.0,Kiddie Pools
47,2021-05-30,16630.0,Kiddie Pools
48,2021-05-31,16630.0,Kiddie Pools
49,2021-06-01,19600.0,Kiddie Pools
50,2021-06-02,19600.0,Kiddie Pools
51,2021-06-03,22415.0,Kiddie Pools
52,2021-06-04,22415.0,Kiddie Pools
53,2021-06-05,24706.0,Kiddie Pools
54,2021-06-06,24706.0,Kiddie Pools
55,2021-06-07,24706.0,Kiddie Pools
56,2021-06-08,11145.0,Kiddie Pools
57,2021-06-09,11145.0,Kiddie Pools
58,2021-06-10,16897.0,Kiddie Pools
59,2021-06-11,17767.0,Kiddie Pools
60,2021-06-12,13951.0,Kiddie Pools
61,2021-06-13,13951.0,Kiddie Pools
62,2021-06-14,13951.0,Kiddie Pools
63,2021-06-15,13270.0,Kiddie Pools
64,2021-06-16,22301.0,Kiddie Pools
65,2021-06-17,22301.0,Kiddie Pools
66,2021-06-18,22301.0,Kiddie Pools
67,2021-06-19,19605.0,Kiddie Pools
68,2021-06-20,19605.0,Kiddie Pools
69,2021-06-21,19605.0,Kiddie Pools
70,2021-06-22,11740.0,Kiddie Pools
71,2021-06-23,11740.0,Kiddie Pools
72,2021-06-24,8878.0,Kiddie Pools
73,2021-06-25,7762.0,Kiddie Pools
74,2021-06-26,7762.0,Kiddie Pools
75,2021-06-27,7762.0,Kiddie Pools
76,2021-06-28,9975.0,Kiddie Pools
77,2021-06-29,9810.0,Kiddie Pools
78,2021-06-30,9810.0,Kiddie Pools
79,2021-07-01,7063.0,Kiddie Pools
80,2021-07-02,7063.0,Kiddie Pools
81,2021-07-03,7063.0,Kiddie Pools
82,2021-07-04,7063.0,Kiddie Pools
83,2021-07-05,17193.0,Kiddie Pools
84,2021-07-06,17193.0,Kiddie Pools
85,2021-07-07,20438.0,Kiddie Pools
86,2021-07-08,16982.0,Kiddie Pools
87,2021-07-09,16704.0,Kiddie Pools
