,date,value,name_B08R7JJ7FL
0,2021-04-30,14725.0,B3 (Niacin)
1,2021-05-01,14725.0,B3 (Niacin)
2,2021-05-02,17493.0,B3 (Niacin)
3,2021-05-03,17493.0,B3 (Niacin)
4,2021-05-04,16459.0,B3 (Niacin)
5,2021-05-05,16249.0,B3 (Niacin)
6,2021-05-06,19450.0,B3 (Niacin)
7,2021-05-07,20485.0,B3 (Niacin)
8,2021-05-08,16007.0,B3 (Niacin)
9,2021-05-09,13806.0,B3 (Niacin)
10,2021-05-10,14295.0,B3 (Niacin)
11,2021-05-11,16591.0,B3 (Niacin)
12,2021-05-12,18430.0,B3 (Niacin)
13,2021-05-13,18359.0,B3 (Niacin)
14,2021-05-14,18856.0,B3 (Niacin)
15,2021-05-15,18856.0,B3 (Niacin)
16,2021-05-16,16370.0,B3 (Niacin)
17,2021-05-17,15861.0,B3 (Niacin)
18,2021-05-18,15920.0,B3 (Niacin)
19,2021-05-19,15169.0,B3 (Niacin)
20,2021-05-20,16677.0,B3 (Niacin)
21,2021-05-21,17145.0,B3 (Niacin)
22,2021-05-22,17794.0,B3 (Niacin)
23,2021-05-23,15885.0,B3 (Niacin)
24,2021-05-24,16440.0,B3 (Niacin)
25,2021-05-25,18877.0,B3 (Niacin)
26,2021-05-26,18907.0,B3 (Niacin)
27,2021-05-27,23516.0,B3 (Niacin)
28,2021-05-28,21212.0,B3 (Niacin)
29,2021-05-29,21212.0,B3 (Niacin)
30,2021-05-30,17302.0,B3 (Niacin)
31,2021-05-31,19753.0,B3 (Niacin)
32,2021-06-01,21447.0,B3 (Niacin)
33,2021-06-02,20447.0,B3 (Niacin)
34,2021-06-03,24178.0,B3 (Niacin)
35,2021-06-04,24178.0,B3 (Niacin)
36,2021-06-05,26417.0,B3 (Niacin)
37,2021-06-06,24672.0,B3 (Niacin)
38,2021-06-07,25954.0,B3 (Niacin)
39,2021-06-08,21218.0,B3 (Niacin)
40,2021-06-09,21045.0,B3 (Niacin)
41,2021-06-10,21300.0,B3 (Niacin)
42,2021-06-11,21300.0,B3 (Niacin)
43,2021-06-12,21187.0,B3 (Niacin)
44,2021-06-13,17629.0,B3 (Niacin)
45,2021-06-14,17629.0,B3 (Niacin)
46,2021-06-15,19143.0,B3 (Niacin)
47,2021-06-16,19639.0,B3 (Niacin)
48,2021-06-17,19639.0,B3 (Niacin)
49,2021-06-18,20445.0,B3 (Niacin)
50,2021-06-19,12055.0,B3 (Niacin)
51,2021-06-20,12055.0,B3 (Niacin)
52,2021-06-21,17305.0,B3 (Niacin)
53,2021-06-22,15292.0,B3 (Niacin)
54,2021-06-23,13484.0,B3 (Niacin)
55,2021-06-24,13484.0,B3 (Niacin)
56,2021-06-25,18280.0,B3 (Niacin)
57,2021-06-26,18280.0,B3 (Niacin)
58,2021-06-27,20406.0,B3 (Niacin)
59,2021-06-28,19159.0,B3 (Niacin)
60,2021-06-29,14690.0,B3 (Niacin)
61,2021-06-30,17283.0,B3 (Niacin)
62,2021-07-01,17137.0,B3 (Niacin)
63,2021-07-02,16630.0,B3 (Niacin)
64,2021-07-03,17742.0,B3 (Niacin)
65,2021-07-04,19156.0,B3 (Niacin)
66,2021-07-05,17059.0,B3 (Niacin)
67,2021-07-06,17059.0,B3 (Niacin)
68,2021-07-07,16623.0,B3 (Niacin)
69,2021-07-08,21014.0,B3 (Niacin)
70,2021-07-09,26512.0,B3 (Niacin)
71,2021-07-10,26027.0,B3 (Niacin)
72,2021-07-11,19463.0,B3 (Niacin)
