,date,value,name_B08RDWXHKK
0,2021-03-01,232262.0,Pool Rafts & Inflatable Ride-ons
1,2021-03-02,241368.0,Pool Rafts & Inflatable Ride-ons
2,2021-03-03,312953.0,Pool Rafts & Inflatable Ride-ons
3,2021-03-04,200055.0,Pool Rafts & Inflatable Ride-ons
4,2021-03-05,200055.0,Pool Rafts & Inflatable Ride-ons
5,2021-03-06,297208.0,Pool Rafts & Inflatable Ride-ons
6,2021-03-07,350820.0,Pool Rafts & Inflatable Ride-ons
7,2021-03-08,144268.0,Pool Rafts & Inflatable Ride-ons
8,2021-03-09,144268.0,Pool Rafts & Inflatable Ride-ons
9,2021-03-10,161962.0,Pool Rafts & Inflatable Ride-ons
10,2021-03-11,120340.0,Pool Rafts & Inflatable Ride-ons
11,2021-03-12,143282.0,Pool Rafts & Inflatable Ride-ons
12,2021-03-13,143282.0,Pool Rafts & Inflatable Ride-ons
13,2021-03-14,80080.0,Pool Rafts & Inflatable Ride-ons
14,2021-03-15,75191.0,Pool Rafts & Inflatable Ride-ons
15,2021-03-16,61547.0,Pool Rafts & Inflatable Ride-ons
16,2021-03-17,65465.0,Pool Rafts & Inflatable Ride-ons
17,2021-03-18,75717.0,Pool Rafts & Inflatable Ride-ons
18,2021-03-19,75717.0,Pool Rafts & Inflatable Ride-ons
19,2021-03-20,63616.0,Pool Rafts & Inflatable Ride-ons
20,2021-03-21,96783.0,Pool Rafts & Inflatable Ride-ons
21,2021-03-22,83229.0,Pool Rafts & Inflatable Ride-ons
22,2021-03-23,89546.0,Pool Rafts & Inflatable Ride-ons
23,2021-03-24,124242.0,Pool Rafts & Inflatable Ride-ons
24,2021-03-25,85040.0,Pool Rafts & Inflatable Ride-ons
25,2021-03-26,63578.0,Pool Rafts & Inflatable Ride-ons
26,2021-03-27,55978.0,Pool Rafts & Inflatable Ride-ons
27,2021-03-28,55020.0,Pool Rafts & Inflatable Ride-ons
28,2021-03-29,58026.0,Pool Rafts & Inflatable Ride-ons
29,2021-03-30,46816.0,Pool Rafts & Inflatable Ride-ons
30,2021-03-31,64849.0,Pool Rafts & Inflatable Ride-ons
31,2021-04-01,64849.0,Pool Rafts & Inflatable Ride-ons
32,2021-04-02,64795.0,Pool Rafts & Inflatable Ride-ons
33,2021-04-03,51466.0,Pool Rafts & Inflatable Ride-ons
34,2021-04-04,87267.0,Pool Rafts & Inflatable Ride-ons
35,2021-04-05,73980.0,Pool Rafts & Inflatable Ride-ons
36,2021-04-06,70966.0,Pool Rafts & Inflatable Ride-ons
37,2021-04-07,49457.0,Pool Rafts & Inflatable Ride-ons
38,2021-04-08,60257.0,Pool Rafts & Inflatable Ride-ons
39,2021-04-09,57835.0,Pool Rafts & Inflatable Ride-ons
40,2021-04-10,63626.0,Pool Rafts & Inflatable Ride-ons
41,2021-04-11,72385.0,Pool Rafts & Inflatable Ride-ons
42,2021-04-12,40661.0,Pool Rafts & Inflatable Ride-ons
43,2021-04-13,64716.0,Pool Rafts & Inflatable Ride-ons
44,2021-04-14,64716.0,Pool Rafts & Inflatable Ride-ons
45,2021-04-15,52658.0,Pool Rafts & Inflatable Ride-ons
46,2021-04-16,113834.0,Pool Rafts & Inflatable Ride-ons
47,2021-04-17,91434.0,Pool Rafts & Inflatable Ride-ons
48,2021-04-18,103845.0,Pool Rafts & Inflatable Ride-ons
49,2021-04-19,80709.0,Pool Rafts & Inflatable Ride-ons
50,2021-04-20,43961.0,Pool Rafts & Inflatable Ride-ons
51,2021-04-21,66885.0,Pool Rafts & Inflatable Ride-ons
52,2021-04-22,103520.0,Pool Rafts & Inflatable Ride-ons
53,2021-04-23,66265.0,Pool Rafts & Inflatable Ride-ons
54,2021-04-24,46577.0,Pool Rafts & Inflatable Ride-ons
55,2021-04-25,43337.0,Pool Rafts & Inflatable Ride-ons
56,2021-04-26,62300.0,Pool Rafts & Inflatable Ride-ons
57,2021-04-27,39128.0,Pool Rafts & Inflatable Ride-ons
58,2021-04-28,43873.0,Pool Rafts & Inflatable Ride-ons
59,2021-04-29,43771.0,Pool Rafts & Inflatable Ride-ons
60,2021-04-30,31571.0,Pool Rafts & Inflatable Ride-ons
61,2021-05-01,35033.0,Pool Rafts & Inflatable Ride-ons
62,2021-05-02,51217.0,Pool Rafts & Inflatable Ride-ons
63,2021-05-03,48391.0,Pool Rafts & Inflatable Ride-ons
64,2021-05-04,57864.0,Pool Rafts & Inflatable Ride-ons
65,2021-05-05,51066.0,Pool Rafts & Inflatable Ride-ons
66,2021-05-06,66239.0,Pool Rafts & Inflatable Ride-ons
67,2021-05-07,32061.0,Pool Rafts & Inflatable Ride-ons
68,2021-05-08,36628.0,Pool Rafts & Inflatable Ride-ons
69,2021-05-09,31316.0,Pool Rafts & Inflatable Ride-ons
70,2021-05-10,50357.0,Pool Rafts & Inflatable Ride-ons
71,2021-05-11,45384.0,Pool Rafts & Inflatable Ride-ons
72,2021-05-12,44629.0,Pool Rafts & Inflatable Ride-ons
73,2021-05-13,38919.0,Pool Rafts & Inflatable Ride-ons
74,2021-05-14,42543.0,Pool Rafts & Inflatable Ride-ons
75,2021-05-15,25050.0,Pool Rafts & Inflatable Ride-ons
76,2021-05-16,28219.0,Pool Rafts & Inflatable Ride-ons
77,2021-05-17,44923.0,Pool Rafts & Inflatable Ride-ons
78,2021-05-18,55422.0,Pool Rafts & Inflatable Ride-ons
79,2021-05-19,47533.0,Pool Rafts & Inflatable Ride-ons
80,2021-05-20,52029.0,Pool Rafts & Inflatable Ride-ons
81,2021-05-21,48268.0,Pool Rafts & Inflatable Ride-ons
82,2021-05-22,46282.0,Pool Rafts & Inflatable Ride-ons
83,2021-05-23,37133.0,Pool Rafts & Inflatable Ride-ons
84,2021-05-24,52480.0,Pool Rafts & Inflatable Ride-ons
85,2021-05-25,50529.0,Pool Rafts & Inflatable Ride-ons
86,2021-05-26,25931.0,Pool Rafts & Inflatable Ride-ons
87,2021-05-27,32236.0,Pool Rafts & Inflatable Ride-ons
88,2021-05-28,37269.0,Pool Rafts & Inflatable Ride-ons
89,2021-05-29,22516.0,Pool Rafts & Inflatable Ride-ons
90,2021-05-30,26106.0,Pool Rafts & Inflatable Ride-ons
91,2021-05-31,20334.0,Pool Rafts & Inflatable Ride-ons
92,2021-06-01,20860.0,Pool Rafts & Inflatable Ride-ons
93,2021-06-02,26149.0,Pool Rafts & Inflatable Ride-ons
94,2021-06-03,20463.0,Pool Rafts & Inflatable Ride-ons
95,2021-06-04,22437.0,Pool Rafts & Inflatable Ride-ons
96,2021-06-05,21872.0,Pool Rafts & Inflatable Ride-ons
97,2021-06-06,16412.0,Pool Rafts & Inflatable Ride-ons
98,2021-06-07,20905.0,Pool Rafts & Inflatable Ride-ons
99,2021-06-08,25390.0,Pool Rafts & Inflatable Ride-ons
