,date,value,name_B08RXS7QTR
0,2021-02-23,35322.0,Augers & Posthole Diggers
1,2021-02-24,55372.0,Augers & Posthole Diggers
2,2021-02-25,24871.0,Augers & Posthole Diggers
3,2021-02-26,47327.0,Augers & Posthole Diggers
4,2021-02-27,27349.0,Augers & Posthole Diggers
5,2021-02-28,14329.0,Augers & Posthole Diggers
6,2021-03-01,11666.0,Augers & Posthole Diggers
7,2021-03-02,8660.0,Augers & Posthole Diggers
8,2021-03-03,10196.0,Augers & Posthole Diggers
9,2021-03-04,9702.0,Augers & Posthole Diggers
10,2021-03-05,9257.0,Augers & Posthole Diggers
11,2021-03-06,6897.0,Augers & Posthole Diggers
12,2021-03-07,6143.0,Augers & Posthole Diggers
13,2021-03-08,10863.0,Augers & Posthole Diggers
14,2021-03-09,22287.0,Augers & Posthole Diggers
15,2021-03-10,36117.0,Augers & Posthole Diggers
16,2021-03-11,49789.0,Augers & Posthole Diggers
17,2021-03-12,69689.0,Augers & Posthole Diggers
18,2021-03-13,85515.0,Augers & Posthole Diggers
19,2021-03-14,108905.0,Augers & Posthole Diggers
20,2021-03-15,123638.0,Augers & Posthole Diggers
21,2021-03-16,131614.0,Augers & Posthole Diggers
22,2021-03-17,128811.0,Augers & Posthole Diggers
23,2021-03-18,147138.0,Augers & Posthole Diggers
24,2021-03-19,141258.0,Augers & Posthole Diggers
25,2021-03-20,141258.0,Augers & Posthole Diggers
26,2021-03-21,141258.0,Augers & Posthole Diggers
27,2021-03-22,174726.0,Augers & Posthole Diggers
28,2021-03-23,178276.0,Augers & Posthole Diggers
29,2021-03-24,179494.0,Augers & Posthole Diggers
30,2021-03-25,183925.0,Augers & Posthole Diggers
31,2021-03-26,187388.0,Augers & Posthole Diggers
32,2021-03-27,50148.0,Augers & Posthole Diggers
33,2021-03-28,16367.0,Augers & Posthole Diggers
34,2021-03-29,8959.0,Augers & Posthole Diggers
35,2021-03-30,5042.0,Augers & Posthole Diggers
36,2021-03-31,10481.0,Augers & Posthole Diggers
37,2021-04-01,11994.0,Augers & Posthole Diggers
38,2021-04-02,11336.0,Augers & Posthole Diggers
39,2021-04-03,9089.0,Augers & Posthole Diggers
40,2021-04-04,3804.0,Augers & Posthole Diggers
41,2021-04-05,6648.0,Augers & Posthole Diggers
42,2021-04-06,4597.0,Augers & Posthole Diggers
43,2021-04-07,6110.0,Augers & Posthole Diggers
44,2021-04-08,6497.0,Augers & Posthole Diggers
45,2021-04-09,8522.0,Augers & Posthole Diggers
46,2021-04-10,9229.0,Augers & Posthole Diggers
47,2021-04-11,12382.0,Augers & Posthole Diggers
48,2021-04-12,30614.0,Augers & Posthole Diggers
49,2021-04-13,42546.0,Augers & Posthole Diggers
50,2021-04-14,55974.0,Augers & Posthole Diggers
51,2021-04-15,68159.0,Augers & Posthole Diggers
52,2021-04-16,71736.0,Augers & Posthole Diggers
53,2021-04-17,77615.0,Augers & Posthole Diggers
54,2021-04-18,91336.0,Augers & Posthole Diggers
55,2021-04-19,107466.0,Augers & Posthole Diggers
56,2021-04-20,103437.0,Augers & Posthole Diggers
57,2021-04-21,42393.0,Augers & Posthole Diggers
58,2021-04-22,24765.0,Augers & Posthole Diggers
59,2021-04-23,18349.0,Augers & Posthole Diggers
60,2021-04-24,18349.0,Augers & Posthole Diggers
61,2021-04-25,6122.0,Augers & Posthole Diggers
62,2021-04-26,10420.0,Augers & Posthole Diggers
63,2021-04-27,6679.0,Augers & Posthole Diggers
64,2021-04-28,5046.0,Augers & Posthole Diggers
65,2021-04-29,4331.0,Augers & Posthole Diggers
66,2021-04-30,4501.0,Augers & Posthole Diggers
67,2021-05-01,7620.0,Augers & Posthole Diggers
68,2021-05-02,8123.0,Augers & Posthole Diggers
69,2021-05-03,9272.0,Augers & Posthole Diggers
70,2021-05-04,11892.0,Augers & Posthole Diggers
71,2021-05-05,14432.0,Augers & Posthole Diggers
72,2021-05-06,19397.0,Augers & Posthole Diggers
73,2021-05-07,17336.0,Augers & Posthole Diggers
74,2021-05-08,32503.0,Augers & Posthole Diggers
75,2021-05-09,16246.0,Augers & Posthole Diggers
76,2021-05-10,16368.0,Augers & Posthole Diggers
77,2021-05-11,11556.0,Augers & Posthole Diggers
78,2021-05-12,8159.0,Augers & Posthole Diggers
79,2021-05-13,7712.0,Augers & Posthole Diggers
80,2021-05-14,8098.0,Augers & Posthole Diggers
81,2021-05-15,8486.0,Augers & Posthole Diggers
82,2021-05-16,9665.0,Augers & Posthole Diggers
83,2021-05-17,6199.0,Augers & Posthole Diggers
84,2021-05-18,8045.0,Augers & Posthole Diggers
85,2021-05-19,8694.0,Augers & Posthole Diggers
86,2021-05-20,6891.0,Augers & Posthole Diggers
87,2021-05-21,8109.0,Augers & Posthole Diggers
88,2021-05-22,9174.0,Augers & Posthole Diggers
89,2021-05-23,5995.0,Augers & Posthole Diggers
90,2021-05-24,8389.0,Augers & Posthole Diggers
91,2021-05-25,8887.0,Augers & Posthole Diggers
92,2021-05-26,6220.0,Augers & Posthole Diggers
93,2021-05-27,4560.0,Augers & Posthole Diggers
94,2021-05-28,5266.0,Augers & Posthole Diggers
95,2021-05-29,4578.0,Augers & Posthole Diggers
96,2021-05-30,4497.0,Augers & Posthole Diggers
97,2021-05-31,4812.0,Augers & Posthole Diggers
98,2021-06-01,4208.0,Augers & Posthole Diggers
99,2021-06-02,5019.0,Augers & Posthole Diggers
100,2021-06-03,5155.0,Augers & Posthole Diggers
101,2021-06-04,6245.0,Augers & Posthole Diggers
102,2021-06-05,6356.0,Augers & Posthole Diggers
103,2021-06-06,6269.0,Augers & Posthole Diggers
104,2021-06-07,4889.0,Augers & Posthole Diggers
105,2021-06-08,5289.0,Augers & Posthole Diggers
106,2021-06-09,5306.0,Augers & Posthole Diggers
107,2021-06-10,4532.0,Augers & Posthole Diggers
108,2021-06-11,4881.0,Augers & Posthole Diggers
109,2021-06-12,4806.0,Augers & Posthole Diggers
110,2021-06-13,5518.0,Augers & Posthole Diggers
111,2021-06-14,4792.0,Augers & Posthole Diggers
112,2021-06-15,4733.0,Augers & Posthole Diggers
113,2021-06-16,5338.0,Augers & Posthole Diggers
114,2021-06-17,5883.0,Augers & Posthole Diggers
