,date,value,name_B08RZ4KYXZ
0,2021-03-01,140197.0,Garden Edging
1,2021-03-02,140197.0,Garden Edging
2,2021-03-03,140197.0,Garden Edging
3,2021-03-04,140197.0,Garden Edging
4,2021-03-05,74897.0,Garden Edging
5,2021-03-06,74897.0,Garden Edging
6,2021-03-07,61416.0,Garden Edging
7,2021-03-08,47728.0,Garden Edging
8,2021-03-09,47728.0,Garden Edging
9,2021-03-10,47728.0,Garden Edging
10,2021-03-11,47728.0,Garden Edging
11,2021-03-12,47728.0,Garden Edging
12,2021-03-13,77967.0,Garden Edging
13,2021-03-14,77967.0,Garden Edging
14,2021-03-15,77967.0,Garden Edging
15,2021-03-16,77967.0,Garden Edging
16,2021-03-17,77967.0,Garden Edging
17,2021-03-18,77967.0,Garden Edging
18,2021-03-19,90689.0,Garden Edging
19,2021-03-20,52182.0,Garden Edging
20,2021-03-21,52182.0,Garden Edging
21,2021-03-22,52182.0,Garden Edging
22,2021-03-23,52182.0,Garden Edging
23,2021-03-24,52182.0,Garden Edging
24,2021-03-25,52182.0,Garden Edging
25,2021-03-26,52182.0,Garden Edging
26,2021-03-27,59754.0,Garden Edging
27,2021-03-28,59754.0,Garden Edging
28,2021-03-29,59754.0,Garden Edging
29,2021-03-30,59754.0,Garden Edging
30,2021-03-31,59754.0,Garden Edging
31,2021-04-01,59754.0,Garden Edging
32,2021-04-02,52392.0,Garden Edging
33,2021-04-03,52392.0,Garden Edging
34,2021-04-04,52392.0,Garden Edging
35,2021-04-05,39361.0,Garden Edging
36,2021-04-06,39361.0,Garden Edging
37,2021-04-07,32214.0,Garden Edging
38,2021-04-08,32214.0,Garden Edging
39,2021-04-09,32214.0,Garden Edging
40,2021-04-10,57842.0,Garden Edging
41,2021-04-11,57842.0,Garden Edging
42,2021-04-12,57842.0,Garden Edging
43,2021-04-13,57842.0,Garden Edging
44,2021-04-14,39718.0,Garden Edging
45,2021-04-15,39718.0,Garden Edging
46,2021-04-16,39718.0,Garden Edging
47,2021-04-17,39718.0,Garden Edging
48,2021-04-18,20618.0,Garden Edging
49,2021-04-19,20618.0,Garden Edging
50,2021-04-20,20618.0,Garden Edging
51,2021-04-21,20618.0,Garden Edging
52,2021-04-22,20618.0,Garden Edging
53,2021-04-23,26700.0,Garden Edging
54,2021-04-24,31865.0,Garden Edging
55,2021-04-25,31865.0,Garden Edging
56,2021-04-26,31865.0,Garden Edging
57,2021-04-27,18344.0,Garden Edging
58,2021-04-28,18344.0,Garden Edging
59,2021-04-29,38821.0,Garden Edging
60,2021-04-30,38821.0,Garden Edging
61,2021-05-01,60951.0,Garden Edging
62,2021-05-02,60951.0,Garden Edging
63,2021-05-03,60951.0,Garden Edging
64,2021-05-04,60951.0,Garden Edging
65,2021-05-05,42571.0,Garden Edging
66,2021-05-06,42571.0,Garden Edging
67,2021-05-07,38866.0,Garden Edging
68,2021-05-08,38866.0,Garden Edging
69,2021-05-09,42094.0,Garden Edging
70,2021-05-10,42094.0,Garden Edging
71,2021-05-11,42094.0,Garden Edging
72,2021-05-12,42094.0,Garden Edging
73,2021-05-13,42094.0,Garden Edging
74,2021-05-14,34083.0,Garden Edging
75,2021-05-15,28982.0,Garden Edging
76,2021-05-16,36702.0,Garden Edging
77,2021-05-17,36702.0,Garden Edging
78,2021-05-18,34897.0,Garden Edging
79,2021-05-19,34897.0,Garden Edging
80,2021-05-20,34437.0,Garden Edging
81,2021-05-21,34437.0,Garden Edging
82,2021-05-22,34437.0,Garden Edging
83,2021-05-23,21742.0,Garden Edging
84,2021-05-24,21742.0,Garden Edging
85,2021-05-25,21742.0,Garden Edging
86,2021-05-26,28177.0,Garden Edging
87,2021-05-27,28177.0,Garden Edging
88,2021-05-28,28177.0,Garden Edging
89,2021-05-29,28177.0,Garden Edging
90,2021-05-30,28727.0,Garden Edging
91,2021-05-31,28727.0,Garden Edging
92,2021-06-01,28727.0,Garden Edging
93,2021-06-02,28727.0,Garden Edging
94,2021-06-03,20854.0,Garden Edging
95,2021-06-04,20854.0,Garden Edging
96,2021-06-05,20854.0,Garden Edging
97,2021-06-06,28397.0,Garden Edging
98,2021-06-07,28397.0,Garden Edging
99,2021-06-08,28397.0,Garden Edging
100,2021-06-09,16266.0,Garden Edging
101,2021-06-10,16266.0,Garden Edging
102,2021-06-11,19172.0,Garden Edging
103,2021-06-12,19172.0,Garden Edging
104,2021-06-13,19172.0,Garden Edging
105,2021-06-14,19172.0,Garden Edging
106,2021-06-15,17792.0,Garden Edging
107,2021-06-16,17792.0,Garden Edging
108,2021-06-17,17792.0,Garden Edging
109,2021-06-18,17792.0,Garden Edging
110,2021-06-19,16833.0,Garden Edging
111,2021-06-20,19871.0,Garden Edging
112,2021-06-21,19871.0,Garden Edging
113,2021-06-22,19871.0,Garden Edging
114,2021-06-23,31107.0,Garden Edging
115,2021-06-24,31107.0,Garden Edging
116,2021-06-25,31107.0,Garden Edging
117,2021-06-26,24448.0,Garden Edging
118,2021-06-27,24448.0,Garden Edging
119,2021-06-28,34104.0,Garden Edging
120,2021-06-29,34104.0,Garden Edging
121,2021-06-30,34104.0,Garden Edging
122,2021-07-01,29190.0,Garden Edging
123,2021-07-02,29190.0,Garden Edging
124,2021-07-03,29190.0,Garden Edging
125,2021-07-04,29190.0,Garden Edging
126,2021-07-05,29190.0,Garden Edging
127,2021-07-06,50224.0,Garden Edging
128,2021-07-07,50224.0,Garden Edging
129,2021-07-08,50224.0,Garden Edging
130,2021-07-09,24317.0,Garden Edging
