,date,value,name_B08S2WZJ2M
0,2021-04-30,23144,Pumps
1,2021-05-01,12300,Pumps
2,2021-05-02,10800,Pumps
3,2021-05-03,12096,Pumps
4,2021-05-04,11958,Pumps
5,2021-05-05,11561,Pumps
6,2021-05-06,10800,Pumps
7,2021-05-07,9320,Pumps
8,2021-05-08,9998,Pumps
9,2021-05-09,7518,Pumps
10,2021-05-10,8568,Pumps
11,2021-05-11,8428,Pumps
12,2021-05-12,6720,Pumps
13,2021-05-13,6594,Pumps
14,2021-05-14,8019,Pumps
15,2021-05-15,6936,Pumps
16,2021-05-16,11652,Pumps
17,2021-05-17,24527,Pumps
18,2021-05-18,25885,Pumps
19,2021-05-19,29469,Pumps
20,2021-05-20,26519,Pumps
21,2021-05-21,30588,Pumps
22,2021-05-22,14791,Pumps
23,2021-05-23,10668,Pumps
24,2021-05-24,13004,Pumps
25,2021-05-25,9894,Pumps
26,2021-05-26,6942,Pumps
27,2021-05-27,4531,Pumps
28,2021-05-28,4893,Pumps
29,2021-05-29,3915,Pumps
30,2021-05-30,3635,Pumps
31,2021-05-31,4135,Pumps
32,2021-06-01,3487,Pumps
33,2021-06-02,3915,Pumps
34,2021-06-03,4269,Pumps
35,2021-06-04,5643,Pumps
36,2021-06-05,5842,Pumps
37,2021-06-06,6906,Pumps
38,2021-06-07,10262,Pumps
39,2021-06-08,11299,Pumps
40,2021-06-09,12967,Pumps
41,2021-06-10,7434,Pumps
42,2021-06-11,7290,Pumps
43,2021-06-12,7232,Pumps
44,2021-06-13,7408,Pumps
45,2021-06-14,6718,Pumps
46,2021-06-15,6628,Pumps
47,2021-06-16,7236,Pumps
48,2021-06-17,6558,Pumps
49,2021-06-18,4557,Pumps
50,2021-06-19,3832,Pumps
51,2021-06-20,2874,Pumps
52,2021-06-21,3014,Pumps
53,2021-06-22,2145,Pumps
54,2021-06-23,2230,Pumps
55,2021-06-24,2565,Pumps
56,2021-06-25,2535,Pumps
57,2021-06-26,2266,Pumps
58,2021-06-27,2299,Pumps
59,2021-06-28,2684,Pumps
60,2021-06-29,3045,Pumps
61,2021-06-30,2889,Pumps
62,2021-07-01,3425,Pumps
63,2021-07-02,3585,Pumps
64,2021-07-03,4195,Pumps
65,2021-07-04,5282,Pumps
66,2021-07-05,4127,Pumps
67,2021-07-06,6159,Pumps
68,2021-07-07,6447,Pumps
69,2021-07-08,7210,Pumps
70,2021-07-09,7040,Pumps
71,2021-07-10,8706,Pumps
72,2021-07-11,7342,Pumps
