,date,value,name_B08SLQTLH3
0,2021-03-24,155208,Garden Hoses
1,2021-03-25,34675,Garden Hoses
2,2021-03-26,42789,Garden Hoses
3,2021-03-27,28374,Garden Hoses
4,2021-03-28,45635,Garden Hoses
5,2021-03-29,64770,Garden Hoses
6,2021-03-30,54466,Garden Hoses
7,2021-03-31,54214,Garden Hoses
8,2021-04-01,83988,Garden Hoses
9,2021-04-02,101964,Garden Hoses
10,2021-04-03,54733,Garden Hoses
11,2021-04-04,78212,Garden Hoses
12,2021-04-05,86638,Garden Hoses
13,2021-04-06,53755,Garden Hoses
14,2021-04-07,51929,Garden Hoses
15,2021-04-08,75003,Garden Hoses
16,2021-04-09,22851,Garden Hoses
17,2021-04-10,16783,Garden Hoses
18,2021-04-11,18902,Garden Hoses
19,2021-04-12,20775,Garden Hoses
20,2021-04-13,26503,Garden Hoses
21,2021-04-14,19294,Garden Hoses
22,2021-04-15,18952,Garden Hoses
23,2021-04-16,12206,Garden Hoses
24,2021-04-17,15362,Garden Hoses
25,2021-04-18,12564,Garden Hoses
26,2021-04-19,16471,Garden Hoses
27,2021-04-20,14136,Garden Hoses
28,2021-04-21,11049,Garden Hoses
29,2021-04-22,10154,Garden Hoses
30,2021-04-23,12645,Garden Hoses
31,2021-04-24,10334,Garden Hoses
32,2021-04-25,16095,Garden Hoses
33,2021-04-26,16206,Garden Hoses
34,2021-04-27,19660,Garden Hoses
35,2021-04-28,18565,Garden Hoses
36,2021-04-29,10594,Garden Hoses
37,2021-04-30,8840,Garden Hoses
38,2021-05-01,13579,Garden Hoses
39,2021-05-02,10170,Garden Hoses
40,2021-05-03,14117,Garden Hoses
41,2021-05-04,14355,Garden Hoses
42,2021-05-05,13729,Garden Hoses
43,2021-05-06,10759,Garden Hoses
44,2021-05-07,13687,Garden Hoses
45,2021-05-08,11143,Garden Hoses
46,2021-05-09,10296,Garden Hoses
47,2021-05-10,9782,Garden Hoses
48,2021-05-11,10767,Garden Hoses
49,2021-05-12,8414,Garden Hoses
50,2021-05-13,10438,Garden Hoses
51,2021-05-14,9054,Garden Hoses
52,2021-05-15,11965,Garden Hoses
53,2021-05-16,15612,Garden Hoses
54,2021-05-17,16229,Garden Hoses
55,2021-05-18,10583,Garden Hoses
56,2021-05-19,16199,Garden Hoses
57,2021-05-20,10341,Garden Hoses
58,2021-05-21,7442,Garden Hoses
59,2021-05-22,7987,Garden Hoses
60,2021-05-23,11331,Garden Hoses
61,2021-05-24,12070,Garden Hoses
62,2021-05-25,10251,Garden Hoses
63,2021-05-26,12087,Garden Hoses
64,2021-05-27,11575,Garden Hoses
65,2021-05-28,8991,Garden Hoses
66,2021-05-29,-1,Garden Hoses
67,2021-05-30,13349,Garden Hoses
68,2021-05-31,18493,Garden Hoses
69,2021-06-01,21137,Garden Hoses
70,2021-06-02,25960,Garden Hoses
71,2021-06-03,14257,Garden Hoses
72,2021-06-04,16148,Garden Hoses
73,2021-06-05,22755,Garden Hoses
74,2021-06-06,11549,Garden Hoses
75,2021-06-07,12049,Garden Hoses
76,2021-06-08,10519,Garden Hoses
77,2021-06-09,16598,Garden Hoses
78,2021-06-10,7566,Garden Hoses
79,2021-06-11,6341,Garden Hoses
80,2021-06-12,8595,Garden Hoses
81,2021-06-13,7706,Garden Hoses
82,2021-06-14,9408,Garden Hoses
83,2021-06-15,11259,Garden Hoses
84,2021-06-16,11920,Garden Hoses
85,2021-06-17,13144,Garden Hoses
86,2021-06-18,12397,Garden Hoses
87,2021-06-19,13900,Garden Hoses
88,2021-06-20,18593,Garden Hoses
89,2021-06-21,20590,Garden Hoses
90,2021-06-22,5290,Garden Hoses
91,2021-06-23,3455,Garden Hoses
92,2021-06-24,6994,Garden Hoses
93,2021-06-25,9661,Garden Hoses
94,2021-06-26,9541,Garden Hoses
95,2021-06-27,8440,Garden Hoses
96,2021-06-28,13893,Garden Hoses
97,2021-06-29,16341,Garden Hoses
98,2021-06-30,12677,Garden Hoses
99,2021-07-01,14158,Garden Hoses
100,2021-07-02,7828,Garden Hoses
101,2021-07-03,8170,Garden Hoses
102,2021-07-04,7218,Garden Hoses
103,2021-07-05,6555,Garden Hoses
104,2021-07-06,5462,Garden Hoses
105,2021-07-07,7669,Garden Hoses
106,2021-07-08,10829,Garden Hoses
107,2021-07-09,9988,Garden Hoses
108,2021-07-10,11792,Garden Hoses
109,2021-07-11,11408,Garden Hoses
