,date,value,name_B08T8T83MT
0,2021-01-21,15409.0,Garden Netting
1,2021-01-22,15409.0,Garden Netting
2,2021-01-23,10701.0,Garden Netting
3,2021-01-24,10701.0,Garden Netting
4,2021-01-25,17379.0,Garden Netting
5,2021-01-26,16416.0,Garden Netting
6,2021-01-27,16416.0,Garden Netting
7,2021-01-28,16416.0,Garden Netting
8,2021-01-29,9973.0,Garden Netting
9,2021-01-30,9973.0,Garden Netting
10,2021-01-31,9973.0,Garden Netting
11,2021-02-01,16040.0,Garden Netting
12,2021-02-02,14627.0,Garden Netting
13,2021-02-03,19679.0,Garden Netting
14,2021-02-04,20592.0,Garden Netting
15,2021-02-05,13204.0,Garden Netting
16,2021-02-06,13204.0,Garden Netting
17,2021-02-07,13204.0,Garden Netting
18,2021-02-08,10652.0,Garden Netting
19,2021-02-09,10652.0,Garden Netting
20,2021-02-10,10652.0,Garden Netting
21,2021-02-11,8165.0,Garden Netting
22,2021-02-12,8165.0,Garden Netting
23,2021-02-13,8165.0,Garden Netting
24,2021-02-14,7803.0,Garden Netting
25,2021-02-15,7803.0,Garden Netting
26,2021-02-16,7586.0,Garden Netting
27,2021-02-17,10164.0,Garden Netting
28,2021-02-18,12359.0,Garden Netting
29,2021-02-19,12359.0,Garden Netting
30,2021-02-20,12359.0,Garden Netting
31,2021-02-21,12359.0,Garden Netting
32,2021-02-22,12359.0,Garden Netting
33,2021-02-23,12359.0,Garden Netting
34,2021-02-24,3612.0,Garden Netting
35,2021-02-25,3612.0,Garden Netting
36,2021-02-26,2756.0,Garden Netting
37,2021-02-27,2756.0,Garden Netting
38,2021-02-28,2664.0,Garden Netting
39,2021-03-01,2664.0,Garden Netting
40,2021-03-02,3756.0,Garden Netting
41,2021-03-03,3756.0,Garden Netting
42,2021-03-04,3049.0,Garden Netting
43,2021-03-05,3049.0,Garden Netting
44,2021-03-06,3375.0,Garden Netting
45,2021-03-07,4005.0,Garden Netting
46,2021-03-08,4005.0,Garden Netting
47,2021-03-09,3342.0,Garden Netting
48,2021-03-10,3342.0,Garden Netting
49,2021-03-11,3185.0,Garden Netting
50,2021-03-12,3185.0,Garden Netting
51,2021-03-13,3811.0,Garden Netting
52,2021-03-14,3811.0,Garden Netting
53,2021-03-15,3681.0,Garden Netting
54,2021-03-16,3681.0,Garden Netting
55,2021-03-17,3681.0,Garden Netting
56,2021-03-18,3681.0,Garden Netting
57,2021-03-19,3912.0,Garden Netting
58,2021-03-20,3912.0,Garden Netting
59,2021-03-21,2547.0,Garden Netting
60,2021-03-22,2783.0,Garden Netting
61,2021-03-23,3030.0,Garden Netting
62,2021-03-24,3030.0,Garden Netting
63,2021-03-25,3962.0,Garden Netting
64,2021-03-26,3962.0,Garden Netting
65,2021-03-27,3962.0,Garden Netting
66,2021-03-28,2583.0,Garden Netting
67,2021-03-29,2583.0,Garden Netting
68,2021-03-30,3106.0,Garden Netting
69,2021-03-31,3653.0,Garden Netting
70,2021-04-01,3339.0,Garden Netting
71,2021-04-02,3339.0,Garden Netting
72,2021-04-03,3339.0,Garden Netting
73,2021-04-04,2810.0,Garden Netting
74,2021-04-05,2810.0,Garden Netting
75,2021-04-06,3239.0,Garden Netting
76,2021-04-07,3513.0,Garden Netting
77,2021-04-08,3513.0,Garden Netting
78,2021-04-09,3555.0,Garden Netting
79,2021-04-10,3555.0,Garden Netting
80,2021-04-11,2982.0,Garden Netting
81,2021-04-12,2628.0,Garden Netting
82,2021-04-13,2781.0,Garden Netting
83,2021-04-14,2750.0,Garden Netting
84,2021-04-15,2358.0,Garden Netting
85,2021-04-16,2543.0,Garden Netting
86,2021-04-17,2543.0,Garden Netting
87,2021-04-18,1877.0,Garden Netting
88,2021-04-19,2317.0,Garden Netting
89,2021-04-20,2015.0,Garden Netting
90,2021-04-21,2015.0,Garden Netting
91,2021-04-22,1997.0,Garden Netting
92,2021-04-23,1997.0,Garden Netting
93,2021-04-24,1997.0,Garden Netting
94,2021-04-25,2290.0,Garden Netting
95,2021-04-26,2290.0,Garden Netting
96,2021-04-27,2290.0,Garden Netting
97,2021-04-28,2117.0,Garden Netting
98,2021-04-29,2117.0,Garden Netting
99,2021-04-30,2293.0,Garden Netting
100,2021-05-01,2293.0,Garden Netting
101,2021-05-02,2293.0,Garden Netting
102,2021-05-03,2373.0,Garden Netting
103,2021-05-04,2049.0,Garden Netting
104,2021-05-05,2049.0,Garden Netting
105,2021-05-06,2049.0,Garden Netting
106,2021-05-07,2173.0,Garden Netting
107,2021-05-08,1829.0,Garden Netting
108,2021-05-09,2834.0,Garden Netting
109,2021-05-10,3272.0,Garden Netting
110,2021-05-11,2526.0,Garden Netting
111,2021-05-12,2526.0,Garden Netting
112,2021-05-13,2650.0,Garden Netting
113,2021-05-14,2139.0,Garden Netting
114,2021-05-15,2701.0,Garden Netting
115,2021-05-16,2701.0,Garden Netting
116,2021-05-17,1732.0,Garden Netting
117,2021-05-18,1732.0,Garden Netting
118,2021-05-19,1712.0,Garden Netting
119,2021-05-20,1769.0,Garden Netting
120,2021-05-21,2521.0,Garden Netting
121,2021-05-22,2521.0,Garden Netting
122,2021-05-23,2845.0,Garden Netting
123,2021-05-24,3283.0,Garden Netting
124,2021-05-25,2651.0,Garden Netting
125,2021-05-26,4873.0,Garden Netting
126,2021-05-27,4873.0,Garden Netting
127,2021-05-28,4183.0,Garden Netting
128,2021-05-29,3068.0,Garden Netting
129,2021-05-30,3068.0,Garden Netting
130,2021-05-31,4667.0,Garden Netting
131,2021-06-01,4667.0,Garden Netting
132,2021-06-02,4667.0,Garden Netting
133,2021-06-03,4358.0,Garden Netting
134,2021-06-04,5009.0,Garden Netting
135,2021-06-05,5009.0,Garden Netting
136,2021-06-06,4467.0,Garden Netting
137,2021-06-07,3697.0,Garden Netting
138,2021-06-08,4368.0,Garden Netting
139,2021-06-09,4810.0,Garden Netting
140,2021-06-10,5013.0,Garden Netting
141,2021-06-11,5013.0,Garden Netting
142,2021-06-12,4258.0,Garden Netting
143,2021-06-13,4258.0,Garden Netting
144,2021-06-14,4258.0,Garden Netting
145,2021-06-15,5696.0,Garden Netting
146,2021-06-16,5696.0,Garden Netting
147,2021-06-17,8019.0,Garden Netting
148,2021-06-18,8019.0,Garden Netting
149,2021-06-19,7695.0,Garden Netting
150,2021-06-20,9040.0,Garden Netting
151,2021-06-21,9480.0,Garden Netting
152,2021-06-22,6746.0,Garden Netting
153,2021-06-23,6746.0,Garden Netting
154,2021-06-24,6871.0,Garden Netting
155,2021-06-25,7449.0,Garden Netting
156,2021-06-26,7449.0,Garden Netting
157,2021-06-27,7449.0,Garden Netting
158,2021-06-28,7449.0,Garden Netting
159,2021-06-29,8234.0,Garden Netting
160,2021-06-30,8234.0,Garden Netting
161,2021-07-01,8234.0,Garden Netting
162,2021-07-02,6494.0,Garden Netting
163,2021-07-03,6494.0,Garden Netting
164,2021-07-04,7926.0,Garden Netting
165,2021-07-05,7926.0,Garden Netting
166,2021-07-06,6555.0,Garden Netting
167,2021-07-07,6555.0,Garden Netting
168,2021-07-08,6555.0,Garden Netting
169,2021-07-09,12330.0,Garden Netting
170,2021-07-10,12762.0,Garden Netting
