,date,value,name_B08T9BN27S
0,2021-02-09,5023.0,Balloons
1,2021-02-10,5023.0,Balloons
2,2021-02-11,5023.0,Balloons
3,2021-02-12,4066.0,Balloons
4,2021-02-13,4066.0,Balloons
5,2021-02-14,4066.0,Balloons
6,2021-02-15,4547.0,Balloons
7,2021-02-16,4547.0,Balloons
8,2021-02-17,4319.0,Balloons
9,2021-02-18,4319.0,Balloons
10,2021-02-19,4319.0,Balloons
11,2021-02-20,4053.0,Balloons
12,2021-02-21,3380.0,Balloons
13,2021-02-22,3380.0,Balloons
14,2021-02-23,3171.0,Balloons
15,2021-02-24,3610.0,Balloons
16,2021-02-25,3113.0,Balloons
17,2021-02-26,3113.0,Balloons
18,2021-02-27,3450.0,Balloons
19,2021-02-28,3450.0,Balloons
20,2021-03-01,3883.0,Balloons
21,2021-03-02,3883.0,Balloons
22,2021-03-03,2555.0,Balloons
23,2021-03-04,2510.0,Balloons
24,2021-03-05,2320.0,Balloons
25,2021-03-06,2320.0,Balloons
26,2021-03-07,3174.0,Balloons
27,2021-03-08,2925.0,Balloons
28,2021-03-09,2513.0,Balloons
29,2021-03-10,2635.0,Balloons
30,2021-03-11,2635.0,Balloons
31,2021-03-12,2489.0,Balloons
32,2021-03-13,3687.0,Balloons
33,2021-03-14,4264.0,Balloons
34,2021-03-15,4074.0,Balloons
35,2021-03-16,4074.0,Balloons
36,2021-03-17,2511.0,Balloons
37,2021-03-18,4070.0,Balloons
38,2021-03-19,4070.0,Balloons
39,2021-03-20,4574.0,Balloons
40,2021-03-21,4574.0,Balloons
41,2021-03-22,6291.0,Balloons
42,2021-03-23,5372.0,Balloons
43,2021-03-24,5372.0,Balloons
44,2021-03-25,5372.0,Balloons
45,2021-03-26,9683.0,Balloons
46,2021-03-27,9683.0,Balloons
47,2021-03-28,9683.0,Balloons
48,2021-03-29,9569.0,Balloons
49,2021-03-30,9569.0,Balloons
50,2021-03-31,5605.0,Balloons
51,2021-04-01,5605.0,Balloons
52,2021-04-02,6925.0,Balloons
53,2021-04-03,6925.0,Balloons
54,2021-04-04,6925.0,Balloons
55,2021-04-05,6925.0,Balloons
56,2021-04-06,12766.0,Balloons
57,2021-04-07,12766.0,Balloons
58,2021-04-08,5397.0,Balloons
59,2021-04-09,5397.0,Balloons
60,2021-04-10,5397.0,Balloons
61,2021-04-11,4938.0,Balloons
62,2021-04-12,3694.0,Balloons
63,2021-04-13,3694.0,Balloons
64,2021-04-14,3659.0,Balloons
65,2021-04-15,3455.0,Balloons
66,2021-04-16,3528.0,Balloons
67,2021-04-17,3255.0,Balloons
68,2021-04-18,3255.0,Balloons
69,2021-04-19,3997.0,Balloons
70,2021-04-20,3997.0,Balloons
71,2021-04-21,6024.0,Balloons
72,2021-04-22,6024.0,Balloons
73,2021-04-23,4475.0,Balloons
74,2021-04-24,4475.0,Balloons
75,2021-04-25,4475.0,Balloons
76,2021-04-26,4713.0,Balloons
77,2021-04-27,4713.0,Balloons
78,2021-04-28,2626.0,Balloons
79,2021-04-29,2626.0,Balloons
80,2021-04-30,2626.0,Balloons
81,2021-05-01,3188.0,Balloons
82,2021-05-02,4411.0,Balloons
83,2021-05-03,4411.0,Balloons
84,2021-05-04,2193.0,Balloons
85,2021-05-05,1628.0,Balloons
86,2021-05-06,1917.0,Balloons
87,2021-05-07,1917.0,Balloons
88,2021-05-08,1648.0,Balloons
89,2021-05-09,1648.0,Balloons
90,2021-05-10,2527.0,Balloons
91,2021-05-11,2313.0,Balloons
92,2021-05-12,1907.0,Balloons
93,2021-05-13,1907.0,Balloons
94,2021-05-14,2250.0,Balloons
95,2021-05-15,2250.0,Balloons
96,2021-05-16,2250.0,Balloons
97,2021-05-17,2711.0,Balloons
98,2021-05-18,2372.0,Balloons
99,2021-05-19,2056.0,Balloons
100,2021-05-20,2676.0,Balloons
101,2021-05-21,3140.0,Balloons
102,2021-05-22,2868.0,Balloons
103,2021-05-23,3266.0,Balloons
104,2021-05-24,3357.0,Balloons
105,2021-05-25,3357.0,Balloons
106,2021-05-26,2369.0,Balloons
107,2021-05-27,2369.0,Balloons
108,2021-05-28,2423.0,Balloons
109,2021-05-29,2423.0,Balloons
110,2021-05-30,2400.0,Balloons
111,2021-05-31,1998.0,Balloons
112,2021-06-01,1998.0,Balloons
113,2021-06-02,2682.0,Balloons
114,2021-06-03,2454.0,Balloons
115,2021-06-04,2233.0,Balloons
116,2021-06-05,2233.0,Balloons
117,2021-06-06,3005.0,Balloons
118,2021-06-07,3181.0,Balloons
119,2021-06-08,2183.0,Balloons
120,2021-06-09,1471.0,Balloons
121,2021-06-10,1414.0,Balloons
122,2021-06-11,1987.0,Balloons
123,2021-06-12,3193.0,Balloons
124,2021-06-13,3711.0,Balloons
125,2021-06-14,3323.0,Balloons
126,2021-06-15,3412.0,Balloons
127,2021-06-16,2742.0,Balloons
128,2021-06-17,2742.0,Balloons
129,2021-06-18,4336.0,Balloons
130,2021-06-19,6043.0,Balloons
131,2021-06-20,6043.0,Balloons
132,2021-06-21,7138.0,Balloons
133,2021-06-22,9580.0,Balloons
134,2021-06-23,12729.0,Balloons
135,2021-06-24,12729.0,Balloons
136,2021-06-25,13236.0,Balloons
137,2021-06-26,13538.0,Balloons
138,2021-06-27,13538.0,Balloons
139,2021-06-28,8644.0,Balloons
140,2021-06-29,8644.0,Balloons
141,2021-06-30,6430.0,Balloons
142,2021-07-01,5831.0,Balloons
143,2021-07-02,4243.0,Balloons
144,2021-07-03,3555.0,Balloons
145,2021-07-04,3555.0,Balloons
146,2021-07-05,7752.0,Balloons
147,2021-07-06,8464.0,Balloons
148,2021-07-07,8464.0,Balloons
149,2021-07-08,8464.0,Balloons
150,2021-07-09,4580.0,Balloons
151,2021-07-10,3874.0,Balloons
