,date,value,name_B08T9K17J8
0,2021-02-21,43971.0,Play Tents & Tunnels
1,2021-02-22,43971.0,Play Tents & Tunnels
2,2021-02-23,43971.0,Play Tents & Tunnels
3,2021-02-24,43971.0,Play Tents & Tunnels
4,2021-02-25,43971.0,Play Tents & Tunnels
5,2021-02-26,19955.0,Play Tents & Tunnels
6,2021-02-27,19955.0,Play Tents & Tunnels
7,2021-02-28,19955.0,Play Tents & Tunnels
8,2021-03-01,22114.0,Play Tents & Tunnels
9,2021-03-02,22114.0,Play Tents & Tunnels
10,2021-03-03,21995.0,Play Tents & Tunnels
11,2021-03-04,22653.0,Play Tents & Tunnels
12,2021-03-05,20114.0,Play Tents & Tunnels
13,2021-03-06,20114.0,Play Tents & Tunnels
14,2021-03-07,20114.0,Play Tents & Tunnels
15,2021-03-08,14374.0,Play Tents & Tunnels
16,2021-03-09,14374.0,Play Tents & Tunnels
17,2021-03-10,14718.0,Play Tents & Tunnels
18,2021-03-11,14718.0,Play Tents & Tunnels
19,2021-03-12,14718.0,Play Tents & Tunnels
20,2021-03-13,14718.0,Play Tents & Tunnels
21,2021-03-14,14718.0,Play Tents & Tunnels
22,2021-03-15,4959.0,Play Tents & Tunnels
23,2021-03-16,4959.0,Play Tents & Tunnels
24,2021-03-17,4447.0,Play Tents & Tunnels
25,2021-03-18,3688.0,Play Tents & Tunnels
26,2021-03-19,3533.0,Play Tents & Tunnels
27,2021-03-20,3533.0,Play Tents & Tunnels
28,2021-03-21,3186.0,Play Tents & Tunnels
29,2021-03-22,3186.0,Play Tents & Tunnels
30,2021-03-23,3186.0,Play Tents & Tunnels
31,2021-03-24,4535.0,Play Tents & Tunnels
32,2021-03-25,4535.0,Play Tents & Tunnels
33,2021-03-26,4535.0,Play Tents & Tunnels
34,2021-03-27,4535.0,Play Tents & Tunnels
35,2021-03-28,4535.0,Play Tents & Tunnels
36,2021-03-29,8536.0,Play Tents & Tunnels
37,2021-03-30,8536.0,Play Tents & Tunnels
38,2021-03-31,7998.0,Play Tents & Tunnels
39,2021-04-01,7998.0,Play Tents & Tunnels
40,2021-04-02,5768.0,Play Tents & Tunnels
41,2021-04-03,5768.0,Play Tents & Tunnels
42,2021-04-04,5768.0,Play Tents & Tunnels
43,2021-04-05,6460.0,Play Tents & Tunnels
44,2021-04-06,7122.0,Play Tents & Tunnels
45,2021-04-07,9857.0,Play Tents & Tunnels
46,2021-04-08,9857.0,Play Tents & Tunnels
47,2021-04-09,9544.0,Play Tents & Tunnels
48,2021-04-10,9544.0,Play Tents & Tunnels
49,2021-04-11,9544.0,Play Tents & Tunnels
50,2021-04-12,17916.0,Play Tents & Tunnels
51,2021-04-13,17916.0,Play Tents & Tunnels
52,2021-04-14,19300.0,Play Tents & Tunnels
53,2021-04-15,19885.0,Play Tents & Tunnels
54,2021-04-16,17424.0,Play Tents & Tunnels
55,2021-04-17,17424.0,Play Tents & Tunnels
56,2021-04-18,16395.0,Play Tents & Tunnels
57,2021-04-19,16395.0,Play Tents & Tunnels
58,2021-04-20,14381.0,Play Tents & Tunnels
59,2021-04-21,10707.0,Play Tents & Tunnels
60,2021-04-22,10707.0,Play Tents & Tunnels
61,2021-04-23,10063.0,Play Tents & Tunnels
62,2021-04-24,10063.0,Play Tents & Tunnels
63,2021-04-25,10063.0,Play Tents & Tunnels
64,2021-04-26,5786.0,Play Tents & Tunnels
65,2021-04-27,4094.0,Play Tents & Tunnels
66,2021-04-28,4497.0,Play Tents & Tunnels
67,2021-04-29,4423.0,Play Tents & Tunnels
68,2021-04-30,4685.0,Play Tents & Tunnels
69,2021-05-01,4153.0,Play Tents & Tunnels
70,2021-05-02,5025.0,Play Tents & Tunnels
71,2021-05-03,5025.0,Play Tents & Tunnels
72,2021-05-04,3918.0,Play Tents & Tunnels
73,2021-05-05,2663.0,Play Tents & Tunnels
74,2021-05-06,2663.0,Play Tents & Tunnels
75,2021-05-07,1836.0,Play Tents & Tunnels
76,2021-05-08,1836.0,Play Tents & Tunnels
77,2021-05-09,1892.0,Play Tents & Tunnels
78,2021-05-10,1892.0,Play Tents & Tunnels
79,2021-05-11,2453.0,Play Tents & Tunnels
80,2021-05-12,3545.0,Play Tents & Tunnels
81,2021-05-13,2793.0,Play Tents & Tunnels
82,2021-05-14,3337.0,Play Tents & Tunnels
83,2021-05-15,3337.0,Play Tents & Tunnels
84,2021-05-16,3125.0,Play Tents & Tunnels
85,2021-05-17,3246.0,Play Tents & Tunnels
86,2021-05-18,2894.0,Play Tents & Tunnels
87,2021-05-19,2894.0,Play Tents & Tunnels
88,2021-05-20,2886.0,Play Tents & Tunnels
89,2021-05-21,2886.0,Play Tents & Tunnels
90,2021-05-22,2886.0,Play Tents & Tunnels
91,2021-05-23,3829.0,Play Tents & Tunnels
92,2021-05-24,4027.0,Play Tents & Tunnels
93,2021-05-25,4027.0,Play Tents & Tunnels
94,2021-05-26,4079.0,Play Tents & Tunnels
95,2021-05-27,3799.0,Play Tents & Tunnels
96,2021-05-28,3799.0,Play Tents & Tunnels
97,2021-05-29,3455.0,Play Tents & Tunnels
98,2021-05-30,3455.0,Play Tents & Tunnels
99,2021-05-31,4661.0,Play Tents & Tunnels
100,2021-06-01,4699.0,Play Tents & Tunnels
101,2021-06-02,4699.0,Play Tents & Tunnels
102,2021-06-03,5015.0,Play Tents & Tunnels
103,2021-06-04,5015.0,Play Tents & Tunnels
104,2021-06-05,6622.0,Play Tents & Tunnels
105,2021-06-06,6622.0,Play Tents & Tunnels
106,2021-06-07,5303.0,Play Tents & Tunnels
107,2021-06-08,3008.0,Play Tents & Tunnels
108,2021-06-09,2413.0,Play Tents & Tunnels
109,2021-06-10,2413.0,Play Tents & Tunnels
110,2021-06-11,2413.0,Play Tents & Tunnels
111,2021-06-12,1756.0,Play Tents & Tunnels
112,2021-06-13,1756.0,Play Tents & Tunnels
113,2021-06-14,2709.0,Play Tents & Tunnels
114,2021-06-15,3436.0,Play Tents & Tunnels
