,date,value,name_B08TWXTLJQ
0,2021-04-02,72627.0,Toy Bags & Nets
1,2021-04-03,72627.0,Toy Bags & Nets
2,2021-04-04,72627.0,Toy Bags & Nets
3,2021-04-05,56866.0,Toy Bags & Nets
4,2021-04-06,56866.0,Toy Bags & Nets
5,2021-04-07,42329.0,Toy Bags & Nets
6,2021-04-08,42329.0,Toy Bags & Nets
7,2021-04-09,42329.0,Toy Bags & Nets
8,2021-04-10,31692.0,Toy Bags & Nets
9,2021-04-11,31692.0,Toy Bags & Nets
10,2021-04-12,34597.0,Toy Bags & Nets
11,2021-04-13,34597.0,Toy Bags & Nets
12,2021-04-14,34597.0,Toy Bags & Nets
13,2021-04-15,41454.0,Toy Bags & Nets
14,2021-04-16,41454.0,Toy Bags & Nets
15,2021-04-17,48394.0,Toy Bags & Nets
16,2021-04-18,48394.0,Toy Bags & Nets
17,2021-04-19,48394.0,Toy Bags & Nets
18,2021-04-20,59389.0,Toy Bags & Nets
19,2021-04-21,67660.0,Toy Bags & Nets
20,2021-04-22,67660.0,Toy Bags & Nets
21,2021-04-23,67660.0,Toy Bags & Nets
22,2021-04-24,67660.0,Toy Bags & Nets
23,2021-04-25,67660.0,Toy Bags & Nets
24,2021-04-26,62669.0,Toy Bags & Nets
25,2021-04-27,62669.0,Toy Bags & Nets
26,2021-04-28,62669.0,Toy Bags & Nets
27,2021-04-29,63340.0,Toy Bags & Nets
28,2021-04-30,63340.0,Toy Bags & Nets
29,2021-05-01,39786.0,Toy Bags & Nets
30,2021-05-02,39786.0,Toy Bags & Nets
31,2021-05-03,39786.0,Toy Bags & Nets
32,2021-05-04,38942.0,Toy Bags & Nets
33,2021-05-05,38942.0,Toy Bags & Nets
34,2021-05-06,38942.0,Toy Bags & Nets
35,2021-05-07,54946.0,Toy Bags & Nets
36,2021-05-08,32255.0,Toy Bags & Nets
37,2021-05-09,35915.0,Toy Bags & Nets
38,2021-05-10,35915.0,Toy Bags & Nets
39,2021-05-11,21053.0,Toy Bags & Nets
40,2021-05-12,21053.0,Toy Bags & Nets
41,2021-05-13,29960.0,Toy Bags & Nets
42,2021-05-14,24294.0,Toy Bags & Nets
43,2021-05-15,24294.0,Toy Bags & Nets
44,2021-05-16,24294.0,Toy Bags & Nets
45,2021-05-17,24294.0,Toy Bags & Nets
46,2021-05-18,37531.0,Toy Bags & Nets
47,2021-05-19,37531.0,Toy Bags & Nets
48,2021-05-20,59157.0,Toy Bags & Nets
49,2021-05-21,59157.0,Toy Bags & Nets
50,2021-05-22,34892.0,Toy Bags & Nets
51,2021-05-23,34892.0,Toy Bags & Nets
52,2021-05-24,40632.0,Toy Bags & Nets
53,2021-05-25,40632.0,Toy Bags & Nets
54,2021-05-26,40632.0,Toy Bags & Nets
55,2021-05-27,49980.0,Toy Bags & Nets
56,2021-05-28,31404.0,Toy Bags & Nets
57,2021-05-29,31404.0,Toy Bags & Nets
58,2021-05-30,31404.0,Toy Bags & Nets
59,2021-05-31,17904.0,Toy Bags & Nets
60,2021-06-01,26073.0,Toy Bags & Nets
61,2021-06-02,26073.0,Toy Bags & Nets
62,2021-06-03,23003.0,Toy Bags & Nets
63,2021-06-04,39521.0,Toy Bags & Nets
64,2021-06-05,39521.0,Toy Bags & Nets
65,2021-06-06,46320.0,Toy Bags & Nets
66,2021-06-07,19522.0,Toy Bags & Nets
67,2021-06-08,19522.0,Toy Bags & Nets
68,2021-06-09,19522.0,Toy Bags & Nets
69,2021-06-10,25734.0,Toy Bags & Nets
70,2021-06-11,17751.0,Toy Bags & Nets
71,2021-06-12,17751.0,Toy Bags & Nets
72,2021-06-13,17751.0,Toy Bags & Nets
73,2021-06-14,11380.0,Toy Bags & Nets
74,2021-06-15,17841.0,Toy Bags & Nets
75,2021-06-16,20393.0,Toy Bags & Nets
76,2021-06-17,20393.0,Toy Bags & Nets
77,2021-06-18,20393.0,Toy Bags & Nets
78,2021-06-19,20393.0,Toy Bags & Nets
79,2021-06-20,19513.0,Toy Bags & Nets
80,2021-06-21,15507.0,Toy Bags & Nets
81,2021-06-22,8443.0,Toy Bags & Nets
82,2021-06-23,8443.0,Toy Bags & Nets
83,2021-06-24,14622.0,Toy Bags & Nets
84,2021-06-25,14622.0,Toy Bags & Nets
85,2021-06-26,14622.0,Toy Bags & Nets
86,2021-06-27,16169.0,Toy Bags & Nets
87,2021-06-28,18972.0,Toy Bags & Nets
88,2021-06-29,23216.0,Toy Bags & Nets
89,2021-06-30,23216.0,Toy Bags & Nets
90,2021-07-01,11780.0,Toy Bags & Nets
91,2021-07-02,11780.0,Toy Bags & Nets
92,2021-07-03,11967.0,Toy Bags & Nets
93,2021-07-04,11967.0,Toy Bags & Nets
94,2021-07-05,11967.0,Toy Bags & Nets
95,2021-07-06,9678.0,Toy Bags & Nets
96,2021-07-07,9678.0,Toy Bags & Nets
97,2021-07-08,11411.0,Toy Bags & Nets
98,2021-07-09,12394.0,Toy Bags & Nets
