,date,value,name_B08TY8J2DH
0,2021-02-06,98281.0,Smokeless Inhalers
1,2021-02-07,98281.0,Smokeless Inhalers
2,2021-02-08,98281.0,Smokeless Inhalers
3,2021-02-09,98281.0,Smokeless Inhalers
4,2021-02-10,98281.0,Smokeless Inhalers
5,2021-02-11,98281.0,Smokeless Inhalers
6,2021-02-12,62629.0,Smokeless Inhalers
7,2021-02-13,62629.0,Smokeless Inhalers
8,2021-02-14,62629.0,Smokeless Inhalers
9,2021-02-15,62629.0,Smokeless Inhalers
10,2021-02-16,62629.0,Smokeless Inhalers
11,2021-02-17,62629.0,Smokeless Inhalers
12,2021-02-18,62629.0,Smokeless Inhalers
13,2021-02-19,62629.0,Smokeless Inhalers
14,2021-02-20,62629.0,Smokeless Inhalers
15,2021-02-21,62629.0,Smokeless Inhalers
16,2021-02-22,62629.0,Smokeless Inhalers
17,2021-02-23,62629.0,Smokeless Inhalers
18,2021-02-24,62629.0,Smokeless Inhalers
19,2021-02-25,62629.0,Smokeless Inhalers
20,2021-02-26,62629.0,Smokeless Inhalers
21,2021-02-27,34894.0,Smokeless Inhalers
22,2021-02-28,34894.0,Smokeless Inhalers
23,2021-03-01,34894.0,Smokeless Inhalers
24,2021-03-02,29326.0,Smokeless Inhalers
25,2021-03-03,29326.0,Smokeless Inhalers
26,2021-03-04,29326.0,Smokeless Inhalers
27,2021-03-05,29326.0,Smokeless Inhalers
28,2021-03-06,31010.0,Smokeless Inhalers
29,2021-03-07,31010.0,Smokeless Inhalers
30,2021-03-08,31010.0,Smokeless Inhalers
31,2021-03-09,31010.0,Smokeless Inhalers
32,2021-03-10,31010.0,Smokeless Inhalers
33,2021-03-11,28597.0,Smokeless Inhalers
34,2021-03-12,28597.0,Smokeless Inhalers
35,2021-03-13,28597.0,Smokeless Inhalers
36,2021-03-14,28597.0,Smokeless Inhalers
37,2021-03-15,28597.0,Smokeless Inhalers
38,2021-03-16,28597.0,Smokeless Inhalers
39,2021-03-17,28597.0,Smokeless Inhalers
40,2021-03-18,50989.0,Smokeless Inhalers
41,2021-03-19,50989.0,Smokeless Inhalers
42,2021-03-20,47748.0,Smokeless Inhalers
43,2021-03-21,47748.0,Smokeless Inhalers
44,2021-03-22,47748.0,Smokeless Inhalers
45,2021-03-23,47748.0,Smokeless Inhalers
46,2021-03-24,47748.0,Smokeless Inhalers
47,2021-03-25,47748.0,Smokeless Inhalers
48,2021-03-26,47748.0,Smokeless Inhalers
49,2021-03-27,54992.0,Smokeless Inhalers
50,2021-03-28,54992.0,Smokeless Inhalers
51,2021-03-29,54992.0,Smokeless Inhalers
52,2021-03-30,54992.0,Smokeless Inhalers
53,2021-03-31,61691.0,Smokeless Inhalers
54,2021-04-01,61691.0,Smokeless Inhalers
55,2021-04-02,61691.0,Smokeless Inhalers
