,date,value,name_B08VDCRDY2
0,2021-01-30,3718.0,Stands
1,2021-01-31,2642.0,Stands
2,2021-02-01,3784.0,Stands
3,2021-02-02,3784.0,Stands
4,2021-02-03,4187.0,Stands
5,2021-02-04,3808.0,Stands
6,2021-02-05,3808.0,Stands
7,2021-02-06,3382.0,Stands
8,2021-02-07,3382.0,Stands
9,2021-02-08,2659.0,Stands
10,2021-02-09,2659.0,Stands
11,2021-02-10,3573.0,Stands
12,2021-02-11,3573.0,Stands
13,2021-02-12,3573.0,Stands
14,2021-02-13,2530.0,Stands
15,2021-02-14,2530.0,Stands
16,2021-02-15,1765.0,Stands
17,2021-02-16,1765.0,Stands
18,2021-02-17,1765.0,Stands
19,2021-02-18,3034.0,Stands
20,2021-02-19,2713.0,Stands
21,2021-02-20,2895.0,Stands
22,2021-02-21,2719.0,Stands
23,2021-02-22,2851.0,Stands
24,2021-02-23,3387.0,Stands
25,2021-02-24,3530.0,Stands
26,2021-02-25,4152.0,Stands
27,2021-02-26,3826.0,Stands
28,2021-02-27,4193.0,Stands
29,2021-02-28,4193.0,Stands
30,2021-03-01,3002.0,Stands
31,2021-03-02,3921.0,Stands
32,2021-03-03,3593.0,Stands
33,2021-03-04,4215.0,Stands
34,2021-03-05,4397.0,Stands
35,2021-03-06,4397.0,Stands
36,2021-03-07,4420.0,Stands
37,2021-03-08,4420.0,Stands
38,2021-03-09,4313.0,Stands
39,2021-03-10,4313.0,Stands
40,2021-03-11,3134.0,Stands
41,2021-03-12,3134.0,Stands
42,2021-03-13,3210.0,Stands
43,2021-03-14,3210.0,Stands
44,2021-03-15,2585.0,Stands
45,2021-03-16,2785.0,Stands
46,2021-03-17,3223.0,Stands
47,2021-03-18,3837.0,Stands
48,2021-03-19,3837.0,Stands
49,2021-03-20,8059.0,Stands
50,2021-03-21,8059.0,Stands
51,2021-03-22,5601.0,Stands
52,2021-03-23,5855.0,Stands
53,2021-03-24,6532.0,Stands
54,2021-03-25,5160.0,Stands
55,2021-03-26,5160.0,Stands
56,2021-03-27,5160.0,Stands
57,2021-03-28,4782.0,Stands
58,2021-03-29,4754.0,Stands
59,2021-03-30,3673.0,Stands
60,2021-03-31,5287.0,Stands
61,2021-04-01,5287.0,Stands
62,2021-04-02,4407.0,Stands
63,2021-04-03,4407.0,Stands
64,2021-04-04,4407.0,Stands
65,2021-04-05,5313.0,Stands
66,2021-04-06,6506.0,Stands
67,2021-04-07,7308.0,Stands
68,2021-04-08,7308.0,Stands
69,2021-04-09,7197.0,Stands
70,2021-04-10,7197.0,Stands
71,2021-04-11,7197.0,Stands
72,2021-04-12,5036.0,Stands
73,2021-04-13,5036.0,Stands
74,2021-04-14,5179.0,Stands
75,2021-04-15,5535.0,Stands
76,2021-04-16,5535.0,Stands
77,2021-04-17,4936.0,Stands
78,2021-04-18,5714.0,Stands
79,2021-04-19,5714.0,Stands
80,2021-04-20,5663.0,Stands
81,2021-04-21,5663.0,Stands
82,2021-04-22,6804.0,Stands
83,2021-04-23,6804.0,Stands
84,2021-04-24,3282.0,Stands
85,2021-04-25,3282.0,Stands
86,2021-04-26,3945.0,Stands
87,2021-04-27,4107.0,Stands
88,2021-04-28,3944.0,Stands
89,2021-04-29,3480.0,Stands
90,2021-04-30,3480.0,Stands
91,2021-05-01,3407.0,Stands
92,2021-05-02,3407.0,Stands
93,2021-05-03,3746.0,Stands
94,2021-05-04,3746.0,Stands
95,2021-05-05,4656.0,Stands
96,2021-05-06,4060.0,Stands
97,2021-05-07,3735.0,Stands
98,2021-05-08,3735.0,Stands
99,2021-05-09,3735.0,Stands
100,2021-05-10,2840.0,Stands
101,2021-05-11,2561.0,Stands
102,2021-05-12,2561.0,Stands
103,2021-05-13,3694.0,Stands
104,2021-05-14,3604.0,Stands
105,2021-05-15,2276.0,Stands
106,2021-05-16,2276.0,Stands
107,2021-05-17,3661.0,Stands
108,2021-05-18,3166.0,Stands
109,2021-05-19,3166.0,Stands
110,2021-05-20,3643.0,Stands
111,2021-05-21,2657.0,Stands
112,2021-05-22,4561.0,Stands
113,2021-05-23,4561.0,Stands
114,2021-05-24,3409.0,Stands
115,2021-05-25,3462.0,Stands
116,2021-05-26,4099.0,Stands
117,2021-05-27,3211.0,Stands
118,2021-05-28,2290.0,Stands
119,2021-05-29,3166.0,Stands
120,2021-05-30,2380.0,Stands
121,2021-05-31,2517.0,Stands
122,2021-06-01,2798.0,Stands
123,2021-06-02,2576.0,Stands
124,2021-06-03,2576.0,Stands
125,2021-06-04,3053.0,Stands
126,2021-06-05,3387.0,Stands
127,2021-06-06,3387.0,Stands
128,2021-06-07,2832.0,Stands
129,2021-06-08,3303.0,Stands
130,2021-06-09,3179.0,Stands
131,2021-06-10,3928.0,Stands
132,2021-06-11,4139.0,Stands
133,2021-06-12,3821.0,Stands
134,2021-06-13,3596.0,Stands
135,2021-06-14,4311.0,Stands
136,2021-06-15,3937.0,Stands
137,2021-06-16,5769.0,Stands
138,2021-06-17,5001.0,Stands
139,2021-06-18,5282.0,Stands
140,2021-06-19,4540.0,Stands
141,2021-06-20,5223.0,Stands
142,2021-06-21,6907.0,Stands
143,2021-06-22,7419.0,Stands
144,2021-06-23,7419.0,Stands
145,2021-06-24,7419.0,Stands
146,2021-06-25,7585.0,Stands
147,2021-06-26,6027.0,Stands
148,2021-06-27,4489.0,Stands
149,2021-06-28,5638.0,Stands
150,2021-06-29,4016.0,Stands
151,2021-06-30,3131.0,Stands
152,2021-07-01,2716.0,Stands
153,2021-07-02,2609.0,Stands
154,2021-07-03,2976.0,Stands
155,2021-07-04,2078.0,Stands
156,2021-07-05,2078.0,Stands
157,2021-07-06,3849.0,Stands
158,2021-07-07,4648.0,Stands
159,2021-07-08,4330.0,Stands
160,2021-07-09,5193.0,Stands
161,2021-07-10,6255.0,Stands
