,date,value,name_B08VGCGK8F
0,2021-04-13,271679.0,Accessories
1,2021-04-14,271679.0,Accessories
2,2021-04-15,271679.0,Accessories
3,2021-04-16,271679.0,Accessories
4,2021-04-17,271679.0,Accessories
5,2021-04-18,271679.0,Accessories
6,2021-04-19,312943.0,Accessories
7,2021-04-20,312943.0,Accessories
8,2021-04-21,161692.0,Accessories
9,2021-04-22,216133.0,Accessories
10,2021-04-23,229361.0,Accessories
11,2021-04-24,229361.0,Accessories
12,2021-04-25,229361.0,Accessories
13,2021-04-26,229361.0,Accessories
14,2021-04-27,512818.0,Accessories
15,2021-04-28,512818.0,Accessories
16,2021-04-29,237307.0,Accessories
17,2021-04-30,186683.0,Accessories
18,2021-05-01,176348.0,Accessories
19,2021-05-02,176348.0,Accessories
20,2021-05-03,176348.0,Accessories
21,2021-05-04,162774.0,Accessories
22,2021-05-05,162774.0,Accessories
23,2021-05-06,162774.0,Accessories
24,2021-05-07,162774.0,Accessories
25,2021-05-08,162774.0,Accessories
26,2021-05-09,162774.0,Accessories
27,2021-05-10,162774.0,Accessories
28,2021-05-11,129415.0,Accessories
29,2021-05-12,129415.0,Accessories
30,2021-05-13,129415.0,Accessories
31,2021-05-14,129415.0,Accessories
32,2021-05-15,129256.0,Accessories
33,2021-05-16,129256.0,Accessories
34,2021-05-17,129256.0,Accessories
35,2021-05-18,129256.0,Accessories
36,2021-05-19,129256.0,Accessories
37,2021-05-20,129256.0,Accessories
38,2021-05-21,60754.0,Accessories
39,2021-05-22,60754.0,Accessories
40,2021-05-23,49216.0,Accessories
41,2021-05-24,49216.0,Accessories
42,2021-05-25,49216.0,Accessories
43,2021-05-26,49216.0,Accessories
44,2021-05-27,49216.0,Accessories
45,2021-05-28,114483.0,Accessories
46,2021-05-29,114483.0,Accessories
47,2021-05-30,114483.0,Accessories
48,2021-05-31,114483.0,Accessories
49,2021-06-01,114483.0,Accessories
50,2021-06-02,79377.0,Accessories
51,2021-06-03,69264.0,Accessories
52,2021-06-04,69264.0,Accessories
53,2021-06-05,69264.0,Accessories
54,2021-06-06,69264.0,Accessories
55,2021-06-07,90201.0,Accessories
56,2021-06-08,66830.0,Accessories
57,2021-06-09,66830.0,Accessories
58,2021-06-10,56087.0,Accessories
59,2021-06-11,66749.0,Accessories
60,2021-06-12,66749.0,Accessories
61,2021-06-13,66749.0,Accessories
62,2021-06-14,66749.0,Accessories
63,2021-06-15,66749.0,Accessories
64,2021-06-16,74094.0,Accessories
65,2021-06-17,74094.0,Accessories
66,2021-06-18,74094.0,Accessories
67,2021-06-19,74094.0,Accessories
68,2021-06-20,74094.0,Accessories
69,2021-06-21,74094.0,Accessories
70,2021-06-22,162314.0,Accessories
71,2021-06-23,259631.0,Accessories
72,2021-06-24,259631.0,Accessories
73,2021-06-25,259631.0,Accessories
74,2021-06-26,259631.0,Accessories
75,2021-06-27,259631.0,Accessories
76,2021-06-28,499462.0,Accessories
77,2021-06-29,499462.0,Accessories
78,2021-06-30,499462.0,Accessories
79,2021-07-01,499462.0,Accessories
80,2021-07-02,499462.0,Accessories
81,2021-07-03,499462.0,Accessories
82,2021-07-04,499462.0,Accessories
83,2021-07-05,600749.0,Accessories
84,2021-07-06,600749.0,Accessories
85,2021-07-07,600749.0,Accessories
86,2021-07-08,600749.0,Accessories
87,2021-07-09,687793.0,Accessories
