,date,value,name_B08VJ15XFQ
0,2021-02-05,7967.0,Muscle Stimulators & Accessories
1,2021-02-06,7967.0,Muscle Stimulators & Accessories
2,2021-02-07,6395.0,Muscle Stimulators & Accessories
3,2021-02-08,6395.0,Muscle Stimulators & Accessories
4,2021-02-09,7247.0,Muscle Stimulators & Accessories
5,2021-02-10,7247.0,Muscle Stimulators & Accessories
6,2021-02-11,6991.0,Muscle Stimulators & Accessories
7,2021-02-12,5846.0,Muscle Stimulators & Accessories
8,2021-02-13,5846.0,Muscle Stimulators & Accessories
9,2021-02-14,5763.0,Muscle Stimulators & Accessories
10,2021-02-15,5565.0,Muscle Stimulators & Accessories
11,2021-02-16,5565.0,Muscle Stimulators & Accessories
12,2021-02-17,5070.0,Muscle Stimulators & Accessories
13,2021-02-18,5609.0,Muscle Stimulators & Accessories
14,2021-02-19,5609.0,Muscle Stimulators & Accessories
15,2021-02-20,5609.0,Muscle Stimulators & Accessories
16,2021-02-21,6618.0,Muscle Stimulators & Accessories
17,2021-02-22,7265.0,Muscle Stimulators & Accessories
18,2021-02-23,5655.0,Muscle Stimulators & Accessories
19,2021-02-24,5655.0,Muscle Stimulators & Accessories
20,2021-02-25,6073.0,Muscle Stimulators & Accessories
21,2021-02-26,6073.0,Muscle Stimulators & Accessories
22,2021-02-27,6073.0,Muscle Stimulators & Accessories
23,2021-02-28,4785.0,Muscle Stimulators & Accessories
24,2021-03-01,5629.0,Muscle Stimulators & Accessories
25,2021-03-02,5467.0,Muscle Stimulators & Accessories
26,2021-03-03,6068.0,Muscle Stimulators & Accessories
27,2021-03-04,5829.0,Muscle Stimulators & Accessories
28,2021-03-05,5829.0,Muscle Stimulators & Accessories
29,2021-03-06,5829.0,Muscle Stimulators & Accessories
30,2021-03-07,3014.0,Muscle Stimulators & Accessories
31,2021-03-08,5671.0,Muscle Stimulators & Accessories
32,2021-03-09,5661.0,Muscle Stimulators & Accessories
33,2021-03-10,5661.0,Muscle Stimulators & Accessories
34,2021-03-11,5661.0,Muscle Stimulators & Accessories
35,2021-03-12,6289.0,Muscle Stimulators & Accessories
36,2021-03-13,6289.0,Muscle Stimulators & Accessories
37,2021-03-14,6093.0,Muscle Stimulators & Accessories
38,2021-03-15,6093.0,Muscle Stimulators & Accessories
39,2021-03-16,6093.0,Muscle Stimulators & Accessories
40,2021-03-17,5695.0,Muscle Stimulators & Accessories
41,2021-03-18,5695.0,Muscle Stimulators & Accessories
42,2021-03-19,5695.0,Muscle Stimulators & Accessories
43,2021-03-20,5695.0,Muscle Stimulators & Accessories
44,2021-03-21,5752.0,Muscle Stimulators & Accessories
45,2021-03-22,5752.0,Muscle Stimulators & Accessories
