,date,value,name_B08W22CDQW
0,2021-02-11,39558.0,Carpet Deodorizers
1,2021-02-12,39558.0,Carpet Deodorizers
2,2021-02-13,39558.0,Carpet Deodorizers
3,2021-02-14,19456.0,Carpet Deodorizers
4,2021-02-15,19456.0,Carpet Deodorizers
5,2021-02-16,19456.0,Carpet Deodorizers
6,2021-02-17,19456.0,Carpet Deodorizers
7,2021-02-18,29423.0,Carpet Deodorizers
8,2021-02-19,29423.0,Carpet Deodorizers
9,2021-02-20,29423.0,Carpet Deodorizers
10,2021-02-21,29423.0,Carpet Deodorizers
11,2021-02-22,29423.0,Carpet Deodorizers
12,2021-02-23,63294.0,Carpet Deodorizers
13,2021-02-24,63294.0,Carpet Deodorizers
14,2021-02-25,63294.0,Carpet Deodorizers
15,2021-02-26,63294.0,Carpet Deodorizers
16,2021-02-27,77994.0,Carpet Deodorizers
17,2021-02-28,77994.0,Carpet Deodorizers
18,2021-03-01,59240.0,Carpet Deodorizers
19,2021-03-02,59240.0,Carpet Deodorizers
20,2021-03-03,59240.0,Carpet Deodorizers
21,2021-03-04,59240.0,Carpet Deodorizers
22,2021-03-05,25301.0,Carpet Deodorizers
23,2021-03-06,25301.0,Carpet Deodorizers
24,2021-03-07,25301.0,Carpet Deodorizers
25,2021-03-08,25301.0,Carpet Deodorizers
26,2021-03-09,25301.0,Carpet Deodorizers
27,2021-03-10,24411.0,Carpet Deodorizers
28,2021-03-11,24411.0,Carpet Deodorizers
29,2021-03-12,24411.0,Carpet Deodorizers
30,2021-03-13,24411.0,Carpet Deodorizers
31,2021-03-14,24411.0,Carpet Deodorizers
32,2021-03-15,21059.0,Carpet Deodorizers
33,2021-03-16,21059.0,Carpet Deodorizers
34,2021-03-17,21059.0,Carpet Deodorizers
35,2021-03-18,24698.0,Carpet Deodorizers
36,2021-03-19,24698.0,Carpet Deodorizers
37,2021-03-20,24698.0,Carpet Deodorizers
38,2021-03-21,24698.0,Carpet Deodorizers
39,2021-03-22,24698.0,Carpet Deodorizers
40,2021-03-23,19672.0,Carpet Deodorizers
41,2021-03-24,24445.0,Carpet Deodorizers
42,2021-03-25,24445.0,Carpet Deodorizers
43,2021-03-26,24445.0,Carpet Deodorizers
44,2021-03-27,34113.0,Carpet Deodorizers
45,2021-03-28,34113.0,Carpet Deodorizers
46,2021-03-29,34113.0,Carpet Deodorizers
47,2021-03-30,34113.0,Carpet Deodorizers
48,2021-03-31,43639.0,Carpet Deodorizers
49,2021-04-01,43639.0,Carpet Deodorizers
50,2021-04-02,40144.0,Carpet Deodorizers
51,2021-04-03,40144.0,Carpet Deodorizers
52,2021-04-04,40144.0,Carpet Deodorizers
53,2021-04-05,46613.0,Carpet Deodorizers
54,2021-04-06,50633.0,Carpet Deodorizers
55,2021-04-07,55119.0,Carpet Deodorizers
56,2021-04-08,55119.0,Carpet Deodorizers
57,2021-04-09,46267.0,Carpet Deodorizers
58,2021-04-10,37783.0,Carpet Deodorizers
59,2021-04-11,37783.0,Carpet Deodorizers
60,2021-04-12,37783.0,Carpet Deodorizers
61,2021-04-13,33681.0,Carpet Deodorizers
62,2021-04-14,29257.0,Carpet Deodorizers
63,2021-04-15,29257.0,Carpet Deodorizers
64,2021-04-16,32704.0,Carpet Deodorizers
65,2021-04-17,31627.0,Carpet Deodorizers
66,2021-04-18,31627.0,Carpet Deodorizers
67,2021-04-19,31627.0,Carpet Deodorizers
68,2021-04-20,18830.0,Carpet Deodorizers
69,2021-04-21,17283.0,Carpet Deodorizers
70,2021-04-22,17283.0,Carpet Deodorizers
71,2021-04-23,22927.0,Carpet Deodorizers
72,2021-04-24,22927.0,Carpet Deodorizers
73,2021-04-25,22927.0,Carpet Deodorizers
74,2021-04-26,18313.0,Carpet Deodorizers
75,2021-04-27,18313.0,Carpet Deodorizers
76,2021-04-28,24727.0,Carpet Deodorizers
77,2021-04-29,24727.0,Carpet Deodorizers
78,2021-04-30,23706.0,Carpet Deodorizers
79,2021-05-01,23706.0,Carpet Deodorizers
80,2021-05-02,23706.0,Carpet Deodorizers
81,2021-05-03,32343.0,Carpet Deodorizers
82,2021-05-04,32343.0,Carpet Deodorizers
83,2021-05-05,32343.0,Carpet Deodorizers
84,2021-05-06,63624.0,Carpet Deodorizers
85,2021-05-07,48243.0,Carpet Deodorizers
86,2021-05-08,48243.0,Carpet Deodorizers
87,2021-05-09,48243.0,Carpet Deodorizers
88,2021-05-10,13000.0,Carpet Deodorizers
89,2021-05-11,17356.0,Carpet Deodorizers
90,2021-05-12,17356.0,Carpet Deodorizers
91,2021-05-13,19524.0,Carpet Deodorizers
92,2021-05-14,19524.0,Carpet Deodorizers
93,2021-05-15,19524.0,Carpet Deodorizers
94,2021-05-16,14363.0,Carpet Deodorizers
95,2021-05-17,14363.0,Carpet Deodorizers
96,2021-05-18,14363.0,Carpet Deodorizers
97,2021-05-19,13719.0,Carpet Deodorizers
98,2021-05-20,15090.0,Carpet Deodorizers
99,2021-05-21,15670.0,Carpet Deodorizers
100,2021-05-22,15670.0,Carpet Deodorizers
101,2021-05-23,15670.0,Carpet Deodorizers
102,2021-05-24,9233.0,Carpet Deodorizers
103,2021-05-25,9233.0,Carpet Deodorizers
104,2021-05-26,7625.0,Carpet Deodorizers
105,2021-05-27,7625.0,Carpet Deodorizers
106,2021-05-28,8056.0,Carpet Deodorizers
107,2021-05-29,8056.0,Carpet Deodorizers
