,date,value,name_B08WCDP29H
0,2021-02-21,105698.0,Decorative Urns
1,2021-02-22,105698.0,Decorative Urns
2,2021-02-23,105698.0,Decorative Urns
3,2021-02-24,105698.0,Decorative Urns
4,2021-02-25,105698.0,Decorative Urns
5,2021-02-26,105698.0,Decorative Urns
6,2021-02-27,105698.0,Decorative Urns
7,2021-02-28,88870.0,Decorative Urns
8,2021-03-01,88870.0,Decorative Urns
9,2021-03-02,64988.0,Decorative Urns
10,2021-03-03,64988.0,Decorative Urns
11,2021-03-04,77453.0,Decorative Urns
12,2021-03-05,48000.0,Decorative Urns
13,2021-03-06,45506.0,Decorative Urns
14,2021-03-07,45506.0,Decorative Urns
15,2021-03-08,45506.0,Decorative Urns
16,2021-03-09,45506.0,Decorative Urns
17,2021-03-10,45506.0,Decorative Urns
18,2021-03-11,45506.0,Decorative Urns
19,2021-03-12,45506.0,Decorative Urns
20,2021-03-13,96971.0,Decorative Urns
21,2021-03-14,96971.0,Decorative Urns
22,2021-03-15,96971.0,Decorative Urns
23,2021-03-16,96971.0,Decorative Urns
24,2021-03-17,130146.0,Decorative Urns
25,2021-03-18,130146.0,Decorative Urns
26,2021-03-19,130146.0,Decorative Urns
27,2021-03-20,111485.0,Decorative Urns
28,2021-03-21,111485.0,Decorative Urns
29,2021-03-22,111485.0,Decorative Urns
30,2021-03-23,111485.0,Decorative Urns
31,2021-03-24,111485.0,Decorative Urns
32,2021-03-25,111485.0,Decorative Urns
33,2021-03-26,65055.0,Decorative Urns
34,2021-03-27,65055.0,Decorative Urns
35,2021-03-28,65055.0,Decorative Urns
36,2021-03-29,99863.0,Decorative Urns
37,2021-03-30,75660.0,Decorative Urns
38,2021-03-31,75660.0,Decorative Urns
39,2021-04-01,75660.0,Decorative Urns
40,2021-04-02,74284.0,Decorative Urns
41,2021-04-03,74284.0,Decorative Urns
42,2021-04-04,74284.0,Decorative Urns
43,2021-04-05,74284.0,Decorative Urns
44,2021-04-06,74284.0,Decorative Urns
45,2021-04-07,50798.0,Decorative Urns
46,2021-04-08,50798.0,Decorative Urns
47,2021-04-09,50798.0,Decorative Urns
48,2021-04-10,50798.0,Decorative Urns
49,2021-04-11,50798.0,Decorative Urns
50,2021-04-12,94035.0,Decorative Urns
51,2021-04-13,97539.0,Decorative Urns
52,2021-04-14,97539.0,Decorative Urns
53,2021-04-15,97539.0,Decorative Urns
54,2021-04-16,97539.0,Decorative Urns
55,2021-04-17,53740.0,Decorative Urns
56,2021-04-18,53740.0,Decorative Urns
57,2021-04-19,81635.0,Decorative Urns
58,2021-04-20,81635.0,Decorative Urns
59,2021-04-21,84987.0,Decorative Urns
60,2021-04-22,84987.0,Decorative Urns
61,2021-04-23,84987.0,Decorative Urns
62,2021-04-24,84987.0,Decorative Urns
63,2021-04-25,84987.0,Decorative Urns
64,2021-04-26,84987.0,Decorative Urns
65,2021-04-27,75912.0,Decorative Urns
66,2021-04-28,75912.0,Decorative Urns
67,2021-04-29,75912.0,Decorative Urns
68,2021-04-30,75912.0,Decorative Urns
69,2021-05-01,75912.0,Decorative Urns
70,2021-05-02,72702.0,Decorative Urns
71,2021-05-03,72702.0,Decorative Urns
72,2021-05-04,79419.0,Decorative Urns
73,2021-05-05,79419.0,Decorative Urns
74,2021-05-06,68802.0,Decorative Urns
75,2021-05-07,68802.0,Decorative Urns
76,2021-05-08,68802.0,Decorative Urns
77,2021-05-09,68802.0,Decorative Urns
78,2021-05-10,68802.0,Decorative Urns
79,2021-05-11,68802.0,Decorative Urns
80,2021-05-12,74321.0,Decorative Urns
81,2021-05-13,74321.0,Decorative Urns
82,2021-05-14,74321.0,Decorative Urns
83,2021-05-15,74321.0,Decorative Urns
84,2021-05-16,74321.0,Decorative Urns
85,2021-05-17,74321.0,Decorative Urns
86,2021-05-18,68457.0,Decorative Urns
87,2021-05-19,68457.0,Decorative Urns
88,2021-05-20,94857.0,Decorative Urns
89,2021-05-21,79776.0,Decorative Urns
90,2021-05-22,79776.0,Decorative Urns
91,2021-05-23,79776.0,Decorative Urns
92,2021-05-24,115819.0,Decorative Urns
93,2021-05-25,115819.0,Decorative Urns
94,2021-05-26,100004.0,Decorative Urns
95,2021-05-27,100004.0,Decorative Urns
96,2021-05-28,59274.0,Decorative Urns
97,2021-05-29,59274.0,Decorative Urns
98,2021-05-30,59274.0,Decorative Urns
99,2021-05-31,59274.0,Decorative Urns
100,2021-06-01,82847.0,Decorative Urns
101,2021-06-02,66407.0,Decorative Urns
102,2021-06-03,66407.0,Decorative Urns
103,2021-06-04,76029.0,Decorative Urns
104,2021-06-05,76029.0,Decorative Urns
105,2021-06-06,76029.0,Decorative Urns
106,2021-06-07,76029.0,Decorative Urns
107,2021-06-08,76029.0,Decorative Urns
108,2021-06-09,73527.0,Decorative Urns
109,2021-06-10,73527.0,Decorative Urns
110,2021-06-11,73527.0,Decorative Urns
111,2021-06-12,73527.0,Decorative Urns
112,2021-06-13,73527.0,Decorative Urns
113,2021-06-14,73527.0,Decorative Urns
114,2021-06-15,54472.0,Decorative Urns
115,2021-06-16,54472.0,Decorative Urns
116,2021-06-17,54472.0,Decorative Urns
117,2021-06-18,54472.0,Decorative Urns
118,2021-06-19,54472.0,Decorative Urns
119,2021-06-20,54472.0,Decorative Urns
120,2021-06-21,54472.0,Decorative Urns
121,2021-06-22,79618.0,Decorative Urns
122,2021-06-23,79618.0,Decorative Urns
123,2021-06-24,79618.0,Decorative Urns
124,2021-06-25,79618.0,Decorative Urns
125,2021-06-26,79618.0,Decorative Urns
126,2021-06-27,79618.0,Decorative Urns
127,2021-06-28,45033.0,Decorative Urns
128,2021-06-29,45033.0,Decorative Urns
129,2021-06-30,50455.0,Decorative Urns
130,2021-07-01,50455.0,Decorative Urns
131,2021-07-02,59777.0,Decorative Urns
132,2021-07-03,59777.0,Decorative Urns
133,2021-07-04,59777.0,Decorative Urns
134,2021-07-05,59777.0,Decorative Urns
135,2021-07-06,59777.0,Decorative Urns
136,2021-07-07,48004.0,Decorative Urns
137,2021-07-08,52956.0,Decorative Urns
138,2021-07-09,58708.0,Decorative Urns
