,date,value,name_B08X6B9T91
0,2021-02-27,6914.0,Garden Hoses
1,2021-02-28,6914.0,Garden Hoses
2,2021-03-01,5295.0,Garden Hoses
3,2021-03-02,5586.0,Garden Hoses
4,2021-03-03,5586.0,Garden Hoses
5,2021-03-04,5586.0,Garden Hoses
6,2021-03-05,8478.0,Garden Hoses
7,2021-03-06,8478.0,Garden Hoses
8,2021-03-07,8478.0,Garden Hoses
9,2021-03-08,8945.0,Garden Hoses
10,2021-03-09,8945.0,Garden Hoses
11,2021-03-10,8945.0,Garden Hoses
12,2021-03-11,11108.0,Garden Hoses
13,2021-03-12,11108.0,Garden Hoses
14,2021-03-13,11471.0,Garden Hoses
15,2021-03-14,11471.0,Garden Hoses
16,2021-03-15,11471.0,Garden Hoses
17,2021-03-16,10609.0,Garden Hoses
18,2021-03-17,10609.0,Garden Hoses
19,2021-03-18,10609.0,Garden Hoses
20,2021-03-19,9623.0,Garden Hoses
21,2021-03-20,9623.0,Garden Hoses
22,2021-03-21,11096.0,Garden Hoses
23,2021-03-22,11096.0,Garden Hoses
24,2021-03-23,11096.0,Garden Hoses
25,2021-03-24,11096.0,Garden Hoses
26,2021-03-25,11096.0,Garden Hoses
27,2021-03-26,6041.0,Garden Hoses
28,2021-03-27,8110.0,Garden Hoses
29,2021-03-28,8110.0,Garden Hoses
30,2021-03-29,8110.0,Garden Hoses
31,2021-03-30,4997.0,Garden Hoses
32,2021-03-31,4997.0,Garden Hoses
33,2021-04-01,4997.0,Garden Hoses
34,2021-04-02,2421.0,Garden Hoses
35,2021-04-03,2421.0,Garden Hoses
36,2021-04-04,2421.0,Garden Hoses
37,2021-04-05,3178.0,Garden Hoses
38,2021-04-06,3178.0,Garden Hoses
39,2021-04-07,3178.0,Garden Hoses
40,2021-04-08,3178.0,Garden Hoses
41,2021-04-09,2081.0,Garden Hoses
42,2021-04-10,2081.0,Garden Hoses
43,2021-04-11,2081.0,Garden Hoses
44,2021-04-12,2282.0,Garden Hoses
45,2021-04-13,2282.0,Garden Hoses
46,2021-04-14,1747.0,Garden Hoses
47,2021-04-15,1747.0,Garden Hoses
48,2021-04-16,1747.0,Garden Hoses
49,2021-04-17,2461.0,Garden Hoses
50,2021-04-18,2461.0,Garden Hoses
51,2021-04-19,1983.0,Garden Hoses
52,2021-04-20,1983.0,Garden Hoses
53,2021-04-21,2731.0,Garden Hoses
54,2021-04-22,3049.0,Garden Hoses
55,2021-04-23,3049.0,Garden Hoses
56,2021-04-24,2965.0,Garden Hoses
57,2021-04-25,2965.0,Garden Hoses
58,2021-04-26,4075.0,Garden Hoses
59,2021-04-27,4075.0,Garden Hoses
60,2021-04-28,2673.0,Garden Hoses
61,2021-04-29,2673.0,Garden Hoses
62,2021-04-30,2313.0,Garden Hoses
63,2021-05-01,2313.0,Garden Hoses
64,2021-05-02,2313.0,Garden Hoses
65,2021-05-03,2421.0,Garden Hoses
66,2021-05-04,2421.0,Garden Hoses
67,2021-05-05,3051.0,Garden Hoses
68,2021-05-06,3051.0,Garden Hoses
