,date,value,name_B08XM4CQM7
0,2021-03-02,31377.0,Draft Stoppers
1,2021-03-03,31377.0,Draft Stoppers
2,2021-03-04,31377.0,Draft Stoppers
3,2021-03-05,50023.0,Draft Stoppers
4,2021-03-06,37319.0,Draft Stoppers
5,2021-03-07,37319.0,Draft Stoppers
6,2021-03-08,37319.0,Draft Stoppers
7,2021-03-09,37075.0,Draft Stoppers
8,2021-03-10,37075.0,Draft Stoppers
9,2021-03-11,37075.0,Draft Stoppers
10,2021-03-12,37075.0,Draft Stoppers
11,2021-03-13,34816.0,Draft Stoppers
12,2021-03-14,34816.0,Draft Stoppers
13,2021-03-15,34816.0,Draft Stoppers
14,2021-03-16,32231.0,Draft Stoppers
15,2021-03-17,29679.0,Draft Stoppers
16,2021-03-18,30429.0,Draft Stoppers
17,2021-03-19,30429.0,Draft Stoppers
18,2021-03-20,30429.0,Draft Stoppers
19,2021-03-21,34647.0,Draft Stoppers
20,2021-03-22,33671.0,Draft Stoppers
21,2021-03-23,33671.0,Draft Stoppers
22,2021-03-24,37730.0,Draft Stoppers
23,2021-03-25,37730.0,Draft Stoppers
24,2021-03-26,35206.0,Draft Stoppers
25,2021-03-27,35206.0,Draft Stoppers
26,2021-03-28,35206.0,Draft Stoppers
27,2021-03-29,35206.0,Draft Stoppers
28,2021-03-30,35206.0,Draft Stoppers
29,2021-03-31,35206.0,Draft Stoppers
30,2021-04-01,35206.0,Draft Stoppers
31,2021-04-02,35206.0,Draft Stoppers
32,2021-04-03,35206.0,Draft Stoppers
33,2021-04-04,35206.0,Draft Stoppers
34,2021-04-05,35206.0,Draft Stoppers
35,2021-04-06,35206.0,Draft Stoppers
36,2021-04-07,47334.0,Draft Stoppers
37,2021-04-08,47334.0,Draft Stoppers
38,2021-04-09,47334.0,Draft Stoppers
39,2021-04-10,47334.0,Draft Stoppers
40,2021-04-11,47334.0,Draft Stoppers
41,2021-04-12,70859.0,Draft Stoppers
42,2021-04-13,70859.0,Draft Stoppers
43,2021-04-14,70859.0,Draft Stoppers
44,2021-04-15,41819.0,Draft Stoppers
45,2021-04-16,50620.0,Draft Stoppers
46,2021-04-17,50620.0,Draft Stoppers
47,2021-04-18,50620.0,Draft Stoppers
48,2021-04-19,50620.0,Draft Stoppers
49,2021-04-20,50620.0,Draft Stoppers
50,2021-04-21,50269.0,Draft Stoppers
51,2021-04-22,44029.0,Draft Stoppers
52,2021-04-23,44029.0,Draft Stoppers
53,2021-04-24,44029.0,Draft Stoppers
54,2021-04-25,44029.0,Draft Stoppers
55,2021-04-26,44029.0,Draft Stoppers
56,2021-04-27,44029.0,Draft Stoppers
57,2021-04-28,36878.0,Draft Stoppers
58,2021-04-29,36878.0,Draft Stoppers
59,2021-04-30,36878.0,Draft Stoppers
60,2021-05-01,27328.0,Draft Stoppers
61,2021-05-02,27328.0,Draft Stoppers
62,2021-05-03,27328.0,Draft Stoppers
63,2021-05-04,25068.0,Draft Stoppers
64,2021-05-05,25068.0,Draft Stoppers
65,2021-05-06,29753.0,Draft Stoppers
66,2021-05-07,29753.0,Draft Stoppers
67,2021-05-08,29753.0,Draft Stoppers
68,2021-05-09,29753.0,Draft Stoppers
69,2021-05-10,34664.0,Draft Stoppers
70,2021-05-11,34664.0,Draft Stoppers
71,2021-05-12,34664.0,Draft Stoppers
72,2021-05-13,34664.0,Draft Stoppers
73,2021-05-14,34664.0,Draft Stoppers
74,2021-05-15,34664.0,Draft Stoppers
75,2021-05-16,34664.0,Draft Stoppers
76,2021-05-17,40412.0,Draft Stoppers
77,2021-05-18,40412.0,Draft Stoppers
78,2021-05-19,40412.0,Draft Stoppers
79,2021-05-20,31153.0,Draft Stoppers
80,2021-05-21,31153.0,Draft Stoppers
81,2021-05-22,31153.0,Draft Stoppers
82,2021-05-23,32745.0,Draft Stoppers
83,2021-05-24,32745.0,Draft Stoppers
84,2021-05-25,33680.0,Draft Stoppers
85,2021-05-26,31007.0,Draft Stoppers
86,2021-05-27,31007.0,Draft Stoppers
87,2021-05-28,31007.0,Draft Stoppers
88,2021-05-29,31007.0,Draft Stoppers
89,2021-05-30,31007.0,Draft Stoppers
90,2021-05-31,31007.0,Draft Stoppers
91,2021-06-01,41760.0,Draft Stoppers
92,2021-06-02,41760.0,Draft Stoppers
93,2021-06-03,41760.0,Draft Stoppers
94,2021-06-04,28136.0,Draft Stoppers
95,2021-06-05,28136.0,Draft Stoppers
96,2021-06-06,28136.0,Draft Stoppers
97,2021-06-07,30095.0,Draft Stoppers
98,2021-06-08,30095.0,Draft Stoppers
99,2021-06-09,30095.0,Draft Stoppers
100,2021-06-10,27576.0,Draft Stoppers
101,2021-06-11,27576.0,Draft Stoppers
102,2021-06-12,25138.0,Draft Stoppers
103,2021-06-13,28740.0,Draft Stoppers
104,2021-06-14,28740.0,Draft Stoppers
105,2021-06-15,36236.0,Draft Stoppers
106,2021-06-16,36236.0,Draft Stoppers
107,2021-06-17,36236.0,Draft Stoppers
108,2021-06-18,36236.0,Draft Stoppers
109,2021-06-19,36236.0,Draft Stoppers
110,2021-06-20,36236.0,Draft Stoppers
111,2021-06-21,20705.0,Draft Stoppers
112,2021-06-22,21465.0,Draft Stoppers
113,2021-06-23,21465.0,Draft Stoppers
114,2021-06-24,21465.0,Draft Stoppers
115,2021-06-25,21465.0,Draft Stoppers
116,2021-06-26,26959.0,Draft Stoppers
117,2021-06-27,26959.0,Draft Stoppers
118,2021-06-28,32271.0,Draft Stoppers
119,2021-06-29,25932.0,Draft Stoppers
120,2021-06-30,25932.0,Draft Stoppers
121,2021-07-01,34465.0,Draft Stoppers
122,2021-07-02,34465.0,Draft Stoppers
123,2021-07-03,34465.0,Draft Stoppers
124,2021-07-04,34465.0,Draft Stoppers
125,2021-07-05,27381.0,Draft Stoppers
126,2021-07-06,27381.0,Draft Stoppers
127,2021-07-07,27381.0,Draft Stoppers
128,2021-07-08,27381.0,Draft Stoppers
129,2021-07-09,27381.0,Draft Stoppers
130,2021-07-10,27381.0,Draft Stoppers
131,2021-07-11,35813.0,Draft Stoppers
