,date,value,name_B08XYBPHQ7
0,2021-03-10,2801.0,Herbal Supplements
1,2021-03-11,2762.0,Herbal Supplements
2,2021-03-12,2762.0,Herbal Supplements
3,2021-03-13,2762.0,Herbal Supplements
4,2021-03-14,3997.0,Herbal Supplements
5,2021-03-15,3997.0,Herbal Supplements
6,2021-03-16,3997.0,Herbal Supplements
7,2021-03-17,6240.0,Herbal Supplements
8,2021-03-18,6240.0,Herbal Supplements
9,2021-03-19,5008.0,Herbal Supplements
10,2021-03-20,5008.0,Herbal Supplements
11,2021-03-21,5008.0,Herbal Supplements
12,2021-03-22,4911.0,Herbal Supplements
13,2021-03-23,4911.0,Herbal Supplements
14,2021-03-24,4911.0,Herbal Supplements
15,2021-03-25,4911.0,Herbal Supplements
16,2021-03-26,5782.0,Herbal Supplements
17,2021-03-27,5782.0,Herbal Supplements
18,2021-03-28,6209.0,Herbal Supplements
19,2021-03-29,6209.0,Herbal Supplements
20,2021-03-30,6209.0,Herbal Supplements
21,2021-03-31,5855.0,Herbal Supplements
22,2021-04-01,5855.0,Herbal Supplements
23,2021-04-02,6422.0,Herbal Supplements
24,2021-04-03,6422.0,Herbal Supplements
25,2021-04-04,6422.0,Herbal Supplements
26,2021-04-05,4492.0,Herbal Supplements
27,2021-04-06,4492.0,Herbal Supplements
28,2021-04-07,6344.0,Herbal Supplements
29,2021-04-08,6344.0,Herbal Supplements
30,2021-04-09,5124.0,Herbal Supplements
31,2021-04-10,5124.0,Herbal Supplements
32,2021-04-11,5043.0,Herbal Supplements
33,2021-04-12,5043.0,Herbal Supplements
34,2021-04-13,5043.0,Herbal Supplements
35,2021-04-14,5043.0,Herbal Supplements
36,2021-04-15,25626.0,Herbal Supplements
37,2021-04-16,25626.0,Herbal Supplements
38,2021-04-17,25626.0,Herbal Supplements
39,2021-04-18,6799.0,Herbal Supplements
40,2021-04-19,6799.0,Herbal Supplements
41,2021-04-20,11265.0,Herbal Supplements
42,2021-04-21,11265.0,Herbal Supplements
43,2021-04-22,7975.0,Herbal Supplements
44,2021-04-23,7267.0,Herbal Supplements
45,2021-04-24,7267.0,Herbal Supplements
46,2021-04-25,7267.0,Herbal Supplements
47,2021-04-26,8745.0,Herbal Supplements
48,2021-04-27,8745.0,Herbal Supplements
49,2021-04-28,8502.0,Herbal Supplements
50,2021-04-29,8502.0,Herbal Supplements
51,2021-04-30,8725.0,Herbal Supplements
52,2021-05-01,8725.0,Herbal Supplements
53,2021-05-02,8725.0,Herbal Supplements
54,2021-05-03,9474.0,Herbal Supplements
55,2021-05-04,9474.0,Herbal Supplements
56,2021-05-05,6200.0,Herbal Supplements
57,2021-05-06,6200.0,Herbal Supplements
58,2021-05-07,4312.0,Herbal Supplements
59,2021-05-08,4312.0,Herbal Supplements
60,2021-05-09,5066.0,Herbal Supplements
61,2021-05-10,5066.0,Herbal Supplements
62,2021-05-11,4342.0,Herbal Supplements
63,2021-05-12,4342.0,Herbal Supplements
64,2021-05-13,3966.0,Herbal Supplements
65,2021-05-14,3966.0,Herbal Supplements
66,2021-05-15,3966.0,Herbal Supplements
67,2021-05-16,4486.0,Herbal Supplements
68,2021-05-17,4486.0,Herbal Supplements
69,2021-05-18,4668.0,Herbal Supplements
70,2021-05-19,4778.0,Herbal Supplements
71,2021-05-20,4721.0,Herbal Supplements
72,2021-05-21,5012.0,Herbal Supplements
73,2021-05-22,5012.0,Herbal Supplements
74,2021-05-23,5012.0,Herbal Supplements
75,2021-05-24,5294.0,Herbal Supplements
76,2021-05-25,5294.0,Herbal Supplements
77,2021-05-26,5294.0,Herbal Supplements
78,2021-05-27,4801.0,Herbal Supplements
79,2021-05-28,4801.0,Herbal Supplements
80,2021-05-29,4945.0,Herbal Supplements
81,2021-05-30,4945.0,Herbal Supplements
82,2021-05-31,4945.0,Herbal Supplements
83,2021-06-01,4364.0,Herbal Supplements
84,2021-06-02,4364.0,Herbal Supplements
85,2021-06-03,4195.0,Herbal Supplements
86,2021-06-04,4195.0,Herbal Supplements
87,2021-06-05,3982.0,Herbal Supplements
88,2021-06-06,3982.0,Herbal Supplements
89,2021-06-07,5532.0,Herbal Supplements
90,2021-06-08,5241.0,Herbal Supplements
91,2021-06-09,5241.0,Herbal Supplements
92,2021-06-10,6019.0,Herbal Supplements
93,2021-06-11,6019.0,Herbal Supplements
94,2021-06-12,6019.0,Herbal Supplements
95,2021-06-13,5926.0,Herbal Supplements
96,2021-06-14,5926.0,Herbal Supplements
97,2021-06-15,6179.0,Herbal Supplements
98,2021-06-16,6179.0,Herbal Supplements
99,2021-06-17,5507.0,Herbal Supplements
100,2021-06-18,5507.0,Herbal Supplements
101,2021-06-19,5507.0,Herbal Supplements
102,2021-06-20,5747.0,Herbal Supplements
103,2021-06-21,6389.0,Herbal Supplements
104,2021-06-22,5304.0,Herbal Supplements
105,2021-06-23,5304.0,Herbal Supplements
