,date,value,name_B08XZKLGYC
0,2021-03-08,11306.0,Adhesive Bandages
1,2021-03-09,11306.0,Adhesive Bandages
2,2021-03-10,10935.0,Adhesive Bandages
3,2021-03-11,10935.0,Adhesive Bandages
4,2021-03-12,9392.0,Adhesive Bandages
5,2021-03-13,9392.0,Adhesive Bandages
6,2021-03-14,9392.0,Adhesive Bandages
7,2021-03-15,9392.0,Adhesive Bandages
8,2021-03-16,11771.0,Adhesive Bandages
9,2021-03-17,11771.0,Adhesive Bandages
10,2021-03-18,11771.0,Adhesive Bandages
11,2021-03-19,12852.0,Adhesive Bandages
12,2021-03-20,11277.0,Adhesive Bandages
13,2021-03-21,11277.0,Adhesive Bandages
14,2021-03-22,11277.0,Adhesive Bandages
15,2021-03-23,17701.0,Adhesive Bandages
16,2021-03-24,17701.0,Adhesive Bandages
17,2021-03-25,17701.0,Adhesive Bandages
18,2021-03-26,17701.0,Adhesive Bandages
19,2021-03-27,20418.0,Adhesive Bandages
20,2021-03-28,20418.0,Adhesive Bandages
21,2021-03-29,25031.0,Adhesive Bandages
22,2021-03-30,29833.0,Adhesive Bandages
23,2021-03-31,29833.0,Adhesive Bandages
24,2021-04-01,29833.0,Adhesive Bandages
25,2021-04-02,35842.0,Adhesive Bandages
26,2021-04-03,35842.0,Adhesive Bandages
27,2021-04-04,35842.0,Adhesive Bandages
28,2021-04-05,34632.0,Adhesive Bandages
29,2021-04-06,29361.0,Adhesive Bandages
30,2021-04-07,29361.0,Adhesive Bandages
31,2021-04-08,35852.0,Adhesive Bandages
32,2021-04-09,35852.0,Adhesive Bandages
33,2021-04-10,30694.0,Adhesive Bandages
34,2021-04-11,30694.0,Adhesive Bandages
35,2021-04-12,30694.0,Adhesive Bandages
36,2021-04-13,30694.0,Adhesive Bandages
37,2021-04-14,30694.0,Adhesive Bandages
38,2021-04-15,50601.0,Adhesive Bandages
39,2021-04-16,50601.0,Adhesive Bandages
40,2021-04-17,50601.0,Adhesive Bandages
41,2021-04-18,46213.0,Adhesive Bandages
42,2021-04-19,46213.0,Adhesive Bandages
43,2021-04-20,67769.0,Adhesive Bandages
44,2021-04-21,62785.0,Adhesive Bandages
45,2021-04-22,62785.0,Adhesive Bandages
46,2021-04-23,53359.0,Adhesive Bandages
47,2021-04-24,53359.0,Adhesive Bandages
48,2021-04-25,53359.0,Adhesive Bandages
49,2021-04-26,53214.0,Adhesive Bandages
50,2021-04-27,53214.0,Adhesive Bandages
51,2021-04-28,53214.0,Adhesive Bandages
52,2021-04-29,37093.0,Adhesive Bandages
53,2021-04-30,37093.0,Adhesive Bandages
54,2021-05-01,26878.0,Adhesive Bandages
55,2021-05-02,26878.0,Adhesive Bandages
56,2021-05-03,26878.0,Adhesive Bandages
57,2021-05-04,34679.0,Adhesive Bandages
58,2021-05-05,26714.0,Adhesive Bandages
59,2021-05-06,26714.0,Adhesive Bandages
60,2021-05-07,26714.0,Adhesive Bandages
61,2021-05-08,26714.0,Adhesive Bandages
62,2021-05-09,30393.0,Adhesive Bandages
63,2021-05-10,41061.0,Adhesive Bandages
64,2021-05-11,41061.0,Adhesive Bandages
65,2021-05-12,27942.0,Adhesive Bandages
66,2021-05-13,27942.0,Adhesive Bandages
67,2021-05-14,27942.0,Adhesive Bandages
68,2021-05-15,27942.0,Adhesive Bandages
69,2021-05-16,27942.0,Adhesive Bandages
70,2021-05-17,20121.0,Adhesive Bandages
71,2021-05-18,20121.0,Adhesive Bandages
72,2021-05-19,20121.0,Adhesive Bandages
73,2021-05-20,20156.0,Adhesive Bandages
74,2021-05-21,21370.0,Adhesive Bandages
75,2021-05-22,21370.0,Adhesive Bandages
76,2021-05-23,21370.0,Adhesive Bandages
77,2021-05-24,21370.0,Adhesive Bandages
78,2021-05-25,21370.0,Adhesive Bandages
79,2021-05-26,21370.0,Adhesive Bandages
80,2021-05-27,21575.0,Adhesive Bandages
81,2021-05-28,21575.0,Adhesive Bandages
82,2021-05-29,21575.0,Adhesive Bandages
83,2021-05-30,21575.0,Adhesive Bandages
84,2021-05-31,21575.0,Adhesive Bandages
85,2021-06-01,14450.0,Adhesive Bandages
86,2021-06-02,12494.0,Adhesive Bandages
87,2021-06-03,11450.0,Adhesive Bandages
88,2021-06-04,11450.0,Adhesive Bandages
89,2021-06-05,11450.0,Adhesive Bandages
90,2021-06-06,11090.0,Adhesive Bandages
91,2021-06-07,10238.0,Adhesive Bandages
92,2021-06-08,10176.0,Adhesive Bandages
93,2021-06-09,10176.0,Adhesive Bandages
94,2021-06-10,11492.0,Adhesive Bandages
95,2021-06-11,12020.0,Adhesive Bandages
96,2021-06-12,12357.0,Adhesive Bandages
97,2021-06-13,9324.0,Adhesive Bandages
98,2021-06-14,9324.0,Adhesive Bandages
99,2021-06-15,10002.0,Adhesive Bandages
100,2021-06-16,9727.0,Adhesive Bandages
101,2021-06-17,10067.0,Adhesive Bandages
102,2021-06-18,9397.0,Adhesive Bandages
103,2021-06-19,9397.0,Adhesive Bandages
104,2021-06-20,8684.0,Adhesive Bandages
105,2021-06-21,8415.0,Adhesive Bandages
106,2021-06-22,10736.0,Adhesive Bandages
107,2021-06-23,12555.0,Adhesive Bandages
108,2021-06-24,11484.0,Adhesive Bandages
109,2021-06-25,11484.0,Adhesive Bandages
110,2021-06-26,9979.0,Adhesive Bandages
111,2021-06-27,9979.0,Adhesive Bandages
112,2021-06-28,8811.0,Adhesive Bandages
113,2021-06-29,7691.0,Adhesive Bandages
114,2021-06-30,7858.0,Adhesive Bandages
115,2021-07-01,7730.0,Adhesive Bandages
116,2021-07-02,7236.0,Adhesive Bandages
117,2021-07-03,7236.0,Adhesive Bandages
118,2021-07-04,10405.0,Adhesive Bandages
119,2021-07-05,9971.0,Adhesive Bandages
120,2021-07-06,8914.0,Adhesive Bandages
121,2021-07-07,8914.0,Adhesive Bandages
122,2021-07-08,8828.0,Adhesive Bandages
123,2021-07-09,8828.0,Adhesive Bandages
124,2021-07-10,7630.0,Adhesive Bandages
