,date,value,name_B08Y5DH38H
0,2021-03-13,1609.0,Unfinished Wood
1,2021-03-14,1609.0,Unfinished Wood
2,2021-03-15,1583.0,Unfinished Wood
3,2021-03-16,2040.0,Unfinished Wood
4,2021-03-17,2040.0,Unfinished Wood
5,2021-03-18,1558.0,Unfinished Wood
6,2021-03-19,1505.0,Unfinished Wood
7,2021-03-20,1311.0,Unfinished Wood
8,2021-03-21,1311.0,Unfinished Wood
9,2021-03-22,1243.0,Unfinished Wood
10,2021-03-23,1373.0,Unfinished Wood
11,2021-03-24,1648.0,Unfinished Wood
12,2021-03-25,1514.0,Unfinished Wood
13,2021-03-26,1514.0,Unfinished Wood
14,2021-03-27,1553.0,Unfinished Wood
15,2021-03-28,1285.0,Unfinished Wood
16,2021-03-29,1285.0,Unfinished Wood
17,2021-03-30,1553.0,Unfinished Wood
18,2021-03-31,1553.0,Unfinished Wood
19,2021-04-01,1553.0,Unfinished Wood
20,2021-04-02,1310.0,Unfinished Wood
21,2021-04-03,1310.0,Unfinished Wood
22,2021-04-04,1310.0,Unfinished Wood
23,2021-04-05,1933.0,Unfinished Wood
24,2021-04-06,1933.0,Unfinished Wood
25,2021-04-07,1497.0,Unfinished Wood
26,2021-04-08,1755.0,Unfinished Wood
27,2021-04-09,1359.0,Unfinished Wood
28,2021-04-10,1359.0,Unfinished Wood
29,2021-04-11,1531.0,Unfinished Wood
30,2021-04-12,1531.0,Unfinished Wood
31,2021-04-13,1531.0,Unfinished Wood
32,2021-04-14,1028.0,Unfinished Wood
33,2021-04-15,1416.0,Unfinished Wood
34,2021-04-16,1416.0,Unfinished Wood
35,2021-04-17,1416.0,Unfinished Wood
36,2021-04-18,1416.0,Unfinished Wood
37,2021-04-19,1189.0,Unfinished Wood
38,2021-04-20,1189.0,Unfinished Wood
39,2021-04-21,1539.0,Unfinished Wood
40,2021-04-22,1539.0,Unfinished Wood
41,2021-04-23,1539.0,Unfinished Wood
42,2021-04-24,1464.0,Unfinished Wood
43,2021-04-25,1464.0,Unfinished Wood
44,2021-04-26,1477.0,Unfinished Wood
45,2021-04-27,1477.0,Unfinished Wood
46,2021-04-28,1742.0,Unfinished Wood
47,2021-04-29,1742.0,Unfinished Wood
48,2021-04-30,1742.0,Unfinished Wood
49,2021-05-01,1742.0,Unfinished Wood
50,2021-05-02,2170.0,Unfinished Wood
51,2021-05-03,2170.0,Unfinished Wood
52,2021-05-04,2015.0,Unfinished Wood
53,2021-05-05,2015.0,Unfinished Wood
54,2021-05-06,1719.0,Unfinished Wood
55,2021-05-07,1719.0,Unfinished Wood
56,2021-05-08,2270.0,Unfinished Wood
57,2021-05-09,2270.0,Unfinished Wood
58,2021-05-10,1606.0,Unfinished Wood
59,2021-05-11,1789.0,Unfinished Wood
60,2021-05-12,1789.0,Unfinished Wood
61,2021-05-13,1803.0,Unfinished Wood
62,2021-05-14,1803.0,Unfinished Wood
63,2021-05-15,1735.0,Unfinished Wood
64,2021-05-16,1735.0,Unfinished Wood
65,2021-05-17,1763.0,Unfinished Wood
66,2021-05-18,2522.0,Unfinished Wood
67,2021-05-19,2522.0,Unfinished Wood
68,2021-05-20,2108.0,Unfinished Wood
69,2021-05-21,1957.0,Unfinished Wood
70,2021-05-22,2344.0,Unfinished Wood
71,2021-05-23,2344.0,Unfinished Wood
72,2021-05-24,2825.0,Unfinished Wood
73,2021-05-25,3478.0,Unfinished Wood
74,2021-05-26,3478.0,Unfinished Wood
75,2021-05-27,2250.0,Unfinished Wood
76,2021-05-28,2559.0,Unfinished Wood
77,2021-05-29,3169.0,Unfinished Wood
78,2021-05-30,3169.0,Unfinished Wood
79,2021-05-31,3169.0,Unfinished Wood
80,2021-06-01,3485.0,Unfinished Wood
81,2021-06-02,2948.0,Unfinished Wood
82,2021-06-03,2294.0,Unfinished Wood
83,2021-06-04,2294.0,Unfinished Wood
84,2021-06-05,2382.0,Unfinished Wood
85,2021-06-06,2072.0,Unfinished Wood
86,2021-06-07,2323.0,Unfinished Wood
87,2021-06-08,2323.0,Unfinished Wood
88,2021-06-09,2480.0,Unfinished Wood
89,2021-06-10,2480.0,Unfinished Wood
90,2021-06-11,2891.0,Unfinished Wood
91,2021-06-12,2891.0,Unfinished Wood
92,2021-06-13,3794.0,Unfinished Wood
93,2021-06-14,3422.0,Unfinished Wood
94,2021-06-15,3422.0,Unfinished Wood
95,2021-06-16,3459.0,Unfinished Wood
96,2021-06-17,3805.0,Unfinished Wood
97,2021-06-18,3805.0,Unfinished Wood
98,2021-06-19,5998.0,Unfinished Wood
99,2021-06-20,5998.0,Unfinished Wood
100,2021-06-21,4571.0,Unfinished Wood
101,2021-06-22,2876.0,Unfinished Wood
102,2021-06-23,2898.0,Unfinished Wood
103,2021-06-24,2504.0,Unfinished Wood
104,2021-06-25,2609.0,Unfinished Wood
105,2021-06-26,2789.0,Unfinished Wood
106,2021-06-27,4065.0,Unfinished Wood
107,2021-06-28,4108.0,Unfinished Wood
108,2021-06-29,3438.0,Unfinished Wood
109,2021-06-30,2767.0,Unfinished Wood
110,2021-07-01,3770.0,Unfinished Wood
111,2021-07-02,2514.0,Unfinished Wood
112,2021-07-03,2732.0,Unfinished Wood
113,2021-07-04,2732.0,Unfinished Wood
114,2021-07-05,4052.0,Unfinished Wood
115,2021-07-06,4976.0,Unfinished Wood
116,2021-07-07,4521.0,Unfinished Wood
117,2021-07-08,3026.0,Unfinished Wood
118,2021-07-09,3026.0,Unfinished Wood
119,2021-07-10,3331.0,Unfinished Wood
