,date,value,name_B08Y8QGCGY
0,2021-03-25,110352.0,Resin Casting Molds
1,2021-03-26,53217.0,Resin Casting Molds
2,2021-03-27,14168.0,Resin Casting Molds
3,2021-03-28,19862.0,Resin Casting Molds
4,2021-03-29,12723.0,Resin Casting Molds
5,2021-03-30,10058.0,Resin Casting Molds
6,2021-03-31,10964.0,Resin Casting Molds
7,2021-04-01,27302.0,Resin Casting Molds
8,2021-04-02,27816.0,Resin Casting Molds
9,2021-04-03,27816.0,Resin Casting Molds
10,2021-04-04,51582.0,Resin Casting Molds
11,2021-04-05,106674.0,Resin Casting Molds
12,2021-04-06,53937.0,Resin Casting Molds
13,2021-04-07,42870.0,Resin Casting Molds
14,2021-04-08,22606.0,Resin Casting Molds
15,2021-04-09,17843.0,Resin Casting Molds
16,2021-04-10,22176.0,Resin Casting Molds
17,2021-04-11,24728.0,Resin Casting Molds
18,2021-04-12,22347.0,Resin Casting Molds
19,2021-04-13,24221.0,Resin Casting Molds
20,2021-04-14,31150.0,Resin Casting Molds
21,2021-04-15,18800.0,Resin Casting Molds
22,2021-04-16,18870.0,Resin Casting Molds
23,2021-04-17,19720.0,Resin Casting Molds
24,2021-04-18,16868.0,Resin Casting Molds
25,2021-04-19,28286.0,Resin Casting Molds
26,2021-04-20,34534.0,Resin Casting Molds
27,2021-04-21,19229.0,Resin Casting Molds
28,2021-04-22,18810.0,Resin Casting Molds
29,2021-04-23,7448.0,Resin Casting Molds
30,2021-04-24,8493.0,Resin Casting Molds
31,2021-04-25,8561.0,Resin Casting Molds
32,2021-04-26,9062.0,Resin Casting Molds
33,2021-04-27,8521.0,Resin Casting Molds
34,2021-04-28,4223.0,Resin Casting Molds
35,2021-04-29,4553.0,Resin Casting Molds
36,2021-04-30,5277.0,Resin Casting Molds
37,2021-05-01,6059.0,Resin Casting Molds
38,2021-05-02,6283.0,Resin Casting Molds
39,2021-05-03,7405.0,Resin Casting Molds
40,2021-05-04,11096.0,Resin Casting Molds
41,2021-05-05,13470.0,Resin Casting Molds
42,2021-05-06,9840.0,Resin Casting Molds
43,2021-05-07,6020.0,Resin Casting Molds
44,2021-05-08,5284.0,Resin Casting Molds
45,2021-05-09,4227.0,Resin Casting Molds
46,2021-05-10,5900.0,Resin Casting Molds
47,2021-05-11,5723.0,Resin Casting Molds
48,2021-05-12,5716.0,Resin Casting Molds
49,2021-05-13,5123.0,Resin Casting Molds
50,2021-05-14,4960.0,Resin Casting Molds
51,2021-05-15,5331.0,Resin Casting Molds
52,2021-05-16,4450.0,Resin Casting Molds
53,2021-05-17,4685.0,Resin Casting Molds
54,2021-05-18,5263.0,Resin Casting Molds
55,2021-05-19,3347.0,Resin Casting Molds
56,2021-05-20,4556.0,Resin Casting Molds
57,2021-05-21,3240.0,Resin Casting Molds
58,2021-05-22,2751.0,Resin Casting Molds
59,2021-05-23,2432.0,Resin Casting Molds
60,2021-05-24,2530.0,Resin Casting Molds
61,2021-05-25,2410.0,Resin Casting Molds
62,2021-05-26,2002.0,Resin Casting Molds
63,2021-05-27,1999.0,Resin Casting Molds
64,2021-05-28,2091.0,Resin Casting Molds
65,2021-05-29,2045.0,Resin Casting Molds
66,2021-05-30,2328.0,Resin Casting Molds
67,2021-05-31,2288.0,Resin Casting Molds
68,2021-06-01,2079.0,Resin Casting Molds
69,2021-06-02,2304.0,Resin Casting Molds
70,2021-06-03,2020.0,Resin Casting Molds
71,2021-06-04,1756.0,Resin Casting Molds
72,2021-06-05,1936.0,Resin Casting Molds
73,2021-06-06,2090.0,Resin Casting Molds
74,2021-06-07,2038.0,Resin Casting Molds
75,2021-06-08,2401.0,Resin Casting Molds
76,2021-06-09,2177.0,Resin Casting Molds
77,2021-06-10,1864.0,Resin Casting Molds
78,2021-06-11,2170.0,Resin Casting Molds
79,2021-06-12,1751.0,Resin Casting Molds
80,2021-06-13,1626.0,Resin Casting Molds
81,2021-06-14,1620.0,Resin Casting Molds
82,2021-06-15,2081.0,Resin Casting Molds
83,2021-06-16,1955.0,Resin Casting Molds
84,2021-06-17,1899.0,Resin Casting Molds
85,2021-06-18,2082.0,Resin Casting Molds
86,2021-06-19,1749.0,Resin Casting Molds
87,2021-06-20,1498.0,Resin Casting Molds
88,2021-06-21,2750.0,Resin Casting Molds
89,2021-06-22,2606.0,Resin Casting Molds
90,2021-06-23,2399.0,Resin Casting Molds
91,2021-06-24,2587.0,Resin Casting Molds
92,2021-06-25,2294.0,Resin Casting Molds
93,2021-06-26,2204.0,Resin Casting Molds
94,2021-06-27,2139.0,Resin Casting Molds
95,2021-06-28,2543.0,Resin Casting Molds
96,2021-06-29,2474.0,Resin Casting Molds
97,2021-06-30,2347.0,Resin Casting Molds
98,2021-07-01,2315.0,Resin Casting Molds
99,2021-07-02,1932.0,Resin Casting Molds
100,2021-07-03,1578.0,Resin Casting Molds
101,2021-07-04,2244.0,Resin Casting Molds
102,2021-07-05,1938.0,Resin Casting Molds
103,2021-07-06,2696.0,Resin Casting Molds
104,2021-07-07,2129.0,Resin Casting Molds
105,2021-07-08,2374.0,Resin Casting Molds
106,2021-07-09,1909.0,Resin Casting Molds
107,2021-07-10,2229.0,Resin Casting Molds
