,date,value,name_B08YJ947FT
0,2021-03-17,18366.0,LED Bulbs
1,2021-03-18,18366.0,LED Bulbs
2,2021-03-19,13826.0,LED Bulbs
3,2021-03-20,13826.0,LED Bulbs
4,2021-03-21,13826.0,LED Bulbs
5,2021-03-22,20981.0,LED Bulbs
6,2021-03-23,18377.0,LED Bulbs
7,2021-03-24,18377.0,LED Bulbs
8,2021-03-25,18377.0,LED Bulbs
9,2021-03-26,18377.0,LED Bulbs
10,2021-03-27,18377.0,LED Bulbs
11,2021-03-28,18377.0,LED Bulbs
12,2021-03-29,15653.0,LED Bulbs
13,2021-03-30,19423.0,LED Bulbs
14,2021-03-31,19423.0,LED Bulbs
15,2021-04-01,22739.0,LED Bulbs
16,2021-04-02,22742.0,LED Bulbs
17,2021-04-03,22742.0,LED Bulbs
18,2021-04-04,22742.0,LED Bulbs
19,2021-04-05,26808.0,LED Bulbs
20,2021-04-06,26808.0,LED Bulbs
21,2021-04-07,26808.0,LED Bulbs
22,2021-04-08,26808.0,LED Bulbs
23,2021-04-09,27894.0,LED Bulbs
24,2021-04-10,27894.0,LED Bulbs
25,2021-04-11,27894.0,LED Bulbs
26,2021-04-12,27894.0,LED Bulbs
27,2021-04-13,27894.0,LED Bulbs
28,2021-04-14,23128.0,LED Bulbs
29,2021-04-15,23128.0,LED Bulbs
30,2021-04-16,23128.0,LED Bulbs
31,2021-04-17,23128.0,LED Bulbs
32,2021-04-18,32650.0,LED Bulbs
33,2021-04-19,32650.0,LED Bulbs
34,2021-04-20,32650.0,LED Bulbs
35,2021-04-21,16407.0,LED Bulbs
36,2021-04-22,16407.0,LED Bulbs
37,2021-04-23,16407.0,LED Bulbs
38,2021-04-24,16407.0,LED Bulbs
39,2021-04-25,16407.0,LED Bulbs
40,2021-04-26,11157.0,LED Bulbs
41,2021-04-27,11157.0,LED Bulbs
42,2021-04-28,16836.0,LED Bulbs
43,2021-04-29,16836.0,LED Bulbs
44,2021-04-30,16836.0,LED Bulbs
45,2021-05-01,16836.0,LED Bulbs
46,2021-05-02,26232.0,LED Bulbs
47,2021-05-03,26232.0,LED Bulbs
48,2021-05-04,26232.0,LED Bulbs
49,2021-05-05,26232.0,LED Bulbs
50,2021-05-06,26232.0,LED Bulbs
51,2021-05-07,26232.0,LED Bulbs
52,2021-05-08,19860.0,LED Bulbs
53,2021-05-09,19860.0,LED Bulbs
54,2021-05-10,19860.0,LED Bulbs
55,2021-05-11,19860.0,LED Bulbs
56,2021-05-12,17933.0,LED Bulbs
57,2021-05-13,17933.0,LED Bulbs
58,2021-05-14,17933.0,LED Bulbs
59,2021-05-15,17933.0,LED Bulbs
60,2021-05-16,17933.0,LED Bulbs
61,2021-05-17,19624.0,LED Bulbs
62,2021-05-18,13736.0,LED Bulbs
63,2021-05-19,13736.0,LED Bulbs
64,2021-05-20,11530.0,LED Bulbs
65,2021-05-21,11530.0,LED Bulbs
66,2021-05-22,11530.0,LED Bulbs
67,2021-05-23,11530.0,LED Bulbs
68,2021-05-24,8332.0,LED Bulbs
69,2021-05-25,11119.0,LED Bulbs
70,2021-05-26,11119.0,LED Bulbs
71,2021-05-27,11119.0,LED Bulbs
72,2021-05-28,12113.0,LED Bulbs
73,2021-05-29,12113.0,LED Bulbs
74,2021-05-30,12113.0,LED Bulbs
75,2021-05-31,12113.0,LED Bulbs
76,2021-06-01,12113.0,LED Bulbs
77,2021-06-02,13102.0,LED Bulbs
78,2021-06-03,13102.0,LED Bulbs
79,2021-06-04,13102.0,LED Bulbs
80,2021-06-05,13102.0,LED Bulbs
81,2021-06-06,13102.0,LED Bulbs
82,2021-06-07,13102.0,LED Bulbs
83,2021-06-08,11751.0,LED Bulbs
84,2021-06-09,11751.0,LED Bulbs
85,2021-06-10,11751.0,LED Bulbs
86,2021-06-11,11751.0,LED Bulbs
87,2021-06-12,11751.0,LED Bulbs
88,2021-06-13,11751.0,LED Bulbs
89,2021-06-14,9219.0,LED Bulbs
90,2021-06-15,10153.0,LED Bulbs
91,2021-06-16,10972.0,LED Bulbs
92,2021-06-17,10972.0,LED Bulbs
93,2021-06-18,9377.0,LED Bulbs
94,2021-06-19,9377.0,LED Bulbs
95,2021-06-20,9033.0,LED Bulbs
96,2021-06-21,9033.0,LED Bulbs
97,2021-06-22,10005.0,LED Bulbs
98,2021-06-23,10005.0,LED Bulbs
99,2021-06-24,10005.0,LED Bulbs
100,2021-06-25,12561.0,LED Bulbs
101,2021-06-26,11664.0,LED Bulbs
102,2021-06-27,11664.0,LED Bulbs
103,2021-06-28,9194.0,LED Bulbs
104,2021-06-29,9495.0,LED Bulbs
105,2021-06-30,10335.0,LED Bulbs
106,2021-07-01,10314.0,LED Bulbs
107,2021-07-02,10314.0,LED Bulbs
108,2021-07-03,10314.0,LED Bulbs
109,2021-07-04,10314.0,LED Bulbs
110,2021-07-05,14245.0,LED Bulbs
111,2021-07-06,14245.0,LED Bulbs
112,2021-07-07,10864.0,LED Bulbs
113,2021-07-08,10864.0,LED Bulbs
114,2021-07-09,14631.0,LED Bulbs
115,2021-07-10,14931.0,LED Bulbs
116,2021-07-11,13781.0,LED Bulbs
