,date,value,name_B08YJV3BQV
0,2021-03-20,100012.0,Omega 3-6-9
1,2021-03-21,100012.0,Omega 3-6-9
2,2021-03-22,100012.0,Omega 3-6-9
3,2021-03-23,100012.0,Omega 3-6-9
4,2021-03-24,100012.0,Omega 3-6-9
5,2021-03-25,39765.0,Omega 3-6-9
6,2021-03-26,39765.0,Omega 3-6-9
7,2021-03-27,39765.0,Omega 3-6-9
8,2021-03-28,39765.0,Omega 3-6-9
9,2021-03-29,39765.0,Omega 3-6-9
10,2021-03-30,32217.0,Omega 3-6-9
11,2021-03-31,32217.0,Omega 3-6-9
12,2021-04-01,32217.0,Omega 3-6-9
13,2021-04-02,32217.0,Omega 3-6-9
14,2021-04-03,32217.0,Omega 3-6-9
15,2021-04-04,38871.0,Omega 3-6-9
16,2021-04-05,38871.0,Omega 3-6-9
17,2021-04-06,38871.0,Omega 3-6-9
18,2021-04-07,38871.0,Omega 3-6-9
19,2021-04-08,38871.0,Omega 3-6-9
20,2021-04-09,38871.0,Omega 3-6-9
21,2021-04-10,38871.0,Omega 3-6-9
22,2021-04-11,416938.0,Omega 3-6-9
23,2021-04-12,416938.0,Omega 3-6-9
24,2021-04-13,416938.0,Omega 3-6-9
25,2021-04-14,416938.0,Omega 3-6-9
26,2021-04-15,416938.0,Omega 3-6-9
27,2021-04-16,416938.0,Omega 3-6-9
28,2021-04-17,416938.0,Omega 3-6-9
29,2021-04-18,416938.0,Omega 3-6-9
30,2021-04-19,416938.0,Omega 3-6-9
31,2021-04-20,416938.0,Omega 3-6-9
32,2021-04-21,235703.0,Omega 3-6-9
33,2021-04-22,235703.0,Omega 3-6-9
34,2021-04-23,235703.0,Omega 3-6-9
35,2021-04-24,191752.0,Omega 3-6-9
36,2021-04-25,191752.0,Omega 3-6-9
37,2021-04-26,191752.0,Omega 3-6-9
38,2021-04-27,191752.0,Omega 3-6-9
39,2021-04-28,293844.0,Omega 3-6-9
40,2021-04-29,293844.0,Omega 3-6-9
41,2021-04-30,293844.0,Omega 3-6-9
42,2021-05-01,293844.0,Omega 3-6-9
43,2021-05-02,293844.0,Omega 3-6-9
44,2021-05-03,293844.0,Omega 3-6-9
45,2021-05-04,293844.0,Omega 3-6-9
46,2021-05-05,293844.0,Omega 3-6-9
47,2021-05-06,293844.0,Omega 3-6-9
48,2021-05-07,293844.0,Omega 3-6-9
49,2021-05-08,293844.0,Omega 3-6-9
50,2021-05-09,293844.0,Omega 3-6-9
51,2021-05-10,293844.0,Omega 3-6-9
52,2021-05-11,293844.0,Omega 3-6-9
53,2021-05-12,293844.0,Omega 3-6-9
54,2021-05-13,293844.0,Omega 3-6-9
55,2021-05-14,360581.0,Omega 3-6-9
56,2021-05-15,360581.0,Omega 3-6-9
57,2021-05-16,360581.0,Omega 3-6-9
58,2021-05-17,360581.0,Omega 3-6-9
59,2021-05-18,360581.0,Omega 3-6-9
60,2021-05-19,360581.0,Omega 3-6-9
61,2021-05-20,360581.0,Omega 3-6-9
62,2021-05-21,360581.0,Omega 3-6-9
63,2021-05-22,400354.0,Omega 3-6-9
64,2021-05-23,400354.0,Omega 3-6-9
65,2021-05-24,400354.0,Omega 3-6-9
66,2021-05-25,400354.0,Omega 3-6-9
67,2021-05-26,400354.0,Omega 3-6-9
68,2021-05-27,400354.0,Omega 3-6-9
69,2021-05-28,405977.0,Omega 3-6-9
70,2021-05-29,405977.0,Omega 3-6-9
71,2021-05-30,27547.0,Omega 3-6-9
72,2021-05-31,27547.0,Omega 3-6-9
73,2021-06-01,27547.0,Omega 3-6-9
74,2021-06-02,27547.0,Omega 3-6-9
75,2021-06-03,27547.0,Omega 3-6-9
76,2021-06-04,19978.0,Omega 3-6-9
77,2021-06-05,19978.0,Omega 3-6-9
78,2021-06-06,19978.0,Omega 3-6-9
79,2021-06-07,19978.0,Omega 3-6-9
80,2021-06-08,19978.0,Omega 3-6-9
81,2021-06-09,15468.0,Omega 3-6-9
82,2021-06-10,15468.0,Omega 3-6-9
83,2021-06-11,16812.0,Omega 3-6-9
84,2021-06-12,16812.0,Omega 3-6-9
85,2021-06-13,16812.0,Omega 3-6-9
86,2021-06-14,16134.0,Omega 3-6-9
87,2021-06-15,16134.0,Omega 3-6-9
88,2021-06-16,17621.0,Omega 3-6-9
89,2021-06-17,17621.0,Omega 3-6-9
90,2021-06-18,17621.0,Omega 3-6-9
91,2021-06-19,19218.0,Omega 3-6-9
92,2021-06-20,19218.0,Omega 3-6-9
93,2021-06-21,19218.0,Omega 3-6-9
94,2021-06-22,15609.0,Omega 3-6-9
95,2021-06-23,14315.0,Omega 3-6-9
96,2021-06-24,14315.0,Omega 3-6-9
97,2021-06-25,14315.0,Omega 3-6-9
98,2021-06-26,20008.0,Omega 3-6-9
99,2021-06-27,20008.0,Omega 3-6-9
100,2021-06-28,20539.0,Omega 3-6-9
101,2021-06-29,24957.0,Omega 3-6-9
102,2021-06-30,24957.0,Omega 3-6-9
103,2021-07-01,26719.0,Omega 3-6-9
104,2021-07-02,26719.0,Omega 3-6-9
105,2021-07-03,26719.0,Omega 3-6-9
106,2021-07-04,26719.0,Omega 3-6-9
107,2021-07-05,26719.0,Omega 3-6-9
108,2021-07-06,26719.0,Omega 3-6-9
109,2021-07-07,28834.0,Omega 3-6-9
110,2021-07-08,28834.0,Omega 3-6-9
111,2021-07-09,26699.0,Omega 3-6-9
112,2021-07-10,20392.0,Omega 3-6-9
