,date,value,name_B08YY43DN3
0,2021-03-25,31466.0,Outdoor Thermometers
1,2021-03-26,31466.0,Outdoor Thermometers
2,2021-03-27,17817.0,Outdoor Thermometers
3,2021-03-28,17817.0,Outdoor Thermometers
4,2021-03-29,17817.0,Outdoor Thermometers
5,2021-03-30,17817.0,Outdoor Thermometers
6,2021-03-31,17817.0,Outdoor Thermometers
7,2021-04-01,17817.0,Outdoor Thermometers
8,2021-04-02,17817.0,Outdoor Thermometers
9,2021-04-03,24508.0,Outdoor Thermometers
10,2021-04-04,24508.0,Outdoor Thermometers
11,2021-04-05,24508.0,Outdoor Thermometers
12,2021-04-06,24508.0,Outdoor Thermometers
13,2021-04-07,14947.0,Outdoor Thermometers
14,2021-04-08,14947.0,Outdoor Thermometers
15,2021-04-09,16497.0,Outdoor Thermometers
16,2021-04-10,16497.0,Outdoor Thermometers
17,2021-04-11,16497.0,Outdoor Thermometers
18,2021-04-12,16497.0,Outdoor Thermometers
19,2021-04-13,17101.0,Outdoor Thermometers
20,2021-04-14,17101.0,Outdoor Thermometers
21,2021-04-15,17101.0,Outdoor Thermometers
22,2021-04-16,18297.0,Outdoor Thermometers
23,2021-04-17,18297.0,Outdoor Thermometers
24,2021-04-18,18297.0,Outdoor Thermometers
25,2021-04-19,17480.0,Outdoor Thermometers
26,2021-04-20,17480.0,Outdoor Thermometers
27,2021-04-21,14544.0,Outdoor Thermometers
28,2021-04-22,14544.0,Outdoor Thermometers
29,2021-04-23,15980.0,Outdoor Thermometers
30,2021-04-24,15980.0,Outdoor Thermometers
31,2021-04-25,15980.0,Outdoor Thermometers
32,2021-04-26,17836.0,Outdoor Thermometers
33,2021-04-27,17836.0,Outdoor Thermometers
34,2021-04-28,17836.0,Outdoor Thermometers
35,2021-04-29,17836.0,Outdoor Thermometers
36,2021-04-30,17836.0,Outdoor Thermometers
37,2021-05-01,18374.0,Outdoor Thermometers
38,2021-05-02,18374.0,Outdoor Thermometers
39,2021-05-03,18374.0,Outdoor Thermometers
40,2021-05-04,18374.0,Outdoor Thermometers
41,2021-05-05,18374.0,Outdoor Thermometers
42,2021-05-06,23768.0,Outdoor Thermometers
43,2021-05-07,23768.0,Outdoor Thermometers
44,2021-05-08,23768.0,Outdoor Thermometers
45,2021-05-09,20160.0,Outdoor Thermometers
46,2021-05-10,20160.0,Outdoor Thermometers
47,2021-05-11,25817.0,Outdoor Thermometers
48,2021-05-12,25817.0,Outdoor Thermometers
49,2021-05-13,25817.0,Outdoor Thermometers
50,2021-05-14,24120.0,Outdoor Thermometers
51,2021-05-15,24120.0,Outdoor Thermometers
52,2021-05-16,24120.0,Outdoor Thermometers
53,2021-05-17,21153.0,Outdoor Thermometers
54,2021-05-18,21153.0,Outdoor Thermometers
55,2021-05-19,21153.0,Outdoor Thermometers
56,2021-05-20,25155.0,Outdoor Thermometers
57,2021-05-21,25155.0,Outdoor Thermometers
58,2021-05-22,25155.0,Outdoor Thermometers
59,2021-05-23,17976.0,Outdoor Thermometers
60,2021-05-24,17976.0,Outdoor Thermometers
61,2021-05-25,17976.0,Outdoor Thermometers
62,2021-05-26,17976.0,Outdoor Thermometers
63,2021-05-27,19134.0,Outdoor Thermometers
64,2021-05-28,19134.0,Outdoor Thermometers
65,2021-05-29,19134.0,Outdoor Thermometers
66,2021-05-30,19134.0,Outdoor Thermometers
67,2021-05-31,12529.0,Outdoor Thermometers
68,2021-06-01,12529.0,Outdoor Thermometers
69,2021-06-02,14633.0,Outdoor Thermometers
70,2021-06-03,14633.0,Outdoor Thermometers
71,2021-06-04,14633.0,Outdoor Thermometers
72,2021-06-05,12317.0,Outdoor Thermometers
73,2021-06-06,12317.0,Outdoor Thermometers
74,2021-06-07,12317.0,Outdoor Thermometers
75,2021-06-08,12317.0,Outdoor Thermometers
76,2021-06-09,7999.0,Outdoor Thermometers
77,2021-06-10,9631.0,Outdoor Thermometers
78,2021-06-11,9631.0,Outdoor Thermometers
79,2021-06-12,9631.0,Outdoor Thermometers
80,2021-06-13,9631.0,Outdoor Thermometers
81,2021-06-14,7260.0,Outdoor Thermometers
82,2021-06-15,7260.0,Outdoor Thermometers
83,2021-06-16,5245.0,Outdoor Thermometers
84,2021-06-17,5245.0,Outdoor Thermometers
85,2021-06-18,4874.0,Outdoor Thermometers
86,2021-06-19,4874.0,Outdoor Thermometers
87,2021-06-20,4874.0,Outdoor Thermometers
88,2021-06-21,4611.0,Outdoor Thermometers
89,2021-06-22,4675.0,Outdoor Thermometers
90,2021-06-23,4675.0,Outdoor Thermometers
91,2021-06-24,4675.0,Outdoor Thermometers
92,2021-06-25,5326.0,Outdoor Thermometers
93,2021-06-26,5326.0,Outdoor Thermometers
94,2021-06-27,3991.0,Outdoor Thermometers
95,2021-06-28,3991.0,Outdoor Thermometers
96,2021-06-29,2861.0,Outdoor Thermometers
97,2021-06-30,3645.0,Outdoor Thermometers
98,2021-07-01,3645.0,Outdoor Thermometers
99,2021-07-02,5239.0,Outdoor Thermometers
100,2021-07-03,6362.0,Outdoor Thermometers
101,2021-07-04,6362.0,Outdoor Thermometers
102,2021-07-05,6053.0,Outdoor Thermometers
103,2021-07-06,6581.0,Outdoor Thermometers
104,2021-07-07,6425.0,Outdoor Thermometers
105,2021-07-08,6425.0,Outdoor Thermometers
106,2021-07-09,11161.0,Outdoor Thermometers
107,2021-07-10,11161.0,Outdoor Thermometers
108,2021-07-11,8181.0,Outdoor Thermometers
