,date,value,name_B08ZFQQ28G
0,2021-03-26,388275,Beach Balls
1,2021-03-27,136272,Beach Balls
2,2021-03-28,154066,Beach Balls
3,2021-03-29,99832,Beach Balls
4,2021-03-30,97364,Beach Balls
5,2021-03-31,123753,Beach Balls
6,2021-04-01,88066,Beach Balls
7,2021-04-02,139174,Beach Balls
8,2021-04-03,155289,Beach Balls
9,2021-04-04,71244,Beach Balls
10,2021-04-05,54697,Beach Balls
11,2021-04-06,43535,Beach Balls
12,2021-04-07,37515,Beach Balls
13,2021-04-08,22793,Beach Balls
14,2021-04-09,19256,Beach Balls
15,2021-04-10,22267,Beach Balls
16,2021-04-11,18469,Beach Balls
17,2021-04-12,13948,Beach Balls
18,2021-04-13,16051,Beach Balls
19,2021-04-14,16075,Beach Balls
20,2021-04-15,14280,Beach Balls
21,2021-04-16,12505,Beach Balls
22,2021-04-17,17832,Beach Balls
23,2021-04-18,10035,Beach Balls
24,2021-04-19,11626,Beach Balls
25,2021-04-20,10878,Beach Balls
26,2021-04-21,10993,Beach Balls
27,2021-04-22,9596,Beach Balls
28,2021-04-23,11217,Beach Balls
29,2021-04-24,11241,Beach Balls
30,2021-04-25,12923,Beach Balls
31,2021-04-26,12994,Beach Balls
32,2021-04-27,9675,Beach Balls
33,2021-04-28,9735,Beach Balls
34,2021-04-29,9970,Beach Balls
35,2021-04-30,11941,Beach Balls
36,2021-05-01,8463,Beach Balls
37,2021-05-02,7882,Beach Balls
38,2021-05-03,9577,Beach Balls
39,2021-05-04,8957,Beach Balls
40,2021-05-05,9507,Beach Balls
41,2021-05-06,9368,Beach Balls
42,2021-05-07,8347,Beach Balls
43,2021-05-08,9839,Beach Balls
44,2021-05-09,8593,Beach Balls
45,2021-05-10,10454,Beach Balls
46,2021-05-11,6179,Beach Balls
47,2021-05-12,6438,Beach Balls
48,2021-05-13,5695,Beach Balls
49,2021-05-14,6476,Beach Balls
50,2021-05-15,7450,Beach Balls
51,2021-05-16,10779,Beach Balls
52,2021-05-17,6686,Beach Balls
53,2021-05-18,5854,Beach Balls
54,2021-05-19,5947,Beach Balls
55,2021-05-20,7170,Beach Balls
56,2021-05-21,8607,Beach Balls
57,2021-05-22,9124,Beach Balls
58,2021-05-23,8872,Beach Balls
59,2021-05-24,7949,Beach Balls
60,2021-05-25,8160,Beach Balls
61,2021-05-26,7290,Beach Balls
62,2021-05-27,5313,Beach Balls
63,2021-05-28,6455,Beach Balls
64,2021-05-29,7593,Beach Balls
65,2021-05-30,8375,Beach Balls
66,2021-05-31,7639,Beach Balls
67,2021-06-01,9383,Beach Balls
68,2021-06-02,7988,Beach Balls
69,2021-06-03,8472,Beach Balls
70,2021-06-04,9660,Beach Balls
71,2021-06-05,10293,Beach Balls
72,2021-06-06,11554,Beach Balls
73,2021-06-07,8720,Beach Balls
74,2021-06-08,8383,Beach Balls
75,2021-06-09,6840,Beach Balls
76,2021-06-10,9247,Beach Balls
77,2021-06-11,12305,Beach Balls
78,2021-06-12,18004,Beach Balls
79,2021-06-13,19556,Beach Balls
80,2021-06-14,17704,Beach Balls
81,2021-06-15,17114,Beach Balls
82,2021-06-16,22870,Beach Balls
83,2021-06-17,28241,Beach Balls
84,2021-06-18,24181,Beach Balls
85,2021-06-19,26350,Beach Balls
86,2021-06-20,27680,Beach Balls
87,2021-06-21,19796,Beach Balls
88,2021-06-22,30675,Beach Balls
89,2021-06-23,43846,Beach Balls
90,2021-06-24,44334,Beach Balls
91,2021-06-25,53349,Beach Balls
92,2021-06-26,46655,Beach Balls
93,2021-06-27,44724,Beach Balls
94,2021-06-28,41531,Beach Balls
95,2021-06-29,34745,Beach Balls
96,2021-06-30,46438,Beach Balls
97,2021-07-01,50035,Beach Balls
98,2021-07-02,50035,Beach Balls
99,2021-07-03,46316,Beach Balls
100,2021-07-04,56895,Beach Balls
101,2021-07-05,43883,Beach Balls
102,2021-07-06,48701,Beach Balls
103,2021-07-07,49398,Beach Balls
104,2021-07-08,48472,Beach Balls
105,2021-07-09,69445,Beach Balls
