,date,value,name_B08ZGWYWY8
0,2021-04-23,23151.0,Multivitamins
1,2021-04-24,23151.0,Multivitamins
2,2021-04-25,23151.0,Multivitamins
3,2021-04-26,20762.0,Multivitamins
4,2021-04-27,20762.0,Multivitamins
5,2021-04-28,22345.0,Multivitamins
6,2021-04-29,22345.0,Multivitamins
7,2021-04-30,22345.0,Multivitamins
8,2021-05-01,79059.0,Multivitamins
9,2021-05-02,79059.0,Multivitamins
10,2021-05-03,106962.0,Multivitamins
11,2021-05-04,106962.0,Multivitamins
12,2021-05-05,119908.0,Multivitamins
13,2021-05-06,119908.0,Multivitamins
14,2021-05-07,134670.0,Multivitamins
15,2021-05-08,134670.0,Multivitamins
16,2021-05-09,134670.0,Multivitamins
17,2021-05-10,126798.0,Multivitamins
18,2021-05-11,126798.0,Multivitamins
19,2021-05-12,145104.0,Multivitamins
20,2021-05-13,145104.0,Multivitamins
21,2021-05-14,145104.0,Multivitamins
22,2021-05-15,168797.0,Multivitamins
23,2021-05-16,168797.0,Multivitamins
24,2021-05-17,168797.0,Multivitamins
25,2021-05-18,168797.0,Multivitamins
26,2021-05-19,24469.0,Multivitamins
27,2021-05-20,24469.0,Multivitamins
28,2021-05-21,22685.0,Multivitamins
29,2021-05-22,22685.0,Multivitamins
30,2021-05-23,22685.0,Multivitamins
31,2021-05-24,25733.0,Multivitamins
32,2021-05-25,25733.0,Multivitamins
33,2021-05-26,25733.0,Multivitamins
34,2021-05-27,23916.0,Multivitamins
35,2021-05-28,23916.0,Multivitamins
36,2021-05-29,23916.0,Multivitamins
37,2021-05-30,23916.0,Multivitamins
38,2021-05-31,31612.0,Multivitamins
39,2021-06-01,31612.0,Multivitamins
40,2021-06-02,31612.0,Multivitamins
41,2021-06-03,15201.0,Multivitamins
42,2021-06-04,15201.0,Multivitamins
43,2021-06-05,15201.0,Multivitamins
44,2021-06-06,15201.0,Multivitamins
45,2021-06-07,15201.0,Multivitamins
46,2021-06-08,11705.0,Multivitamins
47,2021-06-09,11705.0,Multivitamins
48,2021-06-10,11705.0,Multivitamins
49,2021-06-11,12112.0,Multivitamins
50,2021-06-12,12112.0,Multivitamins
51,2021-06-13,12112.0,Multivitamins
52,2021-06-14,14546.0,Multivitamins
53,2021-06-15,14546.0,Multivitamins
54,2021-06-16,14546.0,Multivitamins
55,2021-06-17,49081.0,Multivitamins
56,2021-06-18,49081.0,Multivitamins
57,2021-06-19,49081.0,Multivitamins
58,2021-06-20,49081.0,Multivitamins
59,2021-06-21,51702.0,Multivitamins
60,2021-06-22,51702.0,Multivitamins
61,2021-06-23,51702.0,Multivitamins
62,2021-06-24,12189.0,Multivitamins
63,2021-06-25,12189.0,Multivitamins
64,2021-06-26,12189.0,Multivitamins
65,2021-06-27,17096.0,Multivitamins
66,2021-06-28,17096.0,Multivitamins
67,2021-06-29,17096.0,Multivitamins
68,2021-06-30,22459.0,Multivitamins
69,2021-07-01,22459.0,Multivitamins
70,2021-07-02,22459.0,Multivitamins
71,2021-07-03,16249.0,Multivitamins
72,2021-07-04,16249.0,Multivitamins
73,2021-07-05,16882.0,Multivitamins
74,2021-07-06,16882.0,Multivitamins
75,2021-07-07,17010.0,Multivitamins
76,2021-07-08,17010.0,Multivitamins
77,2021-07-09,17010.0,Multivitamins
78,2021-07-10,18782.0,Multivitamins
