,date,value,name_B08ZYSDJQ9
0,2021-03-26,30689.0,Bath Towels
1,2021-03-27,30689.0,Bath Towels
2,2021-03-28,31958.0,Bath Towels
3,2021-03-29,31958.0,Bath Towels
4,2021-03-30,31958.0,Bath Towels
5,2021-03-31,28924.0,Bath Towels
6,2021-04-01,24425.0,Bath Towels
7,2021-04-02,24425.0,Bath Towels
8,2021-04-03,24425.0,Bath Towels
9,2021-04-04,24425.0,Bath Towels
10,2021-04-05,24425.0,Bath Towels
11,2021-04-06,8340.0,Bath Towels
12,2021-04-07,8340.0,Bath Towels
13,2021-04-08,7965.0,Bath Towels
14,2021-04-09,12566.0,Bath Towels
15,2021-04-10,16491.0,Bath Towels
16,2021-04-11,16491.0,Bath Towels
17,2021-04-12,16491.0,Bath Towels
18,2021-04-13,18954.0,Bath Towels
19,2021-04-14,21003.0,Bath Towels
20,2021-04-15,25133.0,Bath Towels
21,2021-04-16,25133.0,Bath Towels
22,2021-04-17,25133.0,Bath Towels
23,2021-04-18,25133.0,Bath Towels
24,2021-04-19,36537.0,Bath Towels
25,2021-04-20,36537.0,Bath Towels
26,2021-04-21,29083.0,Bath Towels
27,2021-04-22,28084.0,Bath Towels
28,2021-04-23,28084.0,Bath Towels
29,2021-04-24,28084.0,Bath Towels
30,2021-04-25,45607.0,Bath Towels
31,2021-04-26,45607.0,Bath Towels
32,2021-04-27,42945.0,Bath Towels
33,2021-04-28,46457.0,Bath Towels
34,2021-04-29,46457.0,Bath Towels
35,2021-04-30,46457.0,Bath Towels
36,2021-05-01,46457.0,Bath Towels
37,2021-05-02,56382.0,Bath Towels
38,2021-05-03,56382.0,Bath Towels
39,2021-05-04,49711.0,Bath Towels
40,2021-05-05,35272.0,Bath Towels
41,2021-05-06,35272.0,Bath Towels
42,2021-05-07,35272.0,Bath Towels
43,2021-05-08,35272.0,Bath Towels
44,2021-05-09,35272.0,Bath Towels
45,2021-05-10,57884.0,Bath Towels
46,2021-05-11,57884.0,Bath Towels
47,2021-05-12,57884.0,Bath Towels
48,2021-05-13,57884.0,Bath Towels
49,2021-05-14,70113.0,Bath Towels
50,2021-05-15,70113.0,Bath Towels
51,2021-05-16,85637.0,Bath Towels
52,2021-05-17,85637.0,Bath Towels
53,2021-05-18,85637.0,Bath Towels
54,2021-05-19,59496.0,Bath Towels
55,2021-05-20,86905.0,Bath Towels
56,2021-05-21,86905.0,Bath Towels
57,2021-05-22,86905.0,Bath Towels
58,2021-05-23,86905.0,Bath Towels
59,2021-05-24,41305.0,Bath Towels
60,2021-05-25,41305.0,Bath Towels
61,2021-05-26,41305.0,Bath Towels
62,2021-05-27,41305.0,Bath Towels
63,2021-05-28,41305.0,Bath Towels
64,2021-05-29,41305.0,Bath Towels
65,2021-05-30,41305.0,Bath Towels
66,2021-05-31,30313.0,Bath Towels
67,2021-06-01,30313.0,Bath Towels
68,2021-06-02,29302.0,Bath Towels
69,2021-06-03,29302.0,Bath Towels
70,2021-06-04,29302.0,Bath Towels
71,2021-06-05,29302.0,Bath Towels
72,2021-06-06,29302.0,Bath Towels
73,2021-06-07,32883.0,Bath Towels
74,2021-06-08,21929.0,Bath Towels
75,2021-06-09,21929.0,Bath Towels
76,2021-06-10,21929.0,Bath Towels
77,2021-06-11,25227.0,Bath Towels
78,2021-06-12,25227.0,Bath Towels
79,2021-06-13,25227.0,Bath Towels
80,2021-06-14,25227.0,Bath Towels
81,2021-06-15,35725.0,Bath Towels
82,2021-06-16,38715.0,Bath Towels
83,2021-06-17,38715.0,Bath Towels
84,2021-06-18,34468.0,Bath Towels
85,2021-06-19,22661.0,Bath Towels
86,2021-06-20,22661.0,Bath Towels
87,2021-06-21,27350.0,Bath Towels
88,2021-06-22,15649.0,Bath Towels
89,2021-06-23,15132.0,Bath Towels
90,2021-06-24,14027.0,Bath Towels
91,2021-06-25,14027.0,Bath Towels
92,2021-06-26,16011.0,Bath Towels
93,2021-06-27,16011.0,Bath Towels
94,2021-06-28,6467.0,Bath Towels
95,2021-06-29,8531.0,Bath Towels
96,2021-06-30,8531.0,Bath Towels
97,2021-07-01,8729.0,Bath Towels
98,2021-07-02,8729.0,Bath Towels
99,2021-07-03,7234.0,Bath Towels
100,2021-07-04,9735.0,Bath Towels
101,2021-07-05,8852.0,Bath Towels
102,2021-07-06,8852.0,Bath Towels
103,2021-07-07,9230.0,Bath Towels
104,2021-07-08,9230.0,Bath Towels
105,2021-07-09,12751.0,Bath Towels
106,2021-07-10,13780.0,Bath Towels
