,date,value,name_B091DQ9GCR
0,2021-05-02,354538.0,Bed Blankets
1,2021-05-03,354538.0,Bed Blankets
2,2021-05-04,331118.0,Bed Blankets
3,2021-05-05,220251.0,Bed Blankets
4,2021-05-06,220251.0,Bed Blankets
5,2021-05-07,133382.0,Bed Blankets
6,2021-05-08,99059.0,Bed Blankets
7,2021-05-09,99059.0,Bed Blankets
8,2021-05-10,101036.0,Bed Blankets
9,2021-05-11,93969.0,Bed Blankets
10,2021-05-12,134488.0,Bed Blankets
11,2021-05-13,134488.0,Bed Blankets
12,2021-05-14,134488.0,Bed Blankets
13,2021-05-15,134488.0,Bed Blankets
14,2021-05-16,58371.0,Bed Blankets
15,2021-05-17,62635.0,Bed Blankets
16,2021-05-18,61368.0,Bed Blankets
17,2021-05-19,61368.0,Bed Blankets
18,2021-05-20,40134.0,Bed Blankets
19,2021-05-21,31883.0,Bed Blankets
20,2021-05-22,19034.0,Bed Blankets
21,2021-05-23,16020.0,Bed Blankets
22,2021-05-24,20470.0,Bed Blankets
23,2021-05-25,22578.0,Bed Blankets
24,2021-05-26,18406.0,Bed Blankets
25,2021-05-27,15567.0,Bed Blankets
26,2021-05-28,13256.0,Bed Blankets
27,2021-05-29,13609.0,Bed Blankets
28,2021-05-30,17950.0,Bed Blankets
29,2021-05-31,14732.0,Bed Blankets
30,2021-06-01,16262.0,Bed Blankets
31,2021-06-02,16262.0,Bed Blankets
32,2021-06-03,19281.0,Bed Blankets
33,2021-06-04,19391.0,Bed Blankets
34,2021-06-05,22944.0,Bed Blankets
35,2021-06-06,20205.0,Bed Blankets
36,2021-06-07,20036.0,Bed Blankets
37,2021-06-08,20036.0,Bed Blankets
38,2021-06-09,20036.0,Bed Blankets
39,2021-06-10,42151.0,Bed Blankets
40,2021-06-11,42151.0,Bed Blankets
41,2021-06-12,50219.0,Bed Blankets
42,2021-06-13,50219.0,Bed Blankets
43,2021-06-14,60241.0,Bed Blankets
44,2021-06-15,60241.0,Bed Blankets
45,2021-06-16,40980.0,Bed Blankets
46,2021-06-17,45516.0,Bed Blankets
47,2021-06-18,43559.0,Bed Blankets
48,2021-06-19,31800.0,Bed Blankets
49,2021-06-20,29886.0,Bed Blankets
50,2021-06-21,31465.0,Bed Blankets
51,2021-06-22,16803.0,Bed Blankets
52,2021-06-23,16195.0,Bed Blankets
53,2021-06-24,18180.0,Bed Blankets
54,2021-06-25,20557.0,Bed Blankets
55,2021-06-26,24930.0,Bed Blankets
56,2021-06-27,22000.0,Bed Blankets
57,2021-06-28,15718.0,Bed Blankets
58,2021-06-29,21625.0,Bed Blankets
59,2021-06-30,16202.0,Bed Blankets
60,2021-07-01,15418.0,Bed Blankets
61,2021-07-02,23875.0,Bed Blankets
62,2021-07-03,18807.0,Bed Blankets
63,2021-07-04,18269.0,Bed Blankets
64,2021-07-05,20724.0,Bed Blankets
65,2021-07-06,20103.0,Bed Blankets
66,2021-07-07,20026.0,Bed Blankets
67,2021-07-08,24979.0,Bed Blankets
68,2021-07-09,22829.0,Bed Blankets
69,2021-07-10,19417.0,Bed Blankets
