,date,value,name_B091HP7RPY
0,2021-04-13,8427.0,Area Rugs
1,2021-04-14,7374.0,Area Rugs
2,2021-04-15,6638.0,Area Rugs
3,2021-04-16,6774.0,Area Rugs
4,2021-04-17,6774.0,Area Rugs
5,2021-04-18,8304.0,Area Rugs
6,2021-04-19,7472.0,Area Rugs
7,2021-04-20,4730.0,Area Rugs
8,2021-04-21,4730.0,Area Rugs
9,2021-04-22,2849.0,Area Rugs
10,2021-04-23,2849.0,Area Rugs
11,2021-04-24,2324.0,Area Rugs
12,2021-04-25,2324.0,Area Rugs
13,2021-04-26,3758.0,Area Rugs
14,2021-04-27,5539.0,Area Rugs
15,2021-04-28,5539.0,Area Rugs
16,2021-04-29,6960.0,Area Rugs
17,2021-04-30,6960.0,Area Rugs
18,2021-05-01,7653.0,Area Rugs
19,2021-05-02,9860.0,Area Rugs
20,2021-05-03,9860.0,Area Rugs
21,2021-05-04,10440.0,Area Rugs
22,2021-05-05,9982.0,Area Rugs
23,2021-05-06,10739.0,Area Rugs
24,2021-05-07,10739.0,Area Rugs
25,2021-05-08,9845.0,Area Rugs
26,2021-05-09,9845.0,Area Rugs
27,2021-05-10,10471.0,Area Rugs
28,2021-05-11,11770.0,Area Rugs
29,2021-05-12,11770.0,Area Rugs
30,2021-05-13,9579.0,Area Rugs
31,2021-05-14,9435.0,Area Rugs
32,2021-05-15,9435.0,Area Rugs
33,2021-05-16,11824.0,Area Rugs
34,2021-05-17,13485.0,Area Rugs
35,2021-05-18,11841.0,Area Rugs
36,2021-05-19,10402.0,Area Rugs
37,2021-05-20,8442.0,Area Rugs
38,2021-05-21,6812.0,Area Rugs
39,2021-05-22,6812.0,Area Rugs
40,2021-05-23,9834.0,Area Rugs
41,2021-05-24,9834.0,Area Rugs
42,2021-05-25,5401.0,Area Rugs
43,2021-05-26,5307.0,Area Rugs
44,2021-05-27,4946.0,Area Rugs
45,2021-05-28,4946.0,Area Rugs
46,2021-05-29,1177.0,Area Rugs
47,2021-05-30,1177.0,Area Rugs
48,2021-05-31,2906.0,Area Rugs
49,2021-06-01,5581.0,Area Rugs
50,2021-06-02,7407.0,Area Rugs
51,2021-06-03,8366.0,Area Rugs
52,2021-06-04,8844.0,Area Rugs
53,2021-06-05,8927.0,Area Rugs
54,2021-06-06,8927.0,Area Rugs
55,2021-06-07,8927.0,Area Rugs
56,2021-06-08,12705.0,Area Rugs
57,2021-06-09,12705.0,Area Rugs
58,2021-06-10,12705.0,Area Rugs
59,2021-06-11,7798.0,Area Rugs
60,2021-06-12,7798.0,Area Rugs
61,2021-06-13,10050.0,Area Rugs
62,2021-06-14,10050.0,Area Rugs
63,2021-06-15,12139.0,Area Rugs
64,2021-06-16,13537.0,Area Rugs
65,2021-06-17,12529.0,Area Rugs
66,2021-06-18,12529.0,Area Rugs
67,2021-06-19,11069.0,Area Rugs
68,2021-06-20,11069.0,Area Rugs
69,2021-06-21,6604.0,Area Rugs
70,2021-06-22,5761.0,Area Rugs
71,2021-06-23,5761.0,Area Rugs
72,2021-06-24,3397.0,Area Rugs
73,2021-06-25,4388.0,Area Rugs
74,2021-06-26,4664.0,Area Rugs
75,2021-06-27,4664.0,Area Rugs
76,2021-06-28,6626.0,Area Rugs
77,2021-06-29,8629.0,Area Rugs
78,2021-06-30,8629.0,Area Rugs
79,2021-07-01,9426.0,Area Rugs
80,2021-07-02,7202.0,Area Rugs
81,2021-07-03,7202.0,Area Rugs
82,2021-07-04,7202.0,Area Rugs
83,2021-07-05,6498.0,Area Rugs
84,2021-07-06,6752.0,Area Rugs
85,2021-07-07,7906.0,Area Rugs
86,2021-07-08,5201.0,Area Rugs
87,2021-07-09,5201.0,Area Rugs
88,2021-07-10,8188.0,Area Rugs
89,2021-07-11,6982.0,Area Rugs
