,date,value,name_B091J213WW
0,2021-04-22,15105.0,Dish Cloths & Dish Towels
1,2021-04-23,15105.0,Dish Cloths & Dish Towels
2,2021-04-24,15105.0,Dish Cloths & Dish Towels
3,2021-04-25,15105.0,Dish Cloths & Dish Towels
4,2021-04-26,15105.0,Dish Cloths & Dish Towels
5,2021-04-27,27814.0,Dish Cloths & Dish Towels
6,2021-04-28,27814.0,Dish Cloths & Dish Towels
7,2021-04-29,73720.0,Dish Cloths & Dish Towels
8,2021-04-30,73720.0,Dish Cloths & Dish Towels
9,2021-05-01,73720.0,Dish Cloths & Dish Towels
10,2021-05-02,73720.0,Dish Cloths & Dish Towels
11,2021-05-03,73720.0,Dish Cloths & Dish Towels
12,2021-05-04,73720.0,Dish Cloths & Dish Towels
13,2021-05-05,73720.0,Dish Cloths & Dish Towels
14,2021-05-06,70069.0,Dish Cloths & Dish Towels
15,2021-05-07,70069.0,Dish Cloths & Dish Towels
16,2021-05-08,70069.0,Dish Cloths & Dish Towels
17,2021-05-09,70069.0,Dish Cloths & Dish Towels
18,2021-05-10,22012.0,Dish Cloths & Dish Towels
19,2021-05-11,22012.0,Dish Cloths & Dish Towels
20,2021-05-12,35985.0,Dish Cloths & Dish Towels
21,2021-05-13,35985.0,Dish Cloths & Dish Towels
22,2021-05-14,35985.0,Dish Cloths & Dish Towels
23,2021-05-15,35985.0,Dish Cloths & Dish Towels
24,2021-05-16,35985.0,Dish Cloths & Dish Towels
25,2021-05-17,14934.0,Dish Cloths & Dish Towels
26,2021-05-18,14934.0,Dish Cloths & Dish Towels
27,2021-05-19,41048.0,Dish Cloths & Dish Towels
28,2021-05-20,55173.0,Dish Cloths & Dish Towels
29,2021-05-21,55173.0,Dish Cloths & Dish Towels
30,2021-05-22,55173.0,Dish Cloths & Dish Towels
31,2021-05-23,55173.0,Dish Cloths & Dish Towels
32,2021-05-24,27415.0,Dish Cloths & Dish Towels
33,2021-05-25,27415.0,Dish Cloths & Dish Towels
34,2021-05-26,27415.0,Dish Cloths & Dish Towels
35,2021-05-27,3531.0,Dish Cloths & Dish Towels
36,2021-05-28,3531.0,Dish Cloths & Dish Towels
37,2021-05-29,3847.0,Dish Cloths & Dish Towels
38,2021-05-30,3847.0,Dish Cloths & Dish Towels
39,2021-05-31,3847.0,Dish Cloths & Dish Towels
40,2021-06-01,1426.0,Dish Cloths & Dish Towels
41,2021-06-02,1426.0,Dish Cloths & Dish Towels
42,2021-06-03,1653.0,Dish Cloths & Dish Towels
43,2021-06-04,1653.0,Dish Cloths & Dish Towels
44,2021-06-05,2232.0,Dish Cloths & Dish Towels
45,2021-06-06,2232.0,Dish Cloths & Dish Towels
46,2021-06-07,2181.0,Dish Cloths & Dish Towels
47,2021-06-08,2181.0,Dish Cloths & Dish Towels
48,2021-06-09,2181.0,Dish Cloths & Dish Towels
49,2021-06-10,2011.0,Dish Cloths & Dish Towels
50,2021-06-11,2011.0,Dish Cloths & Dish Towels
51,2021-06-12,2011.0,Dish Cloths & Dish Towels
52,2021-06-13,909.0,Dish Cloths & Dish Towels
53,2021-06-14,909.0,Dish Cloths & Dish Towels
54,2021-06-15,1660.0,Dish Cloths & Dish Towels
55,2021-06-16,1660.0,Dish Cloths & Dish Towels
56,2021-06-17,2238.0,Dish Cloths & Dish Towels
57,2021-06-18,2238.0,Dish Cloths & Dish Towels
58,2021-06-19,2238.0,Dish Cloths & Dish Towels
59,2021-06-20,1136.0,Dish Cloths & Dish Towels
60,2021-06-21,1846.0,Dish Cloths & Dish Towels
61,2021-06-22,2333.0,Dish Cloths & Dish Towels
62,2021-06-23,3101.0,Dish Cloths & Dish Towels
63,2021-06-24,3101.0,Dish Cloths & Dish Towels
64,2021-06-25,2724.0,Dish Cloths & Dish Towels
65,2021-06-26,2724.0,Dish Cloths & Dish Towels
66,2021-06-27,2038.0,Dish Cloths & Dish Towels
67,2021-06-28,2038.0,Dish Cloths & Dish Towels
68,2021-06-29,2250.0,Dish Cloths & Dish Towels
69,2021-06-30,2250.0,Dish Cloths & Dish Towels
70,2021-07-01,2448.0,Dish Cloths & Dish Towels
71,2021-07-02,2345.0,Dish Cloths & Dish Towels
72,2021-07-03,2345.0,Dish Cloths & Dish Towels
73,2021-07-04,2345.0,Dish Cloths & Dish Towels
74,2021-07-05,1872.0,Dish Cloths & Dish Towels
75,2021-07-06,1872.0,Dish Cloths & Dish Towels
76,2021-07-07,2091.0,Dish Cloths & Dish Towels
77,2021-07-08,2091.0,Dish Cloths & Dish Towels
78,2021-07-09,2115.0,Dish Cloths & Dish Towels
79,2021-07-10,2315.0,Dish Cloths & Dish Towels
