,date,value,name_B0923YGW36
0,2021-04-15,2832.0,Reels
1,2021-04-16,2832.0,Reels
2,2021-04-17,2832.0,Reels
3,2021-04-18,2832.0,Reels
4,2021-04-19,2383.0,Reels
5,2021-04-20,2383.0,Reels
6,2021-04-21,2555.0,Reels
7,2021-04-22,2555.0,Reels
8,2021-04-23,2555.0,Reels
9,2021-04-24,2755.0,Reels
10,2021-04-25,2755.0,Reels
11,2021-04-26,1524.0,Reels
12,2021-04-27,1524.0,Reels
13,2021-04-28,490.0,Reels
14,2021-04-29,605.0,Reels
15,2021-04-30,737.0,Reels
16,2021-05-01,737.0,Reels
17,2021-05-02,737.0,Reels
18,2021-05-03,664.0,Reels
19,2021-05-04,664.0,Reels
20,2021-05-05,3325.0,Reels
21,2021-05-06,4366.0,Reels
22,2021-05-07,5560.0,Reels
23,2021-05-08,5560.0,Reels
24,2021-05-09,6515.0,Reels
25,2021-05-10,6515.0,Reels
26,2021-05-11,6622.0,Reels
27,2021-05-12,6622.0,Reels
28,2021-05-13,3873.0,Reels
29,2021-05-14,3873.0,Reels
30,2021-05-15,3873.0,Reels
31,2021-05-16,3914.0,Reels
32,2021-05-17,3914.0,Reels
33,2021-05-18,2642.0,Reels
34,2021-05-19,2647.0,Reels
35,2021-05-20,2541.0,Reels
36,2021-05-21,2541.0,Reels
37,2021-05-22,2413.0,Reels
38,2021-05-23,2413.0,Reels
39,2021-05-24,2276.0,Reels
40,2021-05-25,2276.0,Reels
41,2021-05-26,2869.0,Reels
42,2021-05-27,2869.0,Reels
43,2021-05-28,3475.0,Reels
44,2021-05-29,2989.0,Reels
45,2021-05-30,2989.0,Reels
46,2021-05-31,2432.0,Reels
47,2021-06-01,2432.0,Reels
48,2021-06-02,2657.0,Reels
49,2021-06-03,2657.0,Reels
50,2021-06-04,3153.0,Reels
51,2021-06-05,3153.0,Reels
52,2021-06-06,3461.0,Reels
53,2021-06-07,3461.0,Reels
54,2021-06-08,4700.0,Reels
55,2021-06-09,4700.0,Reels
56,2021-06-10,7031.0,Reels
57,2021-06-11,7031.0,Reels
58,2021-06-12,7031.0,Reels
59,2021-06-13,4614.0,Reels
60,2021-06-14,4614.0,Reels
61,2021-06-15,1249.0,Reels
62,2021-06-16,1249.0,Reels
63,2021-06-17,568.0,Reels
64,2021-06-18,568.0,Reels
65,2021-06-19,568.0,Reels
66,2021-06-20,1184.0,Reels
67,2021-06-21,1254.0,Reels
68,2021-06-22,1254.0,Reels
69,2021-06-23,4826.0,Reels
70,2021-06-24,4826.0,Reels
71,2021-06-25,3068.0,Reels
72,2021-06-26,3068.0,Reels
73,2021-06-27,3068.0,Reels
74,2021-06-28,2996.0,Reels
75,2021-06-29,2996.0,Reels
76,2021-06-30,3940.0,Reels
77,2021-07-01,3940.0,Reels
78,2021-07-02,3177.0,Reels
79,2021-07-03,4682.0,Reels
80,2021-07-04,4682.0,Reels
81,2021-07-05,4682.0,Reels
82,2021-07-06,4526.0,Reels
83,2021-07-07,4526.0,Reels
84,2021-07-08,4526.0,Reels
85,2021-07-09,3417.0,Reels
86,2021-07-10,3417.0,Reels
87,2021-07-11,5450.0,Reels
